Focus Group,Pain Point,processed_content,label,VADER,Business Score,processed_pain_points
CPO Central Permit Office,Incorrect Document Uploads: Applicants frequently upload incorrect or incomplete documentation.,incorrect document uploads applicant frequently upload incorrect incomplete documentation,neutral,0.0,-3,incorrect document uploads applicant frequently upload incorrect incomplete documentation
CPO Central Permit Office,Manual Tracking Requirements: Staff use spreadsheets and external tools to monitor progress.,manual tracking requirement staff use spreadsheet external tool monitor progress,positive,0.4215,-3,manual tracking requirement staff use spreadsheet external tool monitor progress
CPO Central Permit Office,Cross-Department Dependencies: Progress depends on multiple departments completing reviews.,dependency progress depends multiple department completing review,positive,0.4215,-2,dependency progress depends multiple department completing review
CPO Central Permit Office,Permit-to-Code Disconnect: Code Enforcement and permitting activities are not fully synchronized.,disconnect code enforcement permitting activity fully synchronized,neutral,0.0,0,disconnect code enforcement permitting activity fully synchronized
CPO Central Permit Office,Reviewer Coordination: Managing comments and approvals from multiple reviewers is time-consuming.,reviewer coordination managing comment approval multiple reviewer,positive,0.0,-2,reviewer coordination managing comment approval multiple reviewer
CPO CPO Co-Ordinator,System Performance & Usability,system performance usability,neutral,0.0,0,system performance usability
CPO CPO Co-Ordinator,System Crashes: IPS crashes during high-volume processing activities.,system crash ip crash processing activity,negative,0.0,0,system crash ip crash processing activity
CPO CPO Co-Ordinator,Attachment Issues: Problems saving and managing attachments.,attachment issue problem saving managing attachment,positive,0.1531,-4,attachment issue problem saving managing attachment
CPO CPO Co-Ordinator,Slow Performance: Delays when processing applications and notices.,slow performance delay processing application notice,negative,0.0,-4,slow performance delay processing application notice
CPO CPO Co-Ordinator,Workflow Interruptions: Certain activities require workarounds or manual intervention.,workflow interruption certain activity require workarounds manual intervention,negative,-0.1531,-3,workflow interruption certain activity require workarounds manual intervention
CPO CPO Co-Ordinator,Complex Navigation: Multiple screens and tabs create inefficiencies.,complex navigation multiple screen tab create inefficiency,positive,0.2732,-2,complex navigation multiple screen tab create inefficiency
CPO CPO Co-Ordinator,Duplicate Ownership Records: Ownership information is difficult to maintain.,duplicate ownership record ownership information difficult maintain,negative,-0.3612,-5,duplicate ownership record ownership information difficult maintain
CPO CPO Co-Ordinator,Expiration Tracking Limitations: Renewal tracking depends heavily on reports.,expiration tracking limitation renewal tracking depends heavily report,negative,0.0,0,expiration tracking limitation renewal tracking depends heavily report
CPO CPO Co-Ordinator,Address Lookup Challenges: Difficulty locating accurate address information.,address lookup challenge difficulty locating accurate address information,negative,-0.2732,-3,address lookup challenge difficulty locating accurate address information
CPO CPO Co-Ordinator,Manual Ownership Maintenance: Significant effort required to maintain ownership records.,manual ownership maintenance significant effort required maintain ownership record,positive,0.2023,-3,manual ownership maintenance significant effort required maintain ownership record
CPO CPO Co-Ordinator,No Automated Renewal Queue: Renewal management requires manual tracking.,automated renewal queue renewal management requires manual tracking,neutral,-0.296,-3,automated renewal queue renewal management requires manual tracking
CPO CPO Co-Ordinator,Property Research Complexity: Multiple searches are often required to locate information.,property research complexity multiple search often required locate information,neutral,0.0,-4,property research complexity multiple search often required locate information
CPO CPO Co-Ordinator,Duplicate Data Entry: Information must often be entered into both IPS and Camino.,duplicate data entry information must often entered ip camino,neutral,0.0,-2,duplicate data entry information must often entered ip camino
CPO CPO Co-Ordinator,Poor Integration: Limited integration between Camino and IPS.,poor integration limited integration camino ip,negative,-0.6124,-2,poor integration limited integration camino ip
CPO CPO Co-Ordinator,"Split Workflows: Licensing, permitting, and registry processes span multiple systems.",split workflow licensing permitting registry process span multiple system,neutral,0.0,-2,split workflow licensing permitting registry process span multiple system
CPO CPO Co-Ordinator,Application Processing Complexity: Certain workflows became more complicated after Camino implementation.,application processing complexity certain workflow became complicated camino implementation,positive,0.2732,0,application processing complexity certain workflow became complicated camino implementation
CPO CPO Co-Ordinator,Scheduling & Communication Challenges,scheduling communication challenge,positive,0.0772,0,scheduling communication challenge
CPO CPO Co-Ordinator,Manual Scheduling: Significant effort required to coordinate inspections.,manual scheduling significant effort required coordinate inspection,positive,0.2023,-3,manual scheduling significant effort required coordinate inspection
CPO CPO Co-Ordinator,Applicant Status Requests: Staff spend considerable time responding to status inquiries.,applicant status request staff spend considerable time responding status inquiry,neutral,0.0,0,applicant status request staff spend considerable time responding status inquiry
CPO CPO Co-Ordinator,Manual Notification Processes: Renewal and expiration notices require manual effort.,manual notification process renewal expiration notice require manual effort,neutral,0.0,-3,manual notification process renewal expiration notice require manual effort
CPO CPO Co-Ordinator,Applicant Confusion: Applicants often struggle to understand requirements and application status.,applicant confusion applicant often struggle understand requirement application status,negative,-0.5423,0,applicant confusion applicant often struggle understand requirement application status
CPO CPO Co-Ordinator,Spreadsheet Dependency: External spreadsheets are required to track work.,spreadsheet dependency external spreadsheet required track work,neutral,0.0,-2,spreadsheet dependency external spreadsheet required track work
CPO CPO Co-Ordinator,Cross-System Research: Information must be gathered from several systems.,research information must gathered several system,neutral,0.0,-2,research information must gathered several system
CPO CPO Co-Ordinator,Duplicate Processes: Similar information is maintained in multiple locations.,duplicate process similar information maintained multiple location,neutral,0.0,-4,duplicate process similar information maintained multiple location
DOCE Building Inspectors,"Frequent Crashes: IPS crashes regularly, sometimes multiple times per week.",frequent crash ip crash regularly sometimes multiple time per week,negative,0.0,-2,frequent crash ip crash regularly sometimes multiple time per week
DOCE Building Inspectors,Session Loss: Work can be lost when IPS crashes unexpectedly.,session loss work lost ip crash unexpectedly,negative,-0.5574,0,session loss work lost ip crash unexpectedly
DOCE Building Inspectors,Performance Issues: System becomes slower as case volume increases.,performance issue system becomes slower case volume increase,positive,0.0,-4,performance issue system becomes slower case volume increase
DOCE Building Inspectors,Ownership & Property Information,ownership property information,neutral,0.0,0,ownership property information
DOCE Building Inspectors,Ownership Issues: Ownership records are inconsistent and difficult to maintain.,ownership issue ownership record inconsistent difficult maintain,negative,-0.3612,-5,ownership issue ownership record inconsistent difficult maintain
DOCE Building Inspectors,Multiple Record Locations: Ownership information can exist in several places.,multiple record location ownership information exist several place,neutral,0.0,-2,multiple record location ownership information exist several place
DOCE Building Inspectors,Outdated Information: Contact and ownership information is not always current.,outdated information contact ownership information always current,neutral,0.0,-3,outdated information contact ownership information always current
DOCE Building Inspectors,Address Discrepancies: Property addresses are sometimes inconsistent across systems.,address discrepancy property address sometimes inconsistent across system,neutral,0.0,0,address discrepancy property address sometimes inconsistent across system
DOCE Building Inspectors,Cases Difficult to Find: Locating specific cases can be time-consuming.,case difficult find locating specific case,negative,-0.3612,-3,case difficult find locating specific case
DOCE Building Inspectors,Too Much Information in Different Areas: Important information is spread throughout the system.,much information different area important information spread throughout system,positive,0.2023,0,much information different area important information spread throughout system
DOCE Building Inspectors,Multiple Ways to Update Data: Different update paths create inconsistencies.,multiple way update data different update path create inconsistency,positive,0.2732,-2,multiple way update data different update path create inconsistency
DOCE Building Inspectors,Tickle Dates Can Be Missed: Reminder dates can be overlooked or lost.,tickle date missed reminder date overlooked lost,negative,-0.5574,0,tickle date missed reminder date overlooked lost
DOCE Building Inspectors,No Elevator Certification Visibility: Elevator certification status is difficult to access.,elevator certification visibility elevator certification status difficult access,negative,-0.5719,-3,elevator certification visibility elevator certification status difficult access
DOCE Building Inspectors,No Water Certification Visibility: Water certification information is not easily available.,water certification visibility water certification information easily available,positive,-0.5,0,water certification visibility water certification information easily available
DOCE Building Inspectors,No Sprinkler Report Access: Inspectors cannot easily access sprinkler system reports.,sprinkler report access inspector easily access sprinkler system report,positive,-0.5,-3,sprinkler report access inspector easily access sprinkler system report
DOCE Building Inspectors,Zoning Information Gaps: Zoning reviews do not consistently appear within inspection cases.,zoning information gap zoning review consistently appear within inspection case,neutral,0.0,0,zoning information gap zoning review consistently appear within inspection case
DOCE Building Inspectors,Third-Party Information Missing: Important compliance documentation exists outside IPS.,information missing important compliance documentation exists outside ip,negative,-0.1027,-3,information missing important compliance documentation exists outside ip
DOCE Building Inspectors,No Single Source of Truth: Information needed for inspections is spread across multiple systems.,single source truth information needed inspection spread across multiple system,positive,0.0258,-2,single source truth information needed inspection spread across multiple system
DOCE Building Inspectors,Repeated Research: The same information often must be searched in several locations.,repeated research information often must searched several location,neutral,0.0,-2,repeated research information often must searched several location
DOCE Building Inspectors,Tablet Reliability Issues: Existing tablets are slow and unreliable.,tablet reliability issue existing tablet slow unreliable,neutral,0.0,-4,tablet reliability issue existing tablet slow unreliable
DOCE Building Inspectors,Mobile Access Limitations: IPS functionality in the field is limited.,mobile access limitation ip functionality field limited,negative,-0.2263,-2,mobile access limitation ip functionality field limited
DOCE Building Inspectors,Need for Personal Hotspots: Inspectors sometimes rely on personal hotspots to connect.,need personal hotspot inspector sometimes rely personal hotspot connect,neutral,0.0,0,need personal hotspot inspector sometimes rely personal hotspot connect
DOCE Building Inspectors,Field Documentation Challenges: Lack of effective mobile tools increases office-based data entry.,field documentation challenge lack effective mobile tool increase data entry,positive,0.2732,0,field documentation challenge lack effective mobile tool increase data entry
DOCE Building Inspectors,Slow Zoning Approvals: Zone checks often delay certificate issuance.,slow zoning approval zone check often delay certificate issuance,positive,-0.3182,-4,slow zoning approval zone check often delay certificate issuance
DOCE Building Inspectors,BAA Process Delays: Inspectors are often blamed for delays caused by BAA or Law.,baa process delay inspector often blamed delay caused baa law,negative,-0.4767,-2,baa process delay inspector often blamed delay caused baa law
DOCE Building Inspectors,Permit Communication Gaps: Permit requirements are not always communicated effectively.,permit communication gap permit requirement always communicated effectively,positive,-0.3412,0,permit communication gap permit requirement always communicated effectively
DOCE CommercialPermitElectrical Inspectors,System Performance & Usability,system performance usability,neutral,0.0,0,system performance usability
DOCE CommercialPermitElectrical Inspectors,System Buffering & Slowdowns: IPS experiences performance issues and occasional breakdowns.,system buffering slowdown ip experience performance issue occasional breakdown,neutral,0.0,-4,system buffering slowdown ip experience performance issue occasional breakdown
DOCE CommercialPermitElectrical Inspectors,Searching Difficulties: Finding information can be time-consuming.,searching difficulty finding information,negative,-0.296,-4,searching difficulty finding information
DOCE CommercialPermitElectrical Inspectors,Limited Documentation Capabilities: Difficult to document certain inspection and permit activities.,limited documentation capability difficult document certain inspection permit activity,negative,-0.3182,-5,limited documentation capability difficult document certain inspection permit activity
DOCE CommercialPermitElectrical Inspectors,Field Access Limitations: Limited ability to access and update cases in the field.,field access limitation limited ability access update case field,negative,0.1027,-2,field access limitation limited ability access update case field
DOCE CommercialPermitElectrical Inspectors,Manual Scheduling Requirements: Inspectors often maintain schedules outside IPS.,manual scheduling requirement inspector often maintain schedule outside ip,neutral,0.0,-3,manual scheduling requirement inspector often maintain schedule outside ip
DOCE CommercialPermitElectrical Inspectors,No Permit Workflow Integration: Permit workflows are primarily managed outside IPS.,permit workflow integration permit workflow primarily managed outside ip,neutral,-0.296,0,permit workflow integration permit workflow primarily managed outside ip
DOCE CommercialPermitElectrical Inspectors,Lack of Permit Tracking Functionality: Permit inspectors rely heavily on Camino instead of IPS.,lack permit tracking functionality permit inspector rely heavily camino instead ip,negative,-0.3182,0,lack permit tracking functionality permit inspector rely heavily camino instead ip
DOCE CommercialPermitElectrical Inspectors,Limited Follow-Up Tracking: IPS does not adequately support permit inspection workflows.,limited tracking ip adequately support permit inspection workflow,positive,-0.4867,-2,limited tracking ip adequately support permit inspection workflow
DOCE CommercialPermitElectrical Inspectors,Difficulty Managing Inspection Histories: Inspectors must manually review large volumes of information.,difficulty managing inspection history inspector must manually review large volume information,negative,-0.34,-6,difficulty managing inspection history inspector must manually review large volume information
DOCE CommercialPermitElectrical Inspectors,Data & Information Challenges,data information challenge,positive,0.0772,0,data information challenge
DOCE CommercialPermitElectrical Inspectors,Searching for Information: Important project and permit information can be difficult to locate.,searching information important project permit information difficult locate,negative,-0.1779,-4,searching information important project permit information difficult locate
DOCE CommercialPermitElectrical Inspectors,No Unified Permit Record: Information is spread across multiple systems.,unified permit record information spread across multiple system,positive,0.1027,-2,unified permit record information spread across multiple system
DOCE CommercialPermitElectrical Inspectors,Project Visibility Issues: Inspectors lack visibility into all project activities from one location.,project visibility issue inspector lack visibility project activity one location,negative,-0.3182,-2,project visibility issue inspector lack visibility project activity one location
DOCE CommercialPermitElectrical Inspectors,Scheduling Disconnect: Inspections scheduled in Camino do not automatically appear in Outlook.,scheduling disconnect inspection scheduled camino automatically appear outlook,neutral,0.0,0,scheduling disconnect inspection scheduled camino automatically appear outlook
DOCE CommercialPermitElectrical Inspectors,No Calendar Integration: Inspectors maintain duplicate schedules.,calendar integration inspector maintain duplicate schedule,neutral,-0.296,-2,calendar integration inspector maintain duplicate schedule
DOCE CommercialPermitElectrical Inspectors,No Tickler Functionality: Camino lacks reminder and follow-up tracking capabilities.,tickler functionality camino lack reminder tracking capability,negative,-0.296,0,tickler functionality camino lack reminder tracking capability
DOCE CommercialPermitElectrical Inspectors,Address Management Issues: Address information can be inaccurate or difficult to manage.,address management issue address information inaccurate difficult manage,negative,-0.3612,-5,address management issue address information inaccurate difficult manage
DOCE CommercialPermitElectrical Inspectors,Duplicate Records: Duplicate entries exist within Camino.,duplicate record duplicate entry exist within camino,neutral,0.0,-2,duplicate record duplicate entry exist within camino
DOCE CommercialPermitElectrical Inspectors,Navigation Difficulties: Users find Camino difficult to navigate.,navigation difficulty user find camino difficult navigate,negative,-0.5719,-3,navigation difficulty user find camino difficult navigate
DOCE CommercialPermitElectrical Inspectors,Limited Visibility: Difficult to see assigned work and active projects.,limited visibility difficult see assigned work active project,negative,-0.1779,-5,limited visibility difficult see assigned work active project
DOCE CommercialPermitElectrical Inspectors,No Internal Reminder System: Inspectors rely on manual notes and tracking methods.,internal reminder system inspector rely manual note tracking method,neutral,-0.296,-3,internal reminder system inspector rely manual note tracking method
DOCE CommercialPermitElectrical Inspectors,Internet Dependency: Some functions are unavailable when connectivity issues occur.,internet dependency function unavailable connectivity issue occur,neutral,0.0,-4,internet dependency function unavailable connectivity issue occur
DOCE CommercialPermitElectrical Inspectors,Permit Office Coordination Issues: Permit processes are not fully integrated.,permit office coordination issue permit process fully integrated,neutral,0.0,-2,permit office coordination issue permit process fully integrated
DOCE CommercialPermitElectrical Inspectors,Contractor Coordination: Contractors do not always respond promptly to communication.,contractor coordination contractor always respond promptly communication,neutral,0.0,0,contractor coordination contractor always respond promptly communication
DOCE CommercialPermitElectrical Inspectors,Lack of Coordination: Electrical inspectors identified limited coordination across teams.,lack coordination electrical inspector identified limited coordination across team,negative,-0.4939,-2,lack coordination electrical inspector identified limited coordination across team
DOCE CommercialPermitElectrical Inspectors,Training Gaps: Insufficient training on Camino and related processes.,training gap insufficient training camino related process,neutral,0.0,0,training gap insufficient training camino related process
DOCE CommercialPermitElectrical Inspectors,Manual Follow-Up Requirements: Inspectors must manually track contractor responses and inspection needs.,manual requirement inspector must manually track contractor response inspection need,neutral,0.0,-3,manual requirement inspector must manually track contractor response inspection need
DOCE CommercialPermitElectrical Inspectors,Handwritten Tracking: Inspectors often maintain handwritten schedules and inspection notes.,handwritten tracking inspector often maintain handwritten schedule inspection note,neutral,0.0,0,handwritten tracking inspector often maintain handwritten schedule inspection note
DOCE CommercialPermitElectrical Inspectors,Duplicate Data Entry: Information must be entered and tracked in multiple locations.,duplicate data entry information must entered tracked multiple location,neutral,0.0,-4,duplicate data entry information must entered tracked multiple location
DOCE CommercialPermitElectrical Inspectors,Limited Mobile Functionality: Field-based work remains partially paper-driven.,limited mobile functionality work remains partially,negative,-0.2263,-4,limited mobile functionality work remains partially
CPC CPC,"Limited Search Functionality: Searching by address, owner, violation number, or ticket number is limited and often requires multiple searches.",limited search functionality searching address owner violation number ticket number limited often requires multiple search,negative,-0.6597,-5,limited search functionality searching address owner violation number ticket number limited often requires multiple search
CPC CPC,"Mixed Violation Records: BAA tickets and Code Enforcement violations appear together, making it difficult to distinguish between them.",mixed violation record baa ticket code enforcement violation appear together making difficult distinguish,negative,-0.8442,-3,mixed violation record baa ticket code enforcement violation appear together making difficult distinguish
CPC CPC,Delayed Information Updates: BAA and violation information is not always updated in real time.,delayed information update baa violation information always updated real time,negative,-0.6249,-2,delayed information update baa violation information always updated real time
CPC CPC,Incomplete Information: Parcel information and account records are not always synchronized across systems.,incomplete information parcel information account record always synchronized across system,neutral,0.0,-3,incomplete information parcel information account record always synchronized across system
CPC CPC,"Limited Case Visibility: Staff cannot easily view all violations, payments, and related property information from a single screen.",limited case visibility staff easily view violation payment related property information single screen,negative,-0.7458,-5,limited case visibility staff easily view violation payment related property information single screen
CPC CPC,Duplicate Data Entry: Staff repeatedly enter the same information across multiple systems.,duplicate data entry staff repeatedly enter information across multiple system,neutral,0.0,-4,duplicate data entry staff repeatedly enter information across multiple system
CPC CPC,"Manual Financial Processes: Financial reconciliation, collections, and reporting require significant manual effort.",manual financial process financial reconciliation collection reporting require significant manual effort,positive,0.2023,-3,manual financial process financial reconciliation collection reporting require significant manual effort
CPC CPC,Fragmented Information Sources: Staff rely on multiple systems and paper files to answer public questions.,fragmented information source staff rely multiple system paper file answer public question,neutral,0.0,-7,fragmented information source staff rely multiple system paper file answer public question
CPC CPC,"Cross-Department Dependencies: CPC depends on timely updates from BAA, Finance, Code Enforcement, and inspectors.",dependency cpc depends timely update baa finance code enforcement inspector,neutral,0.0,0,dependency cpc depends timely update baa finance code enforcement inspector
CPC CPC,"Customer Service Complexity: Staff spend significant time helping public understand violations, payments, and permit requirements.",customer service complexity staff spend significant time helping public understand violation payment permit requirement,negative,-0.1027,0,customer service complexity staff spend significant time helping public understand violation payment permit requirement
CPC CPC,Payment Reconciliation: Pulling payments across systems can be time-consuming.,payment reconciliation pulling payment across system,neutral,0.0,0,payment reconciliation pulling payment across system
CPC CPC,"Administrative Workload: Managing certificates, board files, tax searches, and financial records involves repetitive administrative work.",administrative workload managing certificate board file tax search financial record involves repetitive administrative work,negative,-0.25,-3,administrative workload managing certificate board file tax search financial record involves repetitive administrative work
CPC CPC,"Improved Search Capabilities: Search by address, owner, parcel, violation number, ticket number, permit number, or account records from a single search.",improved search capability search address owner parcel violation number ticket number permit number account record single search,positive,0.2023,-1,improved search capability search address owner parcel violation number ticket number permit number account record single search
CPC CPC,Separated Violation Records: Clearly distinguish BAA tickets from Code Enforcement violations within IPS.,separated violation record clearly distinguish baa ticket code enforcement violation within ip,negative,-0.5994,0,separated violation record clearly distinguish baa ticket code enforcement violation within ip
CPC CPC,"Real-Time Data Updates: Ensure violations, payments, and parcel information update automatically across systems.",data update ensure violation payment parcel information update automatically across system,negative,-0.2023,0,data update ensure violation payment parcel information update automatically across system
CPC CPC,"Integrated Financial Information: Display payment history, outstanding balances, tax searches, and financial records in one location.",integrated financial information display payment history outstanding balance tax search financial record one location,positive,0.6124,-1,integrated financial information display payment history outstanding balance tax search financial record one location
CPC CPC,"Improved Case Visibility: Provide a complete parcel and property view that includes violations, permits, payments, certificates, and tax information.",improved case visibility provide complete parcel property view includes violation permit payment certificate tax information,neutral,-0.0772,0,improved case visibility provide complete parcel property view includes violation permit payment certificate tax information
CPC CPC,Simplified Navigation: Reduce the need to switch between multiple applications during customer service activities.,simplified navigation reduce need switch multiple application customer service activity,neutral,0.0,-2,simplified navigation reduce need switch multiple application customer service activity
CPC CPC,"System Consolidation: Integrate AIMS, Invoice Cloud, eTax, AS400, and IPS into a unified workflow.",system consolidation integrate aim invoice cloud etax ip unified workflow,positive,0.3818,0,system consolidation integrate aim invoice cloud etax ip unified workflow
CPC CPC,"Automated Financial Processes: Automate payment reconciliation, collections, reporting, and financial updates.",automated financial process automate payment reconciliation collection reporting financial update,neutral,0.0,0,automated financial process automate payment reconciliation collection reporting financial update
CPC CPC,"Single Source of Truth: Provide one authoritative record for property, parcel, payment, permit, and violation information across all departments.",single source truth provide one authoritative record property parcel payment permit violation information across department,negative,-0.2263,0,single source truth provide one authoritative record property parcel payment permit violation information across department
CPC CPC,"Improved Interdepartmental Coordination: Improve communication and information sharing between CPC, BAA, Finance, Law, and Code Enforcement.",improved interdepartmental coordination improve communication information sharing cpc baa finance law code enforcement,positive,0.8316,0,improved interdepartmental coordination improve communication information sharing cpc baa finance law code enforcement
CPC CPC,"Improved Public Experience: Enable staff to answer public questions quickly using complete, accurate information from one system.",improved public experience enable staff answer public question quickly using complete accurate information one system,positive,0.4767,0,improved public experience enable staff answer public question quickly using complete accurate information one system
CPC CPC,"Enhanced Administrative Efficiency: Streamline tax searches, board files, certificates, and payment processing to reduce manual effort.",enhanced administrative efficiency streamline tax search board file certificate payment processing reduce manual effort,positive,0.3612,-4,enhanced administrative efficiency streamline tax search board file certificate payment processing reduce manual effort
NBD NBD Internal,Missing Referral Visibility: Some Emergency Repair Program referrals do not appear in the IPS Desk Review section.,missing referral visibility emergency repair program referral appear ip desk review section,negative,-0.5859,-3,missing referral visibility emergency repair program referral appear ip desk review section
NBD NBD Internal,Limited Referral Tracking: IPS does not clearly identify where referrals originated or distinguish different referral types.,limited referral tracking ip clearly identify referral originated distinguish different referral type,positive,-0.4867,-2,limited referral tracking ip clearly identify referral originated distinguish different referral type
NBD NBD Internal,Non-Chronological Case History: Open case information is difficult to review because activities are not always presented in chronological order.,case history open case information difficult review activity always presented chronological order,negative,-0.3612,-3,case history open case information difficult review activity always presented chronological order
NBD NBD Internal,"Limited Address Search: Address lookup and property searching can be difficult, particularly when researching redevelopment or neighborhood projects.",limited address search address lookup property searching difficult particularly researching redevelopment neighborhood project,negative,-0.5267,-7,limited address search address lookup property searching difficult particularly researching redevelopment neighborhood project
NBD NBD Internal,Contact Management Issues: The IPS contact/address book contains duplicate or difficult-to-manage records.,contact management issue ip book contains duplicate record,neutral,0.0,-7,contact management issue ip book contains duplicate record
NBD NBD Internal,System Performance: IPS slows down when processing large amounts of information and occasionally crashes during use.,system performance ip slows processing large amount information occasionally crash use,negative,0.0,-2,system performance ip slows processing large amount information occasionally crash use
NBD NBD Internal,Limited Cross-Case Visibility: Users cannot easily review related information across multiple cases simultaneously.,limited visibility user easily review related information across multiple case simultaneously,positive,-0.4471,-7,limited visibility user easily review related information across multiple case simultaneously
NBD NBD Internal,Manual Data Entry: Many program activities require repetitive manual data entry and updates.,manual data entry many program activity require repetitive manual data entry update,negative,-0.25,-5,manual data entry many program activity require repetitive manual data entry update
NBD NBD Internal,"Fragmented Information Sources: Staff must search multiple systems including IPS, Camino, AS400, eTax, County Clerk, GIS, and external databases to complete property research.",fragmented information source staff must search multiple system including ip camino etax county clerk gi external database complete property research,neutral,0.0,-7,fragmented information source staff must search multiple system including ip camino etax county clerk gi external database complete property research
NBD NBD Internal,Limited Data Sharing: Information is not easily shared across City departments or external agencies.,limited data sharing information easily shared across city department external agency,positive,-0.2896,-2,limited data sharing information easily shared across city department external agency
NBD NBD Internal,"Property Research Complexity: Researching ownership, redevelopment history, and neighborhood information requires significant manual effort",property research complexity researching ownership redevelopment history neighborhood information requires significant manual effort,positive,0.2023,-5,property research complexity researching ownership redevelopment history neighborhood information requires significant manual effort
NBD NBD Internal,"Lack of Automation: Manual workflows increase staff effort for referrals, research, and program tracking.",lack automation manual workflow increase staff effort referral research program tracking,neutral,0.0,-5,lack automation manual workflow increase staff effort referral research program tracking
NBD NBD Internal,Historical Record Access: Historical property records and previous program information can be difficult to locate.,historical record access historical property record previous program information difficult locate,negative,-0.3612,-3,historical record access historical property record previous program information difficult locate
NBD NBD Internal,Improved Referral Management: Better support ERP referrals by identifying referral sources and automating referral workflows.,improved referral management better support erp referral identifying referral source automating referral workflow,positive,0.8271,0,improved referral management better support erp referral identifying referral source automating referral workflow
NBD NBD Internal,"Enhanced Search Capabilities: Improve searching for addresses, ownership, neighborhood information, and related cases.",enhanced search capability improve searching address ownership neighborhood information related case,positive,0.4404,-1,enhanced search capability improve searching address ownership neighborhood information related case
NBD NBD Internal,Improved Case History: Present case information in a clear chronological order.,improved case history present case information clear chronological order,positive,0.6908,0,improved case history present case information clear chronological order
NBD NBD Internal,Better Contact Management: Improve contact records and reduce duplicate address book entries.,better contact management improve contact record reduce duplicate address book entry,positive,0.7003,-2,better contact management improve contact record reduce duplicate address book entry
NBD NBD Internal,Improved Cross-Case Visibility: Allow users to view related information across multiple cases from a single location.,improved visibility allow user view related information across multiple case single location,positive,0.6124,-2,improved visibility allow user view related information across multiple case single location
NBD NBD Internal,Workflow Automation: Reduce manual data entry and automate repetitive program tasks.,workflow automation reduce manual data entry automate repetitive program task,negative,-0.25,-5,workflow automation reduce manual data entry automate repetitive program task
NBD NBD Internal,Geographic Property View: Provide geographic visualization of nearby properties and neighborhood activity within the system.,geographic property view provide geographic visualization nearby property neighborhood activity within system,neutral,0.0,0,geographic property view provide geographic visualization nearby property neighborhood activity within system
NBD NBD Internal,System Consolidation: Reduce the number of separate systems needed to complete property research and program administration.,system consolidation reduce number separate system needed complete property research program administration,positive,0.0772,-2,system consolidation reduce number separate system needed complete property research program administration
NBD NBD Internal,"Integrated Property Information: Create a single location for ownership, tax, permits, violations, redevelopment history, and housing program information.",integrated property information create single location ownership tax permit violation redevelopment history housing program information,negative,-0.3182,0,integrated property information create single location ownership tax permit violation redevelopment history housing program information
NBD NBD Internal,Better Data Sharing: Improve access to County and external property data.,better data sharing improve access county external property data,positive,0.8225,0,better data sharing improve access county external property data
