Focus Group,Expectation,processed_content,label,VADER,Business Score,processed_expectations
BAA BAA Supervisors,"Linked Property Cases: Automatically link all violations, complaints, hearings, and tickets associated with the same property or owner.",linked property case automatically link violation complaint hearing ticket associated property owner,negative,-0.7269,0,linked property case automatically link violation complaint hearing ticket associated property owner
BAA BAA Supervisors,"Improved Evidence Management: Provide a centralized repository for inspection photographs, documents, hearing evidence, and supporting materials.",improved evidence management provide centralized repository inspection photograph document hearing evidence supporting material,positive,0.7184,9,improved evidence management provide centralized repository inspection photograph document hearing evidence supporting material
BAA BAA Supervisors,"Enhanced Search Capabilities: Improve searching by owner, LLC, parcel, address, and tax ID while providing more reliable reports.",enhanced search capability improve searching owner llc parcel address tax id providing reliable report,positive,0.4404,5,enhanced search capability improve searching owner llc parcel address tax id providing reliable report
BAA BAA Supervisors,Integrated Payment Management: Link payments directly to specific violations and improve payment tracking across cases.,integrated payment management link payment directly specific violation improve payment tracking across case,negative,-0.128,8,integrated payment management link payment directly specific violation improve payment tracking across case
BAA BAA Supervisors,"Simplified User Experience: Reduce unnecessary actions, improve case navigation, color-code BAA activities, and make notes more accessible.",simplified user experience reduce unnecessary action improve case navigation baa activity make note accessible,positive,0.4404,8,simplified user experience reduce unnecessary action improve case navigation baa activity make note accessible
BAA BAA Supervisors,"Online Constituent Portal: Allow property owners to view evidence, dispute violations, schedule hearings, submit appeals, and make payments through an online portal.",online constituent portal allow property owner view evidence dispute violation schedule hearing submit appeal make payment online portal,negative,-0.6369,0,online constituent portal allow property owner view evidence dispute violation schedule hearing submit appeal make payment online portal
BAA BAA Supervisors,"Standardized Documentation Practices: Improve consistency in inspector documentation, photographs, evidence submission, and case notes before hearings.",standardized documentation practice improve consistency inspector documentation photograph evidence submission case note hearing,positive,0.4404,3,standardized documentation practice improve consistency inspector documentation photograph evidence submission case note hearing
BAA BAA Supervisors,"Improved Constituent Experience: Provide clearer communication, easier payment options, real-time case status, and self-service capabilities for property owners.",improved constituent experience provide clearer communication easier payment option case status capability property owner,positive,0.7096,11,improved constituent experience provide clearer communication easier payment option case status capability property owner
BAA BAA Supervisors,"Improved Interdepartmental Coordination: Strengthen communication and information sharing between BAA, Code Enforcement, Common Counsel, and CPC.",improved interdepartmental coordination strengthen communication information sharing baa code enforcement common counsel cpc,positive,0.802,10,improved interdepartmental coordination strengthen communication information sharing baa code enforcement common counsel cpc
BAA BAA Supervisors,"Hearing Management: Support online dispute resolution, virtual hearings, automated scheduling, and streamlined appeal processes.",hearing management support online dispute resolution virtual hearing automated scheduling streamlined appeal process,neutral,0.0,6,hearing management support online dispute resolution virtual hearing automated scheduling streamlined appeal process
DOCE Building Inspectors,"Single Property View: Access ownership, permits, zoning, water, elevator, sprinkler, and enforcement information from one location.",single property view access ownership permit zoning water elevator sprinkler enforcement information one location,neutral,0.0,4,single property view access ownership permit zoning water elevator sprinkler enforcement information one location
DOCE Building Inspectors,"Integrated Third-Party Certifications: Make sprinkler, elevator, HVAC, boiler, and fire system certifications accessible within inspection cases.",integrated certification make sprinkler elevator hvac boiler fire system certification accessible within inspection case,negative,-0.34,5,integrated certification make sprinkler elevator hvac boiler fire system certification accessible within inspection case
DOCE Building Inspectors,Improved Parcel History: Better visibility into related cases and property history.,improved parcel history better visibility related case property history,positive,0.7184,12,improved parcel history better visibility related case property history
DOCE Building Inspectors,Consolidated Ownership Records: Eliminate duplicate ownership records and inconsistencies.,consolidated ownership record eliminate duplicate ownership record inconsistency,neutral,0.0,1,consolidated ownership record eliminate duplicate ownership record inconsistency
DOCE Building Inspectors,Improved Case Search: Make finding cases faster and easier.,improved case search make finding case faster easier,positive,0.7096,10,improved case search make finding case faster easier
DOCE Building Inspectors,"Cross-Department Visibility: Display updates from Fire, Zoning, Law, and BAA within inspection cases.",visibility display update fire zoning law baa within inspection case,negative,-0.34,2,visibility display update fire zoning law baa within inspection case
DOCE Building Inspectors,Improved Reminder Management: Better tracking and visibility of tickle dates.,improved reminder management better tracking visibility tickle date,positive,0.7184,12,improved reminder management better tracking visibility tickle date
DOCE Building Inspectors,Comprehensive Case View: Show all related property information within a single screen.,comprehensive case view show related property information within single screen,positive,0.25,2,comprehensive case view show related property information within single screen
DOCE Building Inspectors,Greater Stability: Reduce crashes and system interruptions.,greater stability reduce crash system interruption,negative,-0.0516,0,greater stability reduce crash system interruption
DOCE Building Inspectors,Faster Performance: Improve loading times and responsiveness.,faster performance improve loading time responsiveness,positive,0.4404,5,faster performance improve loading time responsiveness
DOCE Building Inspectors,More Reliable Data Storage: Prevent loss of entered information.,reliable data storage prevent loss entered information,negative,-0.296,0,reliable data storage prevent loss entered information
DOCE Building Inspectors,Mobile & Field Capabilities,mobile field capability,neutral,0.0,2,mobile field capability
DOCE Building Inspectors,Modern Tablets: Replace outdated tablets with reliable devices.,modern tablet replace outdated tablet reliable device,neutral,0.0,0,modern tablet replace outdated tablet reliable device
DOCE Building Inspectors,Mobile IPS Application: Enable inspectors to complete inspections entirely in the field.,mobile ip application enable inspector complete inspection entirely field,neutral,0.0,2,mobile ip application enable inspector complete inspection entirely field
DOCE Building Inspectors,iPhone Compatibility: Provide a mobile application that works on iPhones.,iphone compatibility provide mobile application work iphones,neutral,0.0,2,iphone compatibility provide mobile application work iphones
DOCE Building Inspectors,Real-Time Data Access: Allow inspectors to access and update cases from anywhere.,data access allow inspector access update case anywhere,positive,0.2263,5,data access allow inspector access update case anywhere
DOCE Building Inspectors,Field Citation Capability: Create violations and complete documentation without returning to the office.,field citation capability create violation complete documentation without returning office,negative,-0.3182,0,field citation capability create violation complete documentation without returning office
DOCE Building Inspectors,One System for Everything: Reduce dependency on multiple systems.,one system everything reduce dependency multiple system,neutral,0.0,0,one system everything reduce dependency multiple system
DOCE Building Inspectors,"Integrated Permit & Enforcement Records: Combine permit, zoning, inspection, and enforcement information.",integrated permit enforcement record combine permit zoning inspection enforcement information,neutral,0.0,4,integrated permit enforcement record combine permit zoning inspection enforcement information
DOCE Building Inspectors,Centralized Property Information: Eliminate the need to research across multiple databases.,centralized property information eliminate need research across multiple database,neutral,0.0,5,centralized property information eliminate need research across multiple database
DOCE Building Inspectors,"Better Interdepartmental Communication: Improve communication between Building, Fire, Zoning, Law, BAA, and Permits.",better interdepartmental communication improve communication building fire zoning law baa permit,positive,0.5267,7,better interdepartmental communication improve communication building fire zoning law baa permit
DOCE Building Inspectors,Faster Zone Check Process: Improve zoning review turnaround times.,faster zone check process improve zoning review turnaround time,positive,0.4404,5,faster zone check process improve zoning review turnaround time
DOCE Building Inspectors,Improved Status Updates: Provide automatic updates when related departments complete work.,improved status update provide automatic update related department complete work,positive,0.4767,6,improved status update provide automatic update related department complete work
DOCE Building Inspectors,Better Permit Coordination: Improve visibility into permit requirements and approvals.,better permit coordination improve visibility permit requirement approval,positive,0.7003,7,better permit coordination improve visibility permit requirement approval
DOCE Building Inspectors,Elevator Certification Access: Ability to quickly verify elevator certification status.,elevator certification access ability quickly verify elevator certification status,positive,0.3182,2,elevator certification access ability quickly verify elevator certification status
DOCE Building Inspectors,Sprinkler Report Access: Access to sprinkler inspection reports and compliance records.,sprinkler report access access sprinkler inspection report compliance record,neutral,0.0,3,sprinkler report access access sprinkler inspection report compliance record
DOCE Building Inspectors,Water Certification Access: Visibility into water usage and water certification information.,water certification access visibility water usage water certification information,neutral,0.0,4,water certification access visibility water usage water certification information
DOCE Building Inspectors,Compliance Engine Integration: Direct access to third-party inspection and compliance data.,compliance engine integration direct access inspection compliance data,neutral,0.0,5,compliance engine integration direct access inspection compliance data
DOCE CommercialPermitElectrical Inspectors,"Real-Time Field Access: Ability to access, update, and modify cases while in the field.",field access ability access update modify case field,positive,0.3182,5,field access ability access update modify case field
DOCE CommercialPermitElectrical Inspectors,Mobile Case Management: Support inspection documentation from mobile devices.,mobile case management support inspection documentation mobile device,positive,0.4019,2,mobile case management support inspection documentation mobile device
DOCE CommercialPermitElectrical Inspectors,Improved Documentation Tools: Better support for inspection notes and permit documentation.,improved documentation tool better support inspection note permit documentation,positive,0.8271,8,improved documentation tool better support inspection note permit documentation
DOCE CommercialPermitElectrical Inspectors,Integrated Scheduling: Connect inspection scheduling with case management.,integrated scheduling connect inspection scheduling case management,neutral,0.0,3,integrated scheduling connect inspection scheduling case management
DOCE CommercialPermitElectrical Inspectors,Faster Search Capabilities: Quickly locate project and permit information.,faster search capability quickly locate project permit information,neutral,0.0,4,faster search capability quickly locate project permit information
DOCE CommercialPermitElectrical Inspectors,Centralized Case Information: Consolidate project history and inspection records.,centralized case information consolidate project history inspection record,neutral,0.0,6,centralized case information consolidate project history inspection record
DOCE CommercialPermitElectrical Inspectors,Permit Visibility: Improve visibility into permit-related activities and assignments.,permit visibility improve visibility activity assignment,positive,0.4404,5,permit visibility improve visibility activity assignment
DOCE CommercialPermitElectrical Inspectors,"Inspection Tracking: Continue the ability to track failed or ""kick-out"" inspections.",inspection tracking continue ability track failed inspection,negative,-0.25,2,inspection tracking continue ability track failed inspection
DOCE CommercialPermitElectrical Inspectors,Future Follow-Up Tracking: Maintain tickler and reminder functionality.,future tracking maintain tickler reminder functionality,neutral,0.0,2,future tracking maintain tickler reminder functionality
DOCE CommercialPermitElectrical Inspectors,Project Status Monitoring: Better visibility into active and pending projects.,project status monitoring better visibility active pending project,positive,0.6808,4,project status monitoring better visibility active pending project
DOCE CommercialPermitElectrical Inspectors,Mobile & Field Capabilities,mobile field capability,neutral,0.0,2,mobile field capability
DOCE CommercialPermitElectrical Inspectors,Mobile Inspection Application: Complete inspections entirely from the field.,mobile inspection application complete inspection entirely field,neutral,0.0,2,mobile inspection application complete inspection entirely field
DOCE CommercialPermitElectrical Inspectors,Photo & Video Integration: Capture and upload inspection documentation directly from mobile devices.,photo video integration capture upload inspection documentation directly mobile device,neutral,0.0,5,photo video integration capture upload inspection documentation directly mobile device
DOCE CommercialPermitElectrical Inspectors,Offline Capability: Allow inspections to continue without internet connectivity.,offline capability allow inspection continue without internet connectivity,positive,0.1027,0,offline capability allow inspection continue without internet connectivity
DOCE CommercialPermitElectrical Inspectors,Field-Based Certificate Issuance: Support approvals and documentation from inspection sites.,certificate issuance support approval documentation inspection site,positive,0.4019,0,certificate issuance support approval documentation inspection site
DOCE CommercialPermitElectrical Inspectors,Scheduling & Calendar Integration,scheduling calendar integration,neutral,0.0,3,scheduling calendar integration
DOCE CommercialPermitElectrical Inspectors,Camino-Outlook Integration: Automatically synchronize inspections scheduled in Camino with Outlook calendars.,integration automatically synchronize inspection scheduled camino outlook calendar,neutral,0.0,3,integration automatically synchronize inspection scheduled camino outlook calendar
DOCE CommercialPermitElectrical Inspectors,Unified Scheduling Platform: Eliminate duplicate scheduling activities.,unified scheduling platform eliminate duplicate scheduling activity,positive,0.3818,0,unified scheduling platform eliminate duplicate scheduling activity
DOCE CommercialPermitElectrical Inspectors,Automated Reminders: Create reminders for future inspections and contractor follow-up.,automated reminder create reminder future inspection contractor,positive,0.2732,3,automated reminder create reminder future inspection contractor
DOCE CommercialPermitElectrical Inspectors,Tickler Date Functionality: Add reminder dates and follow-up tracking directly within permit workflows.,tickler date functionality add reminder date tracking directly within permit workflow,neutral,0.0,4,tickler date functionality add reminder date tracking directly within permit workflow
DOCE CommercialPermitElectrical Inspectors,"Integrated Permit Workflow: Connect permitting, inspections, and enforcement into one workflow.",integrated permit workflow connect permitting inspection enforcement one workflow,neutral,0.0,5,integrated permit workflow connect permitting inspection enforcement one workflow
DOCE CommercialPermitElectrical Inspectors,Better Contractor Communication: Improve communication tools and contractor notifications.,better contractor communication improve communication tool contractor notification,positive,0.7003,9,better contractor communication improve communication tool contractor notification
DOCE CommercialPermitElectrical Inspectors,Project Lifecycle Tracking: Track projects from permit issuance through completion.,project lifecycle tracking track project permit issuance completion,neutral,0.0,2,project lifecycle tracking track project permit issuance completion
DOCE CommercialPermitElectrical Inspectors,Improved Address Management: Standardize and validate address information.,improved address management standardize validate address information,positive,0.6808,6,improved address management standardize validate address information
DOCE CommercialPermitElectrical Inspectors,Improved User Training: Provide more comprehensive training for Camino and permit workflows.,improved user training provide comprehensive training camino permit workflow,positive,0.659,8,improved user training provide comprehensive training camino permit workflow
DOCE CommercialPermitElectrical Inspectors,"Better Cross-Team Coordination: Improve coordination among Permit Office, inspectors, contractors, and Code Enforcement.",better coordination improve coordination among permit office inspector contractor code enforcement,positive,0.7003,5,better coordination improve coordination among permit office inspector contractor code enforcement
DOCE CommercialPermitElectrical Inspectors,Standardized Processes: Establish consistent workflows across permit disciplines.,standardized process establish consistent workflow across permit discipline,neutral,0.0,2,standardized process establish consistent workflow across permit discipline
DOCE CommercialPermitElectrical Inspectors,Qualified Staffing & Knowledge Transfer: Improve onboarding and training for specialized inspection roles.,qualified staffing knowledge transfer improve onboarding training specialized inspection role,positive,0.4404,3,qualified staffing knowledge transfer improve onboarding training specialized inspection role
Assessment Assessment Supervisors,Improved Historical Records: Maintain comprehensive historical permit and property records that reduce the need to search multiple systems.,improved historical record maintain comprehensive historical permit property record reduce need search multiple system,positive,0.6249,9,improved historical record maintain comprehensive historical permit property record reduce need search multiple system
Assessment Assessment Supervisors,"Integrated Property Information: Better integrate historical permits, certificates, surveys, and property documentation into one location.",integrated property information better integrate historical permit certificate survey property documentation one location,positive,0.4404,5,integrated property information better integrate historical permit certificate survey property documentation one location
Assessment Assessment Supervisors,Improved Document Viewing: Improve the ability to view large plans and historical documents within the system.,improved document viewing improve ability view large plan historical document within system,positive,0.8074,6,improved document viewing improve ability view large plan historical document within system
Assessment Assessment Supervisors,Improved Property Research: Reduce the amount of searching required across multiple sources when researching property history.,improved property research reduce amount searching required across multiple source researching property history,positive,0.4767,10,improved property research reduce amount searching required across multiple source researching property history
Assessment Assessment Supervisors,Improved Parcel Information: Improve access to parcel history following resubdivisions.,improved parcel information improve access parcel history following resubdivisions,positive,0.7184,10,improved parcel information improve access parcel history following resubdivisions
DOCE Admin Aide,Automatically synchronize inspection schedules between IPS and Outlook.,automatically synchronize inspection schedule ip outlook,neutral,0.0,0,automatically synchronize inspection schedule ip outlook
DOCE Admin Aide,Reduce duplicate scheduling activities.,reduce duplicate scheduling activity,neutral,0.0,0,reduce duplicate scheduling activity
DOCE Admin Aide,Improve scheduling coordination for inspections involving multiple departments.,improve scheduling coordination inspection involving multiple department,positive,0.4404,3,improve scheduling coordination inspection involving multiple department
DOCE Admin Aide,Streamline the Periodic Inspection module.,streamline periodic inspection module,neutral,0.0,0,streamline periodic inspection module
DOCE Admin Aide,Improve search functionality for cases and properties.,improve search functionality case property,positive,0.4404,5,improve search functionality case property
DOCE Admin Aide,Make Parcel History easier to navigate for large properties.,make parcel history easier navigate large property,positive,0.4215,2,make parcel history easier navigate large property
DOCE Admin Aide,Improve visibility of case notes and attachments.,improve visibility case note attachment,positive,0.6124,5,improve visibility case note attachment
DOCE Admin Aide,Standardize workflows across modules.,standardize workflow across module,neutral,0.0,2,standardize workflow across module
DOCE Admin Aide,Auto-populate commonly used complaint and inspection information.,commonly used complaint inspection information,negative,-0.296,0,commonly used complaint inspection information
DOCE Admin Aide,Reduce repetitive manual data entry.,reduce repetitive manual data entry,negative,-0.25,0,reduce repetitive manual data entry
DOCE Admin Aide,Improve attachment management and document uploads.,improve attachment management document uploads,positive,0.6249,3,improve attachment management document uploads
DOCE Admin Aide,Provide more consistent user interface behavior.,provide consistent user interface behavior,neutral,0.0,0,provide consistent user interface behavior
DOCE Admin Aide,Reduce crashes and memory-related errors.,reduce crash error,negative,-0.34,0,reduce crash error
DOCE Admin Aide,Improve loading and response times.,improve loading response time,positive,0.4404,3,improve loading response time
DOCE Admin Aide,Support multitasking without affecting system stability.,support multitasking without affecting system stability,positive,0.4019,0,support multitasking without affecting system stability
DOCE Admin Aide,Reduce reliance on multiple disconnected systems.,reduce reliance multiple disconnected system,neutral,0.0,0,reduce reliance multiple disconnected system
DOCE Admin Aide,"Improve integration between IPS, Camino, GIS, and AS400.",improve integration ip camino gi,positive,0.4404,8,improve integration ip camino gi
DOCE Admin Aide,Create a more unified view of property and inspection information.,create unified view property inspection information,positive,0.6115,0,create unified view property inspection information
DOCE Admin Aide,Eliminate duplicate data entry where possible.,eliminate duplicate data entry possible,neutral,0.0,0,eliminate duplicate data entry possible
DOCE Admin Aide,Improve access to ownership and property information.,improve access ownership property information,positive,0.4404,5,improve access ownership property information
DOCE Admin Aide,Simplify property research processes.,simplify property research process,neutral,0.0,2,simplify property research process
DOCE Admin Aide,Make relevant property information easier to locate and verify.,make relevant property information easier locate verify,positive,0.4215,0,make relevant property information easier locate verify
DOCE Admin Aide,Add spell-check and grammar-check functionality.,add functionality,neutral,0.0,0,add functionality
DOCE Admin Aide,Improve visual organization of records and attachments.,improve visual organization record attachment,positive,0.6124,4,improve visual organization record attachment
DOCE Admin Aide,Support dark mode and modern user interface features.,support dark mode modern user interface feature,positive,0.4019,0,support dark mode modern user interface feature
DOCE Admin Aide,Make frequently used information easier to identify and access.,make frequently used information easier identify access,positive,0.4215,2,make frequently used information easier identify access
DOCE Admin Aide,Resolve phone system issues causing dropped calls.,resolve phone system issue causing dropped call,positive,0.3818,0,resolve phone system issue causing dropped call
DOCE Admin Aide,Improve communication tools for public interactions.,improve communication tool public interaction,positive,0.4404,5,improve communication tool public interaction
DOCE Admin Aide,Better support high-volume scheduling and customer service activities.,better support scheduling customer service activity,positive,0.6808,2,better support scheduling customer service activity
DOCE Supervisors,Automated Case Alerts: Alert supervisors when cases become inactive.,automated case alert alert supervisor case become inactive,positive,0.296,3,automated case alert alert supervisor case become inactive
DOCE Supervisors,"Missed Case Identification: Automatically identify cases lacking inspection dates, assignments, or follow-up actions.",missed case identification automatically identify case lacking inspection date assignment action,negative,-0.296,0,missed case identification automatically identify case lacking inspection date assignment action
DOCE Supervisors,Improved Case Tracking: Better visibility into case status and workflow progression.,improved case tracking better visibility case status workflow progression,positive,0.7184,14,improved case tracking better visibility case status workflow progression
DOCE Supervisors,Case Cleanup Tools: Ability to close and manage large volumes of historical cases.,case cleanup tool ability close manage large volume historical case,positive,0.3182,0,case cleanup tool ability close manage large volume historical case
DOCE Supervisors,"Single Parcel View: Consolidate permits, violations, zoning records, tax information, ownership records, and historical data into a unified property record.",single parcel view consolidate permit violation zoning record tax information ownership record historical data unified property record,negative,-0.2023,3,single parcel view consolidate permit violation zoning record tax information ownership record historical data unified property record
DOCE Supervisors,Improved Parcel History: Better display and organization of parcel-related information.,improved parcel history better display organization information,positive,0.7184,10,improved parcel history better display organization information
DOCE Supervisors,Integrated Property Research: Allow users to conduct comprehensive property research from a single screen.,integrated property research allow user conduct comprehensive property research single screen,positive,0.4404,7,integrated property research allow user conduct comprehensive property research single screen
DOCE Supervisors,Enhanced Reporting: More powerful reporting and dashboard capabilities.,enhanced reporting powerful reporting dashboard capability,positive,0.4754,4,enhanced reporting powerful reporting dashboard capability
DOCE Supervisors,"Trend Analysis: Ability to identify patterns, recurring offenders, and enforcement trends.",trend analysis ability identify pattern recurring offender enforcement trend,negative,-0.0516,0,trend analysis ability identify pattern recurring offender enforcement trend
DOCE Supervisors,Performance Metrics: Better operational monitoring and workload analysis.,performance metric better operational monitoring workload analysis,positive,0.4404,2,performance metric better operational monitoring workload analysis
DOCE Supervisors,Simplified Navigation: Reduce complexity and training requirements.,simplified navigation reduce complexity training requirement,neutral,0.0,3,simplified navigation reduce complexity training requirement
DOCE Supervisors,Role-Based Dashboards: Tailored views for supervisors and managers.,dashboard tailored view supervisor manager,neutral,0.0,2,dashboard tailored view supervisor manager
DOCE Supervisors,Batch Processing: Ability to update and manage multiple cases simultaneously.,batch processing ability update manage multiple case simultaneously,positive,0.3182,0,batch processing ability update manage multiple case simultaneously
DOCE Supervisors,Centralized Platform: Reduce reliance on multiple systems.,centralized platform reduce reliance multiple system,neutral,0.0,3,centralized platform reduce reliance multiple system
DOCE Supervisors,"Unified Database: Consolidate IPS, Camino, AS400, OnBase, GIS, and historical records.",unified database consolidate ip camino onbase gi historical record,positive,0.3818,3,unified database consolidate ip camino onbase gi historical record
DOCE Supervisors,Enterprise Data Management: Establish a single source of truth for all property information.,enterprise data management establish single source truth property information,positive,0.3182,2,enterprise data management establish single source truth property information
DOCE Supervisors,Enterprise GIS Connectivity: Direct integration with County GIS and parcel data.,enterprise gi connectivity direct integration county gi parcel data,neutral,0.0,5,enterprise gi connectivity direct integration county gi parcel data
DOCE Supervisors,Parcel-Centric Design: Build workflows around parcel-level information.,design build workflow around information,neutral,0.0,2,design build workflow around information
DOCE Supervisors,"AI-Assisted Research: Use AI to locate related properties, permits, violations, and ownership information.",research use ai locate related property permit violation ownership information,negative,-0.5267,2,research use ai locate related property permit violation ownership information
DOCE Supervisors,AI Reporting: Automatically generate summaries and trend analysis.,ai reporting automatically generate summary trend analysis,neutral,0.0,2,ai reporting automatically generate summary trend analysis
DOCE Supervisors,AI Data Discovery: Improve access to historical information and records.,ai data discovery improve access historical information record,positive,0.4404,6,ai data discovery improve access historical information record
DOCE Supervisors,Mobile & Cloud Capabilities,mobile cloud capability,neutral,0.0,2,mobile cloud capability
DOCE Supervisors,Cloud-Based Access: Allow users to access information from anywhere.,access allow user access information anywhere,positive,0.2263,2,access allow user access information anywhere
DOCE Supervisors,Mobile Functionality: Support field-based work from phones and tablets.,mobile functionality support work phone tablet,positive,0.4019,2,mobile functionality support work phone tablet
DOCE Supervisors,Real-Time Updates: Ensure information is immediately available across departments.,update ensure information immediately available across department,positive,0.3818,3,update ensure information immediately available across department
DOCE Supervisors,"Cross-Department Visibility: Shared access for Code Enforcement, Fire, Zoning, BAA, Law, and Permits.",visibility shared access code enforcement fire zoning baa law permit,neutral,0.0,4,visibility shared access code enforcement fire zoning baa law permit
DOCE Supervisors,Improved Workflow Integration: Eliminate duplicate work and disconnected processes.,improved workflow integration eliminate duplicate work disconnected process,positive,0.4767,11,improved workflow integration eliminate duplicate work disconnected process
DOCE Supervisors,"Historical Data Migration: Consolidate microfiche, scanned records, shared drives, and legacy systems into a single environment.",historical data migration consolidate microfiche scanned record shared drive legacy system single environment,positive,0.34,3,historical data migration consolidate microfiche scanned record shared drive legacy system single environment
DOCE Supervisors,"Modern, User-Friendly Platform: Easier to use than current systems.",modern platform easier use current system,positive,0.4215,3,modern platform easier use current system
DOCE Supervisors,"Scalable Architecture: Support future technologies, analytics, and operational growth.",scalable architecture support future technology analytics operational growth,positive,0.6486,0,scalable architecture support future technology analytics operational growth
DOCE Supervisors,"Comprehensive Property Lifecycle Management: Track a property from permit application through enforcement, compliance, and historical record retention.",comprehensive property lifecycle management track property permit application enforcement compliance historical record retention,positive,0.25,0,comprehensive property lifecycle management track property permit application enforcement compliance historical record retention
DOCE Zoning,"Unified Property History: Provide a single property view containing zoning history, permits, ownership records, parcel history, and previous approvals.",unified property history provide single property view containing zoning history permit ownership record parcel history previous approval,positive,0.3818,5,unified property history provide single property view containing zoning history permit ownership record parcel history previous approval
