department,focus_group,pain_points,source,processed_text,sentiment
BAA,BAA Operations,No hearing schedule: a way to view hearings in designated time frame,worksheet,No hearing schedule: a way to view hearings in designated time frame,negative
BAA,BAA Operations,Having to search by tax ID instead of address,worksheet,Having to search by tax ID instead of address,negative
BAA,BAA Operations,Not being able to search by address,worksheet,Not being able to search by address,negative
BAA,BAA Operations,When you search one of the previews should show fine amount,worksheet,When you search one of the previews should show fine amount,positive
BAA,BAA Operations,Would love for there to be a “hearing schedule (date)” action that then makes a schedule,worksheet,Would love for there to be a “hearing schedule (date)” action that then makes a schedule,negative
BAA,BAA Operations,A way to filter the action log so you can see only “BAA” or only “codes”,worksheet,A way to filter the action log so you can see only “BAA” or only “codes”,negative
BAA,BAA Operations,Repeat same information,worksheet,Repeat same information,negative
BAA,BAA Operations,Hunting for files,worksheet,Hunting for files,negative
BAA,BAA Operations,Respondent cannot access files,worksheet,Respondent cannot access files,negative
BAA,BAA Operations,Violation searches: have to search for address then click each case to see if any open fees,worksheet,Violation searches: have to search for address then click each case to see if any open fees,negative
BAA,BAA Operations,In IPS have to approve pending tickets twice.,worksheet,In IPS have to approve pending tickets twice.,negative
BAA,BAA Operations,BAA case notes: if multiple rounds of tickets only way to make sure correct note is based on date,worksheet,BAA case notes: if multiple rounds of tickets only way to make sure correct note is based on date,negative
BAA,BAA Operations,"Adding default fees, you have to do individually",worksheet,"Adding default fees, you have to do individually",negative
BAA,BAA Operations,Manually opening each case to see if theres a fine,worksheet,Manually opening each case to see if theres a fine,negative
BAA,BAA Operations,There are so many tabs that aren't used,worksheet,There are so many tabs that aren't used,negative
BAA,BAA Operations,Inspections tab needs to contain more things,worksheet,Inspections tab needs to contain more things,negative
BAA,BAA Operations,Just need more options for what we currently do more drop downs,worksheet,Just need more options for what we currently do more drop downs,negative
BAA,BAA Supervisors,Manual ticketing process,worksheet,Manual ticketing process,negative
BAA,BAA Supervisors,Overachieving user account,worksheet,Overachieving user account,negative
BAA,BAA Supervisors,payments,worksheet,payments,positive
BAA,BAA Supervisors,Hearings:,worksheet,Hearings:,positive
BAA,BAA Supervisors,"Ability to contest, schedule by HO",worksheet,"Ability to contest, schedule by HO",positive
BAA,BAA Supervisors,Ability to issue decision by ALJ,worksheet,Ability to issue decision by ALJ,positive
BAA,BAA Supervisors,SOP process,worksheet,SOP process,negative
BAA,BAA Supervisors,Appeal process,worksheet,Appeal process,positive
BAA,BAA Supervisors,View evidence,worksheet,View evidence,negative
BAA,BAA Supervisors,Online dispute,worksheet,Online dispute,negative
BAA,BAA Supervisors,Codes nail/mail tickets with QR code to online portal = constituent portal to view evidence pay/dispute appeal,worksheet,Codes nail/mail tickets with QR code to online portal = constituent portal to view evidence pay/dispute appeal,negative
BAA,BAA Supervisors,Inability to parse out multiple violations = ease of use for multiple tickets = service,worksheet,Inability to parse out multiple violations = ease of use for multiple tickets = service,negative
BAA,BAA Supervisors,Multiple “actions” not being used,worksheet,Multiple “actions” not being used,negative
BAA,BAA Supervisors,Communication with codes,worksheet,Communication with codes,positive
BAA,BAA Supervisors,Case not linked into inputted in one case not available in another with same owner/property,worksheet,Case not linked into inputted in one case not available in another with same owner/property,negative
BAA,BAA Supervisors,Can't search for LLC,worksheet,Can't search for LLC,negative
BAA,BAA Supervisors,Unreliable address search,worksheet,Unreliable address search,positive
BAA,BAA Supervisors,Unreliable reports,worksheet,Unreliable reports,negative
BAA,BAA Supervisors,Too many interfaces not linking info (i.e. parcel search),worksheet,Too many interfaces not linking info (i.e. parcel search),negative
BAA,BAA Supervisors,Payment only described with type – not linked to violations; worse in different rounds,worksheet,Payment only described with type – not linked to violations; worse in different rounds,negative
BAA,BAA Supervisors,Have to add fees one by one,worksheet,Have to add fees one by one,negative
BAA,BAA Supervisors,Note taking (nothing technical),worksheet,Note taking (nothing technical),negative
CPC,CPC,BAA fines,worksheet,BAA fines,negative
CPC,CPC,Open / closed symbols on complaints,worksheet,Open / closed symbols on complaints,negative
CPC,CPC,Account balance for entire property,worksheet,Account balance for entire property,negative
CPC,CPC,Violation sheet mixed with everything else,worksheet,Violation sheet mixed with everything else,negative
CPC,CPC,Maybe the speed sometimes,worksheet,Maybe the speed sometimes,positive
CPC,CPC,Searching complaints by address – most green / pink icons are incorrect,worksheet,Searching complaints by address – most green / pink icons are incorrect,negative
CPC,CPC,When a property has many violations- it loads slower,worksheet,When a property has many violations- it loads slower,negative
CPC,CPC,Search by ticket number and violation number,worksheet,Search by ticket number and violation number,negative
CPC,CPC,Currently only allows search by ticket number,worksheet,Currently only allows search by ticket number,negative
CPC,CPC,Open / closed icons are mostly incorrect,worksheet,Open / closed icons are mostly incorrect,negative
CPC,CPC,It's straightforward,worksheet,It's straightforward,positive
CPC,CPC,Ability to cross-reference account other than address,worksheet,Ability to cross-reference account other than address,positive
CPC,CPC,Any accounts listed under an individual,worksheet,Any accounts listed under an individual,negative
CPO,Permits,Too many applications,worksheet,Too many applications,negative
CPO,Permits,Lack of integration (data being shared),worksheet,Lack of integration (data being shared),negative
CPO,Permits,Notification to code enforcement applicants and reviews,worksheet,Notification to code enforcement applicants and reviews,positive
CPO,Permits,Applications cannot see status,worksheet,Applications cannot see status,negative
CPO,Permits,No integration with other software used,worksheet,No integration with other software used,negative
CPO,Permits,Split permits and codes,worksheet,Split permits and codes,negative
CPO,Permits,Reads less like a report and more like a hunt for information,worksheet,Reads less like a report and more like a hunt for information,negative
CPO,Permits,In camino when application uploads the wrong document,worksheet,In camino when application uploads the wrong document,negative
DOCE,Admin Aide,Filling out appointments separately,worksheet,Filling out appointments separately,negative
DOCE,Admin Aide,Sometimes it saves sometimes it doesn't; different parts of IPS setup differently not cohesive throughout,worksheet,Sometimes it saves sometimes it doesn't; different parts of IPS setup differently not cohesive throughout,negative
DOCE,Admin Aide,Cannot search person with associated addresses/complaints,worksheet,Cannot search person with associated addresses/complaints,negative
DOCE,Admin Aide,Difficult to find individual complaints,worksheet,Difficult to find individual complaints,negative
DOCE,Admin Aide,Reverts to former address updated addresses don't always stay saved,worksheet,Reverts to former address updated addresses don't always stay saved,negative
DOCE,Admin Aide,Does not spell/grammer check,worksheet,Does not spell/grammer check,negative
DOCE,Admin Aide,"GIS deed search, catchments should be a part f each parcel",worksheet,"GIS deed search, catchments should be a part f each parcel",negative
DOCE,Admin Aide,Phone calls dropping,worksheet,Phone calls dropping,negative
DOCE,Admin Aide,Can't upload attachments,worksheet,Can't upload attachments,negative
DOCE,Admin Aide,Saving an inspection after scheduling crashes IPS or sometimes it slows down,worksheet,Saving an inspection after scheduling crashes IPS or sometimes it slows down,negative
DOCE,Admin Aide,Inspector names listed for periodic inspection are never in order/alphabetical,worksheet,Inspector names listed for periodic inspection are never in order/alphabetical,negative
DOCE,Admin Aide,Sometimes Rent Holds / Rent Release doesn't appear as an option to input,worksheet,Sometimes Rent Holds / Rent Release doesn't appear as an option to input,negative
DOCE,Admin Aide,The fact that the processing speed after saving things lags.,worksheet,The fact that the processing speed after saving things lags.,negative
DOCE,Admin Aide,"We can't have to man windows/tabs open at once sometimes because it slows down and crashes. However, due to the volume of calls we get and they can be consecutive we don't always have the time to close everything in between",worksheet,"We can't have to man windows/tabs open at once sometimes because it slows down and crashes. However, due to the volume of calls we get and they can be consecutive we don't always have the time to close everything in between",negative
DOCE,Admin Aide,Prolonged loading time,worksheet,Prolonged loading time,negative
DOCE,Admin Aide,Freezing and crashing of IPS,worksheet,Freezing and crashing of IPS,negative
DOCE,Building Inspectors,Updated Contact Information,worksheet,Updated Contact Information,negative
DOCE,Building Inspectors,Updated address,worksheet,Updated address,negative
DOCE,Building Inspectors,Task to be done for inspection addressed before Inspection,worksheet,Task to be done for inspection addressed before Inspection,negative
DOCE,Building Inspectors,New tablets,worksheet,New tablets,positive
DOCE,Building Inspectors,Citing in field,worksheet,Citing in field,positive
DOCE,Building Inspectors,Required permits,worksheet,Required permits,positive
DOCE,Building Inspectors,some information is outdated,worksheet,some information is outdated,negative
DOCE,Building Inspectors,Having to rely on other people,worksheet,Having to rely on other people,negative
DOCE,Building Inspectors,So many systems,worksheet,So many systems,positive
DOCE,Building Inspectors,Lack of communication,worksheet,Lack of communication,negative
DOCE,Building Inspectors,Getting blamed for slow BAA and Law process,worksheet,Getting blamed for slow BAA and Law process,negative
DOCE,Building Inspectors,Ownership issues/updates,worksheet,Ownership issues/updates,negative
DOCE,Building Inspectors,Too many areas for same information,worksheet,Too many areas for same information,negative
DOCE,Building Inspectors,Not able to hold all information we need,worksheet,Not able to hold all information we need,negative
DOCE,Building Inspectors,Finding cases,worksheet,Finding cases,positive
DOCE,Building Inspectors,Zoning approval/zone check,worksheet,Zoning approval/zone check,negative
DOCE,Building Inspectors,Tax delinquecy,worksheet,Tax delinquecy,negative
DOCE,Building Inspectors,Elevator certification,worksheet,Elevator certification,positive
DOCE,Building Inspectors,Water certification,worksheet,Water certification,positive
DOCE,Building Inspectors,Crashing at least thrice a week,worksheet,Crashing at least thrice a week,negative
DOCE,Building Inspectors,Doesn't show zoning work on our case,worksheet,Doesn't show zoning work on our case,negative
DOCE,CPO-Coordinators,Moving things / duplicating from Camino to IPS,worksheet,Moving things / duplicating from Camino to IPS,positive
DOCE,CPO-Coordinators,Application process made more difficult with Camino,worksheet,Application process made more difficult with Camino,negative
DOCE,CPO-Coordinators,Workflows often “break” / stop working,worksheet,Workflows often “break” / stop working,negative
DOCE,CPO-Coordinators,"Nowhere to notify me of renewal / expirations, unless report if generated",worksheet,"Nowhere to notify me of renewal / expirations, unless report if generated",negative
DOCE,CPO-Coordinators,Case management could be made easier somehow,worksheet,Case management could be made easier somehow,negative
DOCE,CPO-Coordinators,60day notices: crashes and takes time to process,worksheet,60day notices: crashes and takes time to process,negative
DOCE,CPO-Coordinators,Applicant communication,worksheet,Applicant communication,negative
DOCE,CPO-Coordinators,Updating owner information,worksheet,Updating owner information,positive
DOCE,CPO-Coordinators,Attachments and IPS crashing (saving attachments),worksheet,Attachments and IPS crashing (saving attachments),negative
DOCE,CPO-Coordinators,IPS crashes,worksheet,IPS crashes,negative
DOCE,CPO-Coordinators,Having multiple tabs in IPS and everyone isn't on them (periodic vs complaint),worksheet,Having multiple tabs in IPS and everyone isn't on them (periodic vs complaint),negative
DOCE,CPO-Coordinators,Why is family based not in Camino,worksheet,Why is family based not in Camino,negative
DOCE,Housing Inspectors,When IPS freezes or not working efficiently it can cause a delay in process,worksheet,When IPS freezes or not working efficiently it can cause a delay in process,negative
DOCE,Housing Inspectors,The lapses - “freezing” or “loading” that occasionally happens.,worksheet,The lapses - “freezing” or “loading” that occasionally happens.,negative
DOCE,Housing Inspectors,If the Rental registry portal a.k.a. “Periodic Inspection” and IPS were more streamlined it could be more efficient,worksheet,If the Rental registry portal a.k.a. “Periodic Inspection” and IPS were more streamlined it could be more efficient,negative
DOCE,Housing Inspectors,Actions in IPS are slow to select,worksheet,Actions in IPS are slow to select,negative
DOCE,Housing Inspectors,Selection same actions multiple times,worksheet,Selection same actions multiple times,negative
DOCE,Housing Inspectors,Organize cases based on type of cases,worksheet,Organize cases based on type of cases,positive
DOCE,Housing Inspectors,Checking lead map frequently,worksheet,Checking lead map frequently,negative
DOCE,Housing Inspectors,Action are slow,worksheet,Action are slow,negative
DOCE,Housing Inspectors,Allow for pictures to be uploaded a specific way,worksheet,Allow for pictures to be uploaded a specific way,positive
DOCE,Housing Inspectors,No access when in the field besides both before you left,worksheet,No access when in the field besides both before you left,negative
DOCE,Housing Inspectors,When others are entering violations at the same time,worksheet,When others are entering violations at the same time,negative
DOCE,Housing Inspectors,No shortcut for common actions (i.e. code staff notes),worksheet,No shortcut for common actions (i.e. code staff notes),positive
DOCE,Housing Inspectors,Addresses aren't always updated,worksheet,Addresses aren't always updated,negative
DOCE,Housing Inspectors,Too many actions,worksheet,Too many actions,negative
DOCE,Housing Inspectors,"The general flow of IPS, layout",worksheet,"The general flow of IPS, layout",positive
DOCE,Housing Inspectors,It crashes a lot,worksheet,It crashes a lot,positive
DOCE,Housing Inspectors,Its slow to open cases,worksheet,Its slow to open cases,negative
DOCE,Housing Inspectors,IPS will be slow or shutdown; reboot needed,worksheet,IPS will be slow or shutdown; reboot needed,negative
DOCE,Housing Inspectors,"IPS does not have a general scroll option for all cases, need to go into/out of multiple open/closed cases to get accurate picture of case/property history and active cases",worksheet,"IPS does not have a general scroll option for all cases, need to go into/out of multiple open/closed cases to get accurate picture of case/property history and active cases",negative
DOCE,Housing Inspectors,“Trim down” the drop downs related to assigned inspector/type of case,worksheet,“Trim down” the drop downs related to assigned inspector/type of case,negative
DOCE,Office Managers,Updating ownership will sometimes make IPS crash,worksheet,Updating ownership will sometimes make IPS crash,negative
DOCE,Office Managers,Sometimes Image Mate doesn't have the best information and overrides correct ownership information already in IPS,worksheet,Sometimes Image Mate doesn't have the best information and overrides correct ownership information already in IPS,negative
DOCE,Office Managers,Opening cases too quickly and more than one at a time in IPS will often make it crash,worksheet,Opening cases too quickly and more than one at a time in IPS will often make it crash,negative
DOCE,Office Managers,Everything written in the section above which I realize fits better here,worksheet,Everything written in the section above which I realize fits better here,positive
DOCE,Office Managers,Ownership – too many duplicates,worksheet,Ownership – too many duplicates,negative
DOCE,Office Managers,Sanitation notice bar in print queue crashes when clicked,worksheet,Sanitation notice bar in print queue crashes when clicked,negative
DOCE,Office Managers,Address updating – having to click on contact to view updated address,worksheet,Address updating – having to click on contact to view updated address,negative
DOCE,Office Managers,IPS crashing if open/used too long,worksheet,IPS crashing if open/used too long,negative
DOCE,Office Managers,Address range – knowing assessed address,worksheet,Address range – knowing assessed address,negative
DOCE,Office Managers,Assessment address doesn't always match the IPS address,worksheet,Assessment address doesn't always match the IPS address,negative
DOCE,Office Managers,Property manager/agent in IPS “Parcel” does not always transfer over when opening a new case,worksheet,Property manager/agent in IPS “Parcel” does not always transfer over when opening a new case,negative
DOCE,Office Managers,“Refer to BAA” action in the case will not always refer the case to BAA,worksheet,“Refer to BAA” action in the case will not always refer the case to BAA,negative
DOCE,Office Managers,You cannot search by violation number,worksheet,You cannot search by violation number,negative
DOCE,Office Managers,You cannot search an address by the letter number in the address (eg. 205-207 XXX st would need to be searched as 205 & notes 207),worksheet,You cannot search an address by the letter number in the address (eg. 205-207 XXX st would need to be searched as 205 & notes 207),negative
DOCE,Office Managers,The address book can be floated with duplicate contacts with the same information,worksheet,The address book can be floated with duplicate contacts with the same information,negative
DOCE,Permit/Commercial/Electrical Inspectors,IPS buffers/breaks down,worksheet,IPS buffers/breaks down,negative
DOCE,Permit/Commercial/Electrical Inspectors,Searching for information,worksheet,Searching for information,positive
DOCE,Permit/Commercial/Electrical Inspectors,"Inability to document, etc",worksheet,"Inability to document, etc",positive
DOCE,Permit/Commercial/Electrical Inspectors,When you schedule an inspection on camino it doesn't show up on outlook,worksheet,When you schedule an inspection on camino it doesn't show up on outlook,negative
DOCE,Permit/Commercial/Electrical Inspectors,Better training on processes in pace,worksheet,Better training on processes in pace,positive
DOCE,Permit/Commercial/Electrical Inspectors,Cannot create new dates in camino to check/call contractors for updates,worksheet,Cannot create new dates in camino to check/call contractors for updates,negative
DOCE,Permit/Commercial/Electrical Inspectors,Camino is internet based. I can't issue certificate half of the times,worksheet,Camino is internet based. I can't issue certificate half of the times,negative
DOCE,Permit/Commercial/Electrical Inspectors,IPS was awful for RR when I used to do those,worksheet,IPS was awful for RR when I used to do those,negative
DOCE,Permit/Commercial/Electrical Inspectors,Have to hand write my day going through 10 pages of inspections,worksheet,Have to hand write my day going through 10 pages of inspections,negative
DOCE,Permit/Commercial/Electrical Inspectors,Camino's layout format,worksheet,Camino's layout format,negative
DOCE,Permit/Commercial/Electrical Inspectors,Seeing new/assigned work,worksheet,Seeing new/assigned work,positive
DOCE,Permit/Commercial/Electrical Inspectors,access,worksheet,access,positive
DOCE,Permit/Commercial/Electrical Inspectors,In camino not being able to keep track of tickle dates,worksheet,In camino not being able to keep track of tickle dates,negative
DOCE,Permit/Commercial/Electrical Inspectors,I have no issues. I have adapted to it.,worksheet,I have no issues. I have adapted to it.,positive
DOCE,Permit/Commercial/Electrical Inspectors,No coordination,worksheet,No coordination,negative
DOCE,Supervisors,"Too many systems needed to check ownership, taxes, water, codes, permits, zoning history",worksheet,"Too many systems needed to check ownership, taxes, water, codes, permits, zoning history",negative
DOCE,Supervisors,Missing information / data (historical information),worksheet,Missing information / data (historical information),negative
DOCE,Supervisors,“Some historical data lost in fire/flooding/pipe burst”,worksheet,“Some historical data lost in fire/flooding/pipe burst”,negative
DOCE,Supervisors,Information not digital/in one place,worksheet,Information not digital/in one place,negative
DOCE,Supervisors,Multiple software programs and databases,worksheet,Multiple software programs and databases,negative
DOCE,Supervisors,Becomes cumbersome as volume of cases build,worksheet,Becomes cumbersome as volume of cases build,negative
DOCE,Supervisors,Becomes cumbersome as volume of cases build,worksheet,Becomes cumbersome as volume of cases build,negative
DOCE,Supervisors,Inconsistent / lagging contact information,worksheet,Inconsistent / lagging contact information,negative
DOCE,Supervisors,Parcel information not being in one central location,worksheet,Parcel information not being in one central location,negative
DOCE,Supervisors,Research on multiple software,worksheet,Research on multiple software,negative
DOCE,Supervisors,Historical information is missing,worksheet,Historical information is missing,negative
DOCE,Supervisors,Too much collaborating on email (especially with projects),worksheet,Too much collaborating on email (especially with projects),negative
DOCE,Supervisors,Currently no major concerns with IPS,worksheet,Currently no major concerns with IPS,negative
DOCE,Supervisors,Contractors find Camino very frustrating and then gets turned over to CPO and me – Demo Permits,worksheet,Contractors find Camino very frustrating and then gets turned over to CPO and me – Demo Permits,negative
DOCE,Supervisors,IPS Software is unpredictable,worksheet,IPS Software is unpredictable,negative
DOCE,Supervisors,Too many places where information is stored,worksheet,Too many places where information is stored,negative
DOCE,Supervisors,Special Knowledge needed to operate system,worksheet,Special Knowledge needed to operate system,positive
DOCE,Supervisors,"Easy for cases, permits to get missed",worksheet,"Easy for cases, permits to get missed",negative
DOCE,Zoning,Historical context / research scattered all over. “Finding all the history”,worksheet,Historical context / research scattered all over. “Finding all the history”,negative
DOCE,Zoning,Parcel based but not system of record tracking addressing/ownership,worksheet,Parcel based but not system of record tracking addressing/ownership,negative
DOCE,Zoning,Ownership chenges,worksheet,Ownership chenges,negative
DOCE,Zoning,Re-subs,worksheet,Re-subs,negative
DOCE,Zoning,Lot aleration,worksheet,Lot aleration,negative
DOCE,Zoning,History on “inactive parcels”,worksheet,History on “inactive parcels”,negative
DOCE,Zoning,Some are not,worksheet,Some are not,positive
DOCE,Zoning,Basement filling system (excel spreadsheet),worksheet,Basement filling system (excel spreadsheet),negative
DOCE,Zoning,“gaps” in information,worksheet,“gaps” in information,negative
DOCE,Zoning,"Sometimes, pdf or jpegs of documents will not be attached",worksheet,"Sometimes, pdf or jpegs of documents will not be attached",negative
DOCE,Zoning,To an item in IPS a record of the item is there but not the file itself,worksheet,To an item in IPS a record of the item is there but not the file itself,negative
DOCE,Zoning,User interface is ugle,worksheet,User interface is ugle,negative
DOCE,Zoning,"IPS slowness, larger parcels have issues taking time to load",worksheet,"IPS slowness, larger parcels have issues taking time to load",negative
DOCE,Zoning,Parcels broken into multiple pieces / units,worksheet,Parcels broken into multiple pieces / units,negative
DOCE,Zoning,OnBase layout and windows often not very user-friendly,worksheet,OnBase layout and windows often not very user-friendly,negative
DOCE,Zoning,Address tracking after resub division,worksheet,Address tracking after resub division,negative
DOCE,Zoning,CU apps – zoning review,worksheet,CU apps – zoning review,negative
DOCE,Zoning,Late in process,worksheet,Late in process,positive
DOCE,Zoning,History searches take a significant amount of time,worksheet,History searches take a significant amount of time,negative
DOCE,Zoning,Parcel history search,worksheet,Parcel history search,positive
DOCE,Zoning,Area / block searches lot,worksheet,Area / block searches lot,negative
DOCE,Zoning,submenus are difficult to navigate – limited knowledge of system,worksheet,submenus are difficult to navigate – limited knowledge of system,negative
DOCE,Zoning,Answering repetitive phone calls,worksheet,Answering repetitive phone calls,negative
DOCE,Zoning,"A lot of previous approvals are in IPS, but don't have final documents attached.",worksheet,"A lot of previous approvals are in IPS, but don't have final documents attached.",negative
DOCE,Zoning,When parcels are resubdivided or their name changes it can be hard to track history,worksheet,When parcels are resubdivided or their name changes it can be hard to track history,negative
DOCE,Zoning,Reading through complaints can be annoying when looking at the parcel history too,worksheet,Reading through complaints can be annoying when looking at the parcel history too,negative
DOCE,Zoning,"Communication: applicant, reviewer",worksheet,"Communication: applicant, reviewer",negative
DOCE,Zoning,"Communication: applicant, reviewer",worksheet,"Communication: applicant, reviewer",negative
FPB,Fire,I find IPS to be non-intuitive and confusing,worksheet,I find IPS to be non-intuitive and confusing,negative
FPB,Fire,Researching history of violations is time consuming,worksheet,Researching history of violations is time consuming,negative
FPB,Fire,Cloud based would be better,worksheet,Cloud based would be better,negative
FPB,Fire,To sign off on a Certificate of Occupancy or Certificate of Completion have to look in multiple places to find applicable closed inspections,worksheet,To sign off on a Certificate of Occupancy or Certificate of Completion have to look in multiple places to find applicable closed inspections,negative
FPB,Fire,Overall look is outdated,worksheet,Overall look is outdated,negative
FPB,Fire,Missing information regarding parcel,worksheet,Missing information regarding parcel,negative
FPB,Fire,Missing information regarding parcel,worksheet,Missing information regarding parcel,negative
FPB,Fire,From reviewers/inspections,worksheet,From reviewers/inspections,negative
FPB,Fire,"Multiple ways/places to document – action, images/documents, inspections",worksheet,"Multiple ways/places to document – action, images/documents, inspections",positive
FPB,Fire,Inactive parcel that are actually active,worksheet,Inactive parcel that are actually active,negative
FPB,Fire,Scheduling - need to be put in multiple places,worksheet,Scheduling - need to be put in multiple places,negative
FPB,Fire,Too many places to look for things,worksheet,Too many places to look for things,negative
FPB,Fire,Inactive parcels,worksheet,Inactive parcels,positive
FPB,Fire,Parcel address has to be exact,worksheet,Parcel address has to be exact,negative
FPB,Fire,Parcel contains multiple building/businesses,worksheet,Parcel contains multiple building/businesses,positive
FPB,Fire,"It's cumbersome, doesn't work offsite they have to be at desktop or remote in to use",worksheet,"It's cumbersome, doesn't work offsite they have to be at desktop or remote in to use",negative
Law,Law,I can't complete an affirmation if the notices and nail & mail aren't uploaded into IPS,worksheet,I can't complete an affirmation if the notices and nail & mail aren't uploaded into IPS,negative
Law,Law,The layout of the action notes,worksheet,The layout of the action notes,positive
Law,Law,Inability to access water records without AS400,worksheet,Inability to access water records without AS400,negative
Law,Law,Inspectors don't always take good records,worksheet,Inspectors don't always take good records,negative
Law,Law,Cannot combine open violations from multiple complaints,worksheet,Cannot combine open violations from multiple complaints,negative
Law,Law,"Issues with water, tax not easily tacked",worksheet,"Issues with water, tax not easily tacked",negative
Law,Law,Permissions for certain action by property,worksheet,Permissions for certain action by property,positive
Law,Law,IPS is underutilized:,worksheet,IPS is underutilized:,negative
Law,Law,"Documents not loaded, notes needed",worksheet,"Documents not loaded, notes needed",negative
Law,Law,Not so much IPS but that it's underutilized at times by Codes incomplete or missing information,worksheet,Not so much IPS but that it's underutilized at times by Codes incomplete or missing information,negative
NBD,NBD Data Team,"Leak of standardized / consistent data entry, often due to lack of standardized actions aren't used",worksheet,"Leak of standardized / consistent data entry, often due to lack of standardized actions aren't used",negative
NBD,NBD Data Team,Lack of automation eg. Doubling fines after at time condition for much of BAA process,worksheet,Lack of automation eg. Doubling fines after at time condition for much of BAA process,negative
NBD,NBD Data Team,Lack of consistent system use outside of codes for interdepartmental projects / co-ordination,worksheet,Lack of consistent system use outside of codes for interdepartmental projects / co-ordination,negative
NBD,NBD Data Team,Segmentation between Camino & IPS for permitting data,worksheet,Segmentation between Camino & IPS for permitting data,negative
NBD,NBD Data Team,Tracking for users also cause of continuity for data reporting,worksheet,Tracking for users also cause of continuity for data reporting,negative
NBD,NBD Data Team,Lack of timely system updates (IT),worksheet,Lack of timely system updates (IT),negative
NBD,NBD Data Team,"Clunky – easy to accidentally break things inaditantly – make codes item, had to regenerate codes book with rendor",worksheet,"Clunky – easy to accidentally break things inaditantly – make codes item, had to regenerate codes book with rendor",negative
NBD,NBD Data Team,Lack of data validation & required fields – data quality issues because questions are skipped or dropdown item not referred are selected,worksheet,Lack of data validation & required fields – data quality issues because questions are skipped or dropdown item not referred are selected,negative
NBD,NBD Data Team,IPS custom forms – limited functionality can obtain and use feature to populate the system data,worksheet,IPS custom forms – limited functionality can obtain and use feature to populate the system data,negative
NBD,NBD Data Team,Limited ability to manage content when resubs occur – active cases can be in active parcels. IPS doesn't allow for copying of records for historical record keeping purposes. Not obtitus what the related parcel can type,worksheet,Limited ability to manage content when resubs occur – active cases can be in active parcels. IPS doesn't allow for copying of records for historical record keeping purposes. Not obtitus what the related parcel can type,negative
NBD,NBD Data Team,Limited ability to track large cases of unitl level for multifamily / mixed use and / or apartment buildings sub pacels not adequate for addressing this,worksheet,Limited ability to track large cases of unitl level for multifamily / mixed use and / or apartment buildings sub pacels not adequate for addressing this,negative
NBD,NBD Data Team,Address book – unable to add related addresses if contact already stored,worksheet,Address book – unable to add related addresses if contact already stored,negative
NBD,NBD Data Team,Limited frontend reporting capabilities,worksheet,Limited frontend reporting capabilities,negative
NBD,NBD Data Team,BAA process system needs to be able to track BAA outcomes violation level not just overall case level,worksheet,BAA process system needs to be able to track BAA outcomes violation level not just overall case level,negative
NBD,NBD Data Team,Difficult to find specific complaints,worksheet,Difficult to find specific complaints,negative
NBD,NBD Data Team,Unable to add things to IPS through code,worksheet,Unable to add things to IPS through code,negative
NBD,NBD Data Team,Sub parcels are often unused,worksheet,Sub parcels are often unused,negative
NBD,NBD Data Team,Dated workflow system (not programmable),worksheet,Dated workflow system (not programmable),negative
