department,focus_group,expectations,source,processed_text,sentiment,categorize_text,semantic_category,semantic_score,keyword_category,keyword_score,Category,Category_Method,Category_Confidence,Cluster_Raw,Cluster,Assign_Status,Cluster_Label
CPC,CPC,(to keep) Photos!,worksheet,(to keep) Photos!,positive,(to keep) Photos!,Records & Document Management,0.3014561,Records & Document Management,4.0,Records & Document Management,keyword_semantic_agree,4.301456093788147,4,4,HDBSCAN cluster,Records & Document Management
CPC,CPC,(to keep) The complaint look up tool is the best,worksheet,(to keep) The complaint look up tool is the best,positive,(to keep) The complaint look up tool is the best,Case Management,0.29846606,Case Management,4.0,Case Management,keyword_semantic_agree,4.298466056585312,11,11,HDBSCAN cluster,Case Management
CPC,CPC,(to keep) Search by address / owner / ticket number,worksheet,(to keep) Search by address / owner / ticket number,negative,(to keep) Search by address / owner / ticket number,Records & Document Management,0.31237376,Case Management,4.0,Case Management,keyword,4.0,14,14,HDBSCAN cluster,Records & Document Management
CPC,CPC,(to keep) Address always matches eTax. If there's a typo or abbreviation – IPS will match eTax,worksheet,(to keep) Address always matches eTax. If there's a typo or abbreviation – IPS will match eTax,negative,(to keep) Address always matches eTax. If there's a typo or abbreviation – IPS will match eTax,System Integration,0.21063732,Records & Document Management,2.0,Records & Document Management,keyword_low,2.0,-1,-1,Unclustered,Noise / unclustered
CPC,CPC,(to keep) Works well,worksheet,(to keep) Works well,positive,(to keep) Works well,Records & Document Management,0.12502176,Other,0.0,Records & Document Management,semantic_fallback,0.12502175569534302,8,8,HDBSCAN cluster,User Experience & Performance
CPC,CPC,(to keep) Searching under complaints brings up useful + useless information regarding penalty fees currently owed when you input address,worksheet,(to keep) Searching under complaints brings up useful + useless information regarding penalty fees currently owed when you input address,negative,(to keep) Searching under complaints brings up useful + useless information regarding penalty fees currently owed when you input address,Reporting & Decision Support,0.16966513,Case Management,10.0,Case Management,keyword,10.0,11,11,HDBSCAN cluster,Case Management
CPO,Permits,(to keep) Printing review team comments,worksheet,(to keep) Printing review team comments,positive,(to keep) Printing review team comments,Communication & Collaboration,0.21454094,Communication & Collaboration,3.0,Communication & Collaboration,keyword_semantic_agree,3.21454094350338,7,7,HDBSCAN cluster,Records & Document Management
CPO,Permits,(to keep) Contractor database (insurance),worksheet,(to keep) Contractor database (insurance),neutral,(to keep) Contractor database (insurance),Records & Document Management,0.32765013,Data Management & Visibility,4.0,Data Management & Visibility,keyword,4.0,13,13,HDBSCAN cluster,Data Management & Visibility
CPO,Permits,(to keep) “Address book”,worksheet,(to keep) “Address book”,negative,(to keep) “Address book”,Records & Document Management,0.4062598,Records & Document Management,2.0,Records & Document Management,keyword_semantic_agree,2.4062598049640656,14,14,HDBSCAN cluster,Records & Document Management
CPO,Permits,(to keep) Printing capabilities,worksheet,(to keep) Printing capabilities,negative,(to keep) Printing capabilities,Communication & Collaboration,0.15829025,Other,0.0,Communication & Collaboration,semantic_fallback,0.15829025208950043,7,7,HDBSCAN cluster,Records & Document Management
CPO,Permits,(to keep) Alerts (eg. eta),worksheet,(to keep) Alerts (eg. eta),negative,(to keep) Alerts (eg. eta),Scheduling & Resource Management,0.31561342,Other,0.0,Scheduling & Resource Management,semantic_fallback,0.31561341881752014,0,0,HDBSCAN cluster,Scheduling & Resource Management
CPO,Permits,(to keep) customizing user capability,worksheet,(to keep) customizing user capability,positive,(to keep) customizing user capability,User Experience & Performance,0.15693323,User Experience & Performance,2.0,User Experience & Performance,keyword_semantic_agree,2.156933233141899,5,5,HDBSCAN cluster,User Experience & Performance
CPO,Permits,(to keep) Comment editing,worksheet,(to keep) Comment editing,negative,(to keep) Comment editing,Communication & Collaboration,0.1389099,Communication & Collaboration,3.0,Communication & Collaboration,keyword_semantic_agree,3.1389099061489105,7,7,HDBSCAN cluster,Records & Document Management
CPO,Permits,(to keep) Recording users,worksheet,(to keep) Recording users,negative,(to keep) Recording users,Records & Document Management,0.3042071,Records & Document Management,3.0,Records & Document Management,keyword_semantic_agree,3.3042070865631104,1,1,HDBSCAN cluster,Case Management
CPO,Permits,(to keep) I like OnBase layout,worksheet,(to keep) I like OnBase layout,positive,(to keep) I like OnBase layout,User Experience & Performance,0.19632088,System Integration,2.0,System Integration,keyword_low,2.0,5,5,HDBSCAN cluster,User Experience & Performance
CPO,Permits,(to keep) I like that IPS can print out reviewer's comments on one concise report,worksheet,(to keep) I like that IPS can print out reviewer's comments on one concise report,positive,(to keep) I like that IPS can print out reviewer's comments on one concise report,Reporting & Decision Support,0.27410883,Reporting & Decision Support,4.0,Reporting & Decision Support,keyword_semantic_agree,4.274108827114105,7,7,HDBSCAN cluster,Records & Document Management
CPO,Permits,(to keep) Using it as a system of record for code enforcement,worksheet,(to keep) Using it as a system of record for code enforcement,negative,(to keep) Using it as a system of record for code enforcement,Records & Document Management,0.41957992,Case Management,3.0,Records & Document Management,semantic,0.4195799231529236,12,12,HDBSCAN cluster,Case Management
DOCE,Admin Aide,(to keep) Lots of options in the drop downs,worksheet,(to keep) Lots of options in the drop downs,positive,(to keep) Lots of options in the drop downs,System Integration,0.13453153,Other,0.0,System Integration,semantic_fallback,0.13453152775764465,5,5,HDBSCAN cluster,User Experience & Performance
DOCE,Admin Aide,(to keep) Automatically adding – in phone numbers,worksheet,(to keep) Automatically adding – in phone numbers,negative,(to keep) Automatically adding – in phone numbers,Communication & Collaboration,0.16270173,Communication & Collaboration,4.0,Communication & Collaboration,keyword_semantic_agree,4.162701725959778,14,14,HDBSCAN cluster,Records & Document Management
DOCE,Admin Aide,(to keep) The actions for IPS are really solid and cover most things that we need to enter,worksheet,(to keep) The actions for IPS are really solid and cover most things that we need to enter,positive,(to keep) The actions for IPS are really solid and cover most things that we need to enter,System Integration,0.3609897,User Experience & Performance,8.0,User Experience & Performance,keyword,8.0,2,2,HDBSCAN cluster,System Integration
DOCE,Building Inspectors,(to keep) Updated tablets and software that actually works,worksheet,(to keep) Updated tablets and software that actually works,positive,(to keep) Updated tablets and software that actually works,User Experience & Performance,0.2086699,User Experience & Performance,4.0,User Experience & Performance,keyword_semantic_agree,4.208669900894165,-1,4,Soft-assigned,Records & Document Management
DOCE,Building Inspectors,(to keep) simplicity,worksheet,(to keep) simplicity,positive,(to keep) simplicity,Data Management & Visibility,0.1326187,Other,0.0,Data Management & Visibility,semantic_fallback,0.13261869549751282,8,8,HDBSCAN cluster,User Experience & Performance
DOCE,Building Inspectors,(to keep) Documents can be saved in the system,worksheet,(to keep) Documents can be saved in the system,negative,(to keep) Documents can be saved in the system,Records & Document Management,0.5322438,Records & Document Management,4.0,Records & Document Management,keyword_semantic_agree,4.53224378824234,4,4,HDBSCAN cluster,Records & Document Management
DOCE,Building Inspectors,(to keep) Reminder dates,worksheet,(to keep) Reminder dates,negative,(to keep) Reminder dates,Scheduling & Resource Management,0.36976954,Scheduling & Resource Management,7.0,Scheduling & Resource Management,keyword_semantic_agree,7.3697695434093475,0,0,HDBSCAN cluster,Scheduling & Resource Management
DOCE,Building Inspectors,(to keep) I think all of it is very good,worksheet,(to keep) I think all of it is very good,positive,(to keep) I think all of it is very good,User Experience & Performance,0.10061051,Other,0.0,User Experience & Performance,semantic_fallback,0.10061050951480865,8,8,HDBSCAN cluster,User Experience & Performance
DOCE,CPO-Coordinators,(to keep) I like IPS and would continue using – it's easy,worksheet,(to keep) I like IPS and would continue using – it's easy,positive,(to keep) I like IPS and would continue using – it's easy,System Integration,0.38760486,User Experience & Performance,2.0,System Integration,semantic,0.38760486245155334,2,2,HDBSCAN cluster,System Integration
DOCE,CPO-Coordinators,(to keep) Record keeping and finding is simple and effiiceint,worksheet,(to keep) Record keeping and finding is simple and effiiceint,positive,(to keep) Record keeping and finding is simple and effiiceint,Records & Document Management,0.48413172,Records & Document Management,6.0,Records & Document Management,keyword_semantic_agree,6.484131723642349,8,8,HDBSCAN cluster,User Experience & Performance
DOCE,CPO-Coordinators,(to keep) Scheduling inspections is easy,worksheet,(to keep) Scheduling inspections is easy,negative,(to keep) Scheduling inspections is easy,Scheduling & Resource Management,0.36528152,Scheduling & Resource Management,13.0,Scheduling & Resource Management,keyword_semantic_agree,13.365281522274017,16,16,HDBSCAN cluster,Scheduling & Resource Management
DOCE,CPO-Coordinators,"(to keep) Can print reviewer's comments easily, can print standard notices easily, saves all printed documents automatically",worksheet,"(to keep) Can print reviewer's comments easily, can print standard notices easily, saves all printed documents automatically",positive,"(to keep) Can print reviewer's comments easily, can print standard notices easily, saves all printed documents automatically",Records & Document Management,0.36007535,Records & Document Management,4.0,Records & Document Management,keyword_semantic_agree,4.360075354576111,7,7,HDBSCAN cluster,Records & Document Management
DOCE,CPO-Coordinators,(to keep) Working with different departments and giving “tickle” dates,worksheet,(to keep) Working with different departments and giving “tickle” dates,positive,(to keep) Working with different departments and giving “tickle” dates,Scheduling & Resource Management,0.39126378,Scheduling & Resource Management,7.0,Scheduling & Resource Management,keyword_semantic_agree,7.391263782978058,0,0,HDBSCAN cluster,Scheduling & Resource Management
DOCE,Housing Inspectors,(to keep) I think IPS is a good system that is user friendly,worksheet,(to keep) I think IPS is a good system that is user friendly,positive,(to keep) I think IPS is a good system that is user friendly,System Integration,0.46214017,User Experience & Performance,7.0,User Experience & Performance,keyword,7.0,2,2,HDBSCAN cluster,System Integration
DOCE,Housing Inspectors,(to keep) Chronological notes/actions in case,worksheet,(to keep) Chronological notes/actions in case,positive,(to keep) Chronological notes/actions in case,Records & Document Management,0.3267434,User Experience & Performance,8.0,User Experience & Performance,keyword,8.0,-1,5,Soft-assigned,User Experience & Performance
DOCE,Housing Inspectors,(to keep) Separation of cases per property,worksheet,(to keep) Separation of cases per property,positive,(to keep) Separation of cases per property,Case Management,0.35502788,Case Management,4.0,Case Management,keyword_semantic_agree,4.355027884244919,1,1,HDBSCAN cluster,Case Management
DOCE,Housing Inspectors,(to keep) It's pretty good for me,worksheet,(to keep) It's pretty good for me,positive,(to keep) It's pretty good for me,User Experience & Performance,0.07881396,Other,0.0,User Experience & Performance,semantic_fallback,0.07881396263837814,8,8,HDBSCAN cluster,User Experience & Performance
DOCE,Housing Inspectors,(to keep) Information update across cases,worksheet,(to keep) Information update across cases,positive,(to keep) Information update across cases,Case Management,0.47140136,Case Management,4.0,Case Management,keyword_semantic_agree,4.471401363611221,1,1,HDBSCAN cluster,Case Management
DOCE,Housing Inspectors,(to keep) Laptop use would be great in field,worksheet,(to keep) Laptop use would be great in field,positive,(to keep) Laptop use would be great in field,System Integration,0.17010508,User Experience & Performance,4.0,User Experience & Performance,keyword,4.0,-1,-1,Unclustered,Noise / unclustered
DOCE,Office Managers,"(to keep) The ability to click within a case, directs to Image Mate button is very helpful",worksheet,"(to keep) The ability to click within a case, directs to Image Mate button is very helpful",positive,"(to keep) The ability to click within a case, directs to Image Mate button is very helpful",Case Management,0.1963038,User Experience & Performance,7.0,User Experience & Performance,keyword,7.0,5,5,HDBSCAN cluster,User Experience & Performance
DOCE,Office Managers,(to keep) Print queue – organization of notices,worksheet,(to keep) Print queue – organization of notices,negative,(to keep) Print queue – organization of notices,Scheduling & Resource Management,0.28257132,Other,0.0,Scheduling & Resource Management,semantic_fallback,0.28257131576538086,7,7,HDBSCAN cluster,Records & Document Management
DOCE,Office Managers,(to keep) Parcel information – showing information,worksheet,(to keep) Parcel information – showing information,negative,(to keep) Parcel information – showing information,Records & Document Management,0.35424942,Data Management & Visibility,3.0,Records & Document Management,semantic,0.35424941778182983,14,14,HDBSCAN cluster,Records & Document Management
DOCE,Office Managers,(to keep) Complaint search – search by violation numbers?,worksheet,(to keep) Complaint search – search by violation numbers?,negative,(to keep) Complaint search – search by violation numbers?,Reporting & Decision Support,0.22818281,Case Management,7.0,Case Management,keyword,7.0,11,11,HDBSCAN cluster,Case Management
DOCE,Office Managers,(to keep) Search by complaint number,worksheet,(to keep) Search by complaint number,negative,(to keep) Search by complaint number,Case Management,0.2540901,Case Management,4.0,Case Management,keyword_semantic_agree,4.25409010052681,11,11,HDBSCAN cluster,Case Management
DOCE,Office Managers,(to keep) Address book & searching by property owner,worksheet,(to keep) Address book & searching by property owner,negative,(to keep) Address book & searching by property owner,Records & Document Management,0.39905283,User Experience & Performance,4.0,User Experience & Performance,keyword,4.0,14,14,HDBSCAN cluster,Records & Document Management
DOCE,Permit/Commercial/Electrical Inspectors,(to keep) Ability to keep track of kick out inspections,worksheet,(to keep) Ability to keep track of kick out inspections,positive,(to keep) Ability to keep track of kick out inspections,Reporting & Decision Support,0.2868629,Case Management,4.0,Case Management,keyword,4.0,16,16,HDBSCAN cluster,Scheduling & Resource Management
DOCE,Permit/Commercial/Electrical Inspectors,(to keep) When you issue certificate of completion it emails the contractor/homeowner,worksheet,(to keep) When you issue certificate of completion it emails the contractor/homeowner,negative,(to keep) When you issue certificate of completion it emails the contractor/homeowner,Communication & Collaboration,0.31488863,Records & Document Management,4.0,Records & Document Management,keyword,4.0,-1,9,Soft-assigned,Records & Document Management
DOCE,Permit/Commercial/Electrical Inspectors,(to keep) Can upload pictures easily using the app,worksheet,(to keep) Can upload pictures easily using the app,positive,(to keep) Can upload pictures easily using the app,Records & Document Management,0.18908913,Other,0.0,Records & Document Management,semantic_fallback,0.18908913433551788,4,4,HDBSCAN cluster,Records & Document Management
DOCE,Permit/Commercial/Electrical Inspectors,(to keep) layout,worksheet,(to keep) layout,positive,(to keep) layout,Communication & Collaboration,0.13980216,Other,0.0,Communication & Collaboration,semantic_fallback,0.13980215787887573,5,5,HDBSCAN cluster,User Experience & Performance
DOCE,Permit/Commercial/Electrical Inspectors,"(to keep) Again, being able to have future tickle dates",worksheet,"(to keep) Again, being able to have future tickle dates",positive,"(to keep) Again, being able to have future tickle dates",Scheduling & Resource Management,0.2554697,Scheduling & Resource Management,7.0,Scheduling & Resource Management,keyword_semantic_agree,7.255469709634781,0,0,HDBSCAN cluster,Scheduling & Resource Management
DOCE,Permit/Commercial/Electrical Inspectors,(to keep) Don't use it,worksheet,(to keep) Don't use it,negative,(to keep) Don't use it,User Experience & Performance,0.17599602,Other,0.0,User Experience & Performance,semantic_fallback,0.17599602043628693,8,8,HDBSCAN cluster,User Experience & Performance
DOCE,Supervisors,"(to keep) Case notes, photo upload",worksheet,"(to keep) Case notes, photo upload",negative,"(to keep) Case notes, photo upload",Records & Document Management,0.44116032,Records & Document Management,8.0,Records & Document Management,keyword_semantic_agree,8.441160321235657,4,4,HDBSCAN cluster,Records & Document Management
DOCE,Supervisors,"(to keep) Inspection dates, tickle dates",worksheet,"(to keep) Inspection dates, tickle dates",negative,"(to keep) Inspection dates, tickle dates",Scheduling & Resource Management,0.36898425,Scheduling & Resource Management,10.0,Scheduling & Resource Management,keyword_semantic_agree,10.368984252214432,0,0,HDBSCAN cluster,Scheduling & Resource Management
DOCE,Supervisors,(to keep) Drop Box Function,worksheet,(to keep) Drop Box Function,negative,(to keep) Drop Box Function,Records & Document Management,0.117012344,Other,0.0,Records & Document Management,semantic_fallback,0.11701234430074692,5,5,HDBSCAN cluster,User Experience & Performance
DOCE,Supervisors,(to keep) Votes section,worksheet,(to keep) Votes section,positive,(to keep) Votes section,Reporting & Decision Support,0.17060493,Other,0.0,Reporting & Decision Support,semantic_fallback,0.17060492932796478,8,8,HDBSCAN cluster,User Experience & Performance
DOCE,Supervisors,(to keep) Ease of use,worksheet,(to keep) Ease of use,positive,(to keep) Ease of use,User Experience & Performance,0.36246836,Other,0.0,User Experience & Performance,semantic,0.3624683618545532,8,8,HDBSCAN cluster,User Experience & Performance
DOCE,Zoning,(to keep) Some old zoning projects are there.,worksheet,(to keep) Some old zoning projects are there.,positive,(to keep) Some old zoning projects are there.,Workflow & Business Processes,0.25391304,Other,0.0,Workflow & Business Processes,semantic_fallback,0.2539130449295044,12,12,HDBSCAN cluster,Case Management
DOCE,Zoning,(to keep) SOCPA put old variance and conditional uses in IPS,worksheet,(to keep) SOCPA put old variance and conditional uses in IPS,negative,(to keep) SOCPA put old variance and conditional uses in IPS,System Integration,0.14947547,Other,0.0,System Integration,semantic_fallback,0.14947547018527985,2,2,HDBSCAN cluster,System Integration
DOCE,Zoning,(to keep) Parcel history database is in chronological order,worksheet,(to keep) Parcel history database is in chronological order,positive,(to keep) Parcel history database is in chronological order,Data Management & Visibility,0.22729726,Data Management & Visibility,6.0,Data Management & Visibility,keyword_semantic_agree,6.227297261357307,14,14,HDBSCAN cluster,Records & Document Management
DOCE,Zoning,"(to keep) Straightforward, easy to learn",worksheet,"(to keep) Straightforward, easy to learn",positive,"(to keep) Straightforward, easy to learn",Training & Documentation,0.33072817,User Experience & Performance,2.0,Training & Documentation,semantic,0.3307281732559204,8,8,HDBSCAN cluster,User Experience & Performance
DOCE,Zoning,(to keep) Direct file opening,worksheet,(to keep) Direct file opening,negative,(to keep) Direct file opening,Records & Document Management,0.1602955,Records & Document Management,2.0,Records & Document Management,keyword_semantic_agree,2.1602955013513565,5,5,HDBSCAN cluster,User Experience & Performance
DOCE,Zoning,(to keep) Searching for inactive parcel,worksheet,(to keep) Searching for inactive parcel,negative,(to keep) Searching for inactive parcel,Records & Document Management,0.24800977,User Experience & Performance,4.0,User Experience & Performance,keyword,4.0,14,14,HDBSCAN cluster,Records & Document Management
DOCE,Zoning,(to keep) filters,worksheet,(to keep) filters,positive,(to keep) filters,Workflow & Business Processes,0.14690346,Records & Document Management,2.0,Records & Document Management,keyword_low,2.0,14,14,HDBSCAN cluster,Records & Document Management
DOCE,Zoning,"(to keep) The ability to filter by type, permit, project, complaint, etc.",worksheet,"(to keep) The ability to filter by type, permit, project, complaint, etc.",positive,"(to keep) The ability to filter by type, permit, project, complaint, etc.",Records & Document Management,0.34977317,Case Management,7.0,Case Management,keyword,7.0,-1,-1,Unclustered,Noise / unclustered
DOCE,Zoning,"(to keep) It's very terse, a lot of information is provided or most applications",worksheet,"(to keep) It's very terse, a lot of information is provided or most applications",positive,"(to keep) It's very terse, a lot of information is provided or most applications",Records & Document Management,0.29792187,Data Management & Visibility,3.0,Data Management & Visibility,keyword_low,3.0,8,8,HDBSCAN cluster,User Experience & Performance
DOCE,Zoning,(to keep) Comment summary sheet,worksheet,(to keep) Comment summary sheet,neutral,(to keep) Comment summary sheet,Reporting & Decision Support,0.20965646,Communication & Collaboration,3.0,Communication & Collaboration,keyword_low,3.0,7,7,HDBSCAN cluster,Records & Document Management
DOCE,Zoning,"(to keep) Date management: change, modify, date",worksheet,"(to keep) Date management: change, modify, date",neutral,"(to keep) Date management: change, modify, date",Scheduling & Resource Management,0.3797054,Scheduling & Resource Management,2.0,Scheduling & Resource Management,keyword_semantic_agree,2.379705399274826,0,0,HDBSCAN cluster,Scheduling & Resource Management
DOCE,Zoning,(to keep) List of application history,worksheet,(to keep) List of application history,positive,(to keep) List of application history,Records & Document Management,0.24866742,Data Management & Visibility,2.0,Data Management & Visibility,keyword_low,2.0,10,10,HDBSCAN cluster,Data Management & Visibility
DOCE,Zoning,(to keep) Status overview dashboard,worksheet,(to keep) Status overview dashboard,positive,(to keep) Status overview dashboard,Reporting & Decision Support,0.4202468,Reporting & Decision Support,5.0,Reporting & Decision Support,keyword_semantic_agree,5.420246809720993,0,0,HDBSCAN cluster,Scheduling & Resource Management
DOCE,Zoning,(to keep) Comment summary sheet,worksheet,(to keep) Comment summary sheet,neutral,(to keep) Comment summary sheet,Reporting & Decision Support,0.20965646,Communication & Collaboration,3.0,Communication & Collaboration,keyword_low,3.0,7,7,HDBSCAN cluster,Records & Document Management
DOCE,Zoning,(to keep) Data management: change & modify,worksheet,(to keep) Data management: change & modify,positive,(to keep) Data management: change & modify,Data Management & Visibility,0.45162353,Data Management & Visibility,2.0,Data Management & Visibility,keyword_semantic_agree,2.4516235291957855,5,5,HDBSCAN cluster,User Experience & Performance
DOCE,Zoning,(to keep) List of application history: date,worksheet,(to keep) List of application history: date,positive,(to keep) List of application history: date,Records & Document Management,0.1918299,Data Management & Visibility,2.0,Data Management & Visibility,keyword_low,2.0,10,10,HDBSCAN cluster,Data Management & Visibility
DOCE,Zoning,(to keep) Status overview dashboard,worksheet,(to keep) Status overview dashboard,positive,(to keep) Status overview dashboard,Reporting & Decision Support,0.4202468,Reporting & Decision Support,5.0,Reporting & Decision Support,keyword_semantic_agree,5.420246809720993,0,0,HDBSCAN cluster,Scheduling & Resource Management
FPB,Fire,(to keep) The tickle date function seems to be valuable,worksheet,(to keep) The tickle date function seems to be valuable,positive,(to keep) The tickle date function seems to be valuable,Scheduling & Resource Management,0.21426104,Scheduling & Resource Management,7.0,Scheduling & Resource Management,keyword_semantic_agree,7.214261040091515,0,0,HDBSCAN cluster,Scheduling & Resource Management
FPB,Fire,(to keep) Finding the history of a property or business takes several steps,worksheet,(to keep) Finding the history of a property or business takes several steps,positive,(to keep) Finding the history of a property or business takes several steps,Records & Document Management,0.46863946,Workflow & Business Processes,4.0,Workflow & Business Processes,keyword,4.0,13,13,HDBSCAN cluster,Data Management & Visibility
Law,Law,(to keep) I like the images tab so I can look at the notices directly,worksheet,(to keep) I like the images tab so I can look at the notices directly,neutral,(to keep) I like the images tab so I can look at the notices directly,Records & Document Management,0.25384834,Records & Document Management,4.0,Records & Document Management,keyword_semantic_agree,4.253848344087601,5,5,HDBSCAN cluster,User Experience & Performance
Law,Law,(to keep) Intuitive interface,worksheet,(to keep) Intuitive interface,negative,(to keep) Intuitive interface,User Experience & Performance,0.29235905,User Experience & Performance,5.0,User Experience & Performance,keyword_semantic_agree,5.2923590540885925,5,5,HDBSCAN cluster,User Experience & Performance
Law,Law,(to keep) Easy to find individual complaints,worksheet,(to keep) Easy to find individual complaints,neutral,(to keep) Easy to find individual complaints,User Experience & Performance,0.34836537,Case Management,8.0,Case Management,keyword,8.0,11,11,HDBSCAN cluster,Case Management
Law,Law,(to keep) When fully utilized by codes it is a resource for information,worksheet,(to keep) When fully utilized by codes it is a resource for information,positive,(to keep) When fully utilized by codes it is a resource for information,Training & Documentation,0.40776053,Data Management & Visibility,3.0,Training & Documentation,semantic,0.40776053071022034,8,8,HDBSCAN cluster,User Experience & Performance
NBD,NBD Data Team,(to keep) RPS to IPS assessment sync daily: always have current ownership information,worksheet,(to keep) RPS to IPS assessment sync daily: always have current ownership information,negative,(to keep) RPS to IPS assessment sync daily: always have current ownership information,System Integration,0.24346106,Data Management & Visibility,3.0,Data Management & Visibility,keyword_low,3.0,2,2,HDBSCAN cluster,System Integration
NBD,NBD Data Team,(to keep) Panel based,worksheet,(to keep) Panel based,neutral,(to keep) Panel based,System Integration,0.13105135,Other,0.0,System Integration,semantic_fallback,0.13105134665966034,5,5,HDBSCAN cluster,User Experience & Performance
NBD,NBD Data Team,(to keep) Periodic module: ability to batch generate renewal letters when property comes due,worksheet,(to keep) Periodic module: ability to batch generate renewal letters when property comes due,positive,(to keep) Periodic module: ability to batch generate renewal letters when property comes due,Scheduling & Resource Management,0.2763311,Records & Document Management,6.0,Records & Document Management,keyword,6.0,16,16,HDBSCAN cluster,Scheduling & Resource Management
NBD,NBD Data Team,(to keep) Backend access to our own data,worksheet,(to keep) Backend access to our own data,negative,(to keep) Backend access to our own data,Data Management & Visibility,0.3281165,Workflow & Business Processes,2.0,Data Management & Visibility,semantic,0.3281165063381195,5,5,HDBSCAN cluster,User Experience & Performance
NBD,NBD Data Team,(to keep) Based roles / permisions,worksheet,(to keep) Based roles / permisions,positive,(to keep) Based roles / permisions,Training & Documentation,0.21665771,Other,0.0,Training & Documentation,semantic_fallback,0.21665771305561066,5,5,HDBSCAN cluster,User Experience & Performance
NBD,NBD Data Team,(to keep) Workflow configuration abilities (they are limited not easy to set up),worksheet,(to keep) Workflow configuration abilities (they are limited not easy to set up),positive,(to keep) Workflow configuration abilities (they are limited not easy to set up),Workflow & Business Processes,0.4851754,Workflow & Business Processes,5.0,Workflow & Business Processes,keyword_semantic_agree,5.485175400972366,5,5,HDBSCAN cluster,User Experience & Performance
NBD,NBD Data Team,(to keep) New record type configuration abilities / “maintenance” menu,worksheet,(to keep) New record type configuration abilities / “maintenance” menu,negative,(to keep) New record type configuration abilities / “maintenance” menu,Records & Document Management,0.30158684,Records & Document Management,3.0,Records & Document Management,keyword_semantic_agree,3.301586836576462,5,5,HDBSCAN cluster,User Experience & Performance
NBD,NBD Data Team,(to keep) “one stop shop” for property records (pre-camino),worksheet,(to keep) “one stop shop” for property records (pre-camino),negative,(to keep) “one stop shop” for property records (pre-camino),Records & Document Management,0.49428645,Records & Document Management,7.0,Records & Document Management,keyword_semantic_agree,7.494286447763443,13,13,HDBSCAN cluster,Data Management & Visibility
