expectations,department,focus_group,source,final_category,sentiment,Category,Category_Confidence,Category_Method,Cluster_Label,Cluster,Cluster_Size,Cluster_Purity,Cluster_Purity_Adj,Category_Confidence,Category_Confidence_Norm,Assign_Status
Built-in recording system – automatic,BAA,BAA ALJs,worksheet,Case Management,neutral,Records & Document Management,3.2908175587654114,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,3.2908175587654114,0.32881540337018716,HDBSCAN cluster
Application for codes to input information immediately.,BAA,BAA ALJs,worksheet,Data Management & Visibility,negative,Data Management & Visibility,3.0,keyword_low,Noise / unclustered,-1,17,,,3.0,0.29975718571303545,Unclustered
An adjudication specific module,BAA,BAA ALJs,worksheet,Case Management,negative,User Experience & Performance,4.0,keyword,Case Management,1,38,0.6578947368421053,0.6012058570198104,4.0,0.39967624761738063,HDBSCAN cluster
Better designation of fines / fees and which violation it is associated with,BAA,BAA ALJs,worksheet,Workflow & Business Processes,positive,Workflow & Business Processes,6.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,6.0,0.5995143714260709,HDBSCAN cluster
Better layout and more intuitive UI,BAA,BAA ALJs,worksheet,User Experience & Performance,positive,User Experience & Performance,10.33210626244545,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,10.33210626244545,1.0,HDBSCAN cluster
(to keep) Drag and drop of some documents,BAA,BAA ALJs,worksheet,Records & Document Management,negative,Records & Document Management,4.323798388242722,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,4.323798388242722,0.4320298788167323,HDBSCAN cluster
(to keep) Color coding of actions / departments,BAA,BAA ALJs,worksheet,User Experience & Performance,positive,User Experience & Performance,8.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,8.0,0.7993524952347613,Soft-assigned
Case notes together like in alta via.,BAA,BAA Operations,worksheet,Records & Document Management,negative,Records & Document Management,6.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,6.0,0.5995143714260709,HDBSCAN cluster
(to keep) Very detailed on information,BAA,BAA Operations,worksheet,Data Management & Visibility,positive,Data Management & Visibility,3.3715945184230804,keyword_semantic_agree,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,3.3715945184230804,0.33688656140266654,HDBSCAN cluster
Easier to find information like reservice / notes,BAA,BAA Operations,worksheet,Records & Document Management,negative,Records & Document Management,9.0,keyword,Records & Document Management,7,30,0.3,0.2841269841269841,9.0,0.8992715571391064,HDBSCAN cluster
We dont need 30 different green shades but i do like different color for different department,BAA,BAA Operations,worksheet,Workflow & Business Processes,positive,Workflow & Business Processes,3.0,keyword_low,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,3.0,0.29975718571303545,Soft-assigned
Be able to type in different action types instead of just “case notes”,BAA,BAA Operations,worksheet,Records & Document Management,positive,Records & Document Management,6.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,6.0,0.5995143714260709,HDBSCAN cluster
Wrap text instead of sliding the bar all the way over,BAA,BAA Operations,worksheet,Communication & Collaboration,negative,Communication & Collaboration,0.006147946696728468,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.006147946696728468,0.0006142970665750261,HDBSCAN cluster
A recently viewed ability would be amazing,BAA,BAA Operations,worksheet,Data Management & Visibility,positive,Data Management & Visibility,0.15809953212738037,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.15809953212738037,0.015797156937683726,HDBSCAN cluster
If we could search by address that would be so much more efficient,BAA,BAA Operations,worksheet,User Experience & Performance,positive,User Experience & Performance,4.0,keyword,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,4.0,0.39967624761738063,HDBSCAN cluster
(to keep) The color coordination of codes being one color and BAA another,BAA,BAA Operations,worksheet,Case Management,negative,Case Management,4.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,4.0,0.39967624761738063,Soft-assigned
To check if rental registry have been applied for and obtained (people lie about this all the time),BAA,BAA Operations,worksheet,Case Management,negative,Case Management,4.0,keyword,Case Management,12,21,0.42857142857142855,0.37891737891737887,4.0,0.39967624761738063,HDBSCAN cluster
Improve add tab,BAA,BAA Operations,worksheet,User Experience & Performance,positive,User Experience & Performance,3.1280842423439026,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,3.1280842423439026,0.312555243052767,HDBSCAN cluster
(to keep) inspections,BAA,BAA Operations,worksheet,Case Management,positive,Case Management,4.0,keyword,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,4.0,0.39967624761738063,HDBSCAN cluster
Filter open to show all cases with fines,BAA,BAA Operations,worksheet,Case Management,negative,Case Management,4.24300180375576,keyword_semantic_agree,Case Management,11,30,0.6666666666666666,0.5957671957671957,4.24300180375576,0.42395675988972,HDBSCAN cluster
When clicking BAA ticketing from pending to approve either combine both or just one action,BAA,BAA Operations,worksheet,Case Management,negative,Case Management,6.0,keyword,Case Management,3,14,0.5,0.4132553606237817,6.0,0.5995143714260709,HDBSCAN cluster
BAA case notes with action like first round ticket button,BAA,BAA Operations,worksheet,User Experience & Performance,negative,User Experience & Performance,9.0,keyword,Case Management,3,14,0.5,0.4132553606237817,9.0,0.8992715571391064,HDBSCAN cluster
Select all fees at once when applying,BAA,BAA Operations,worksheet,Workflow & Business Processes,positive,Workflow & Business Processes,6.096025429666042,keyword_semantic_agree,Case Management,11,30,0.6666666666666666,0.5957671957671957,6.096025429666042,0.6091091422772635,HDBSCAN cluster
More filter options for addresses with multiple cases,BAA,BAA Operations,worksheet,Case Management,negative,Case Management,4.236376076936722,keyword_semantic_agree,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,4.236376076936722,0.4232947234815272,HDBSCAN cluster
Less action button when going to add notes,BAA,BAA Operations,worksheet,User Experience & Performance,negative,User Experience & Performance,13.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,13.0,1.0,HDBSCAN cluster
Clear out some of the ones that aren't used,BAA,BAA Operations,worksheet,Scheduling & Resource Management,positive,Scheduling & Resource Management,0.15638838708400726,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.15638838708400726,0.015626180930167613,HDBSCAN cluster
“RMI letter receival”,BAA,BAA Operations,worksheet,Records & Document Management,negative,Records & Document Management,3.2212657928466797,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,3.2212657928466797,0.3218658561657969,HDBSCAN cluster
Add RMI letter mailed,BAA,BAA Operations,worksheet,Records & Document Management,negative,Records & Document Management,3.2305191457271576,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,3.2305191457271576,0.3227904425050841,HDBSCAN cluster
(to keep) Want to keep the drag and drop option,BAA,BAA Operations,worksheet,Records & Document Management,positive,Records & Document Management,0.12777824699878693,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.12777824699878693,0.012767482571900496,HDBSCAN cluster
Just want it cleaned up and organized more,BAA,BAA Operations,worksheet,User Experience & Performance,positive,User Experience & Performance,3.0,keyword_low,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,3.0,0.29975718571303545,HDBSCAN cluster
Automate tickets,BAA,BAA Supervisors,worksheet,Case Management,positive,Case Management,8.0,keyword,Case Management,3,14,0.5,0.4132553606237817,8.0,0.7993524952347613,HDBSCAN cluster
Link all tickets/complaints for a property of house owner,BAA,BAA Supervisors,worksheet,Case Management,neutral,Case Management,16.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,16.0,1.0,HDBSCAN cluster
Limit to the ones used,BAA,BAA Supervisors,worksheet,Scheduling & Resource Management,positive,Scheduling & Resource Management,0.1492701768875122,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.1492701768875122,0.014914936044895884,HDBSCAN cluster
(to keep) Search criteria,BAA,BAA Supervisors,worksheet,User Experience & Performance,neutral,User Experience & Performance,4.0,keyword,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,4.0,0.39967624761738063,HDBSCAN cluster
(to keep) Actions with space for notes,BAA,BAA Supervisors,worksheet,User Experience & Performance,neutral,User Experience & Performance,8.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,8.0,0.7993524952347613,HDBSCAN cluster
(to keep) Payment tab relatively easy to use,BAA,BAA Supervisors,worksheet,User Experience & Performance,positive,User Experience & Performance,5.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,5.0,0.49959530952172576,HDBSCAN cluster
(to keep) Tax id search is reliable,BAA,BAA Supervisors,worksheet,User Experience & Performance,positive,User Experience & Performance,4.0,keyword,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,4.0,0.39967624761738063,HDBSCAN cluster
Linked cases is biggest,BAA,BAA Supervisors,worksheet,Case Management,positive,Case Management,4.2840531170368195,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,4.2840531170368195,0.4280585686027048,HDBSCAN cluster
Case note button on top with actions and inspections so wouldn't have to scroll,BAA,BAA Supervisors,worksheet,User Experience & Performance,negative,User Experience & Performance,13.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,13.0,1.0,HDBSCAN cluster
BAA inspections different color from codes,BAA,BAA Supervisors,worksheet,Case Management,negative,Case Management,8.0,keyword,Noise / unclustered,-1,17,,,8.0,0.7993524952347613,Unclustered
revamp actions,BAA,BAA Supervisors,worksheet,User Experience & Performance,positive,User Experience & Performance,8.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,8.0,0.7993524952347613,HDBSCAN cluster
Putting notes in uniform manner,BAA,BAA Supervisors,worksheet,Records & Document Management,negative,Records & Document Management,6.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,6.0,0.5995143714260709,HDBSCAN cluster
(to keep) Don't use it enough,BAA,BAA Supervisors,worksheet,User Experience & Performance,negative,User Experience & Performance,0.21151432394981384,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.21151432394981384,0.021134312828397166,HDBSCAN cluster
BAA update timely,CPC,CPC,worksheet,Workflow & Business Processes,positive,Workflow & Business Processes,2.215751349925995,keyword_semantic_agree,Case Management,3,14,0.5,0.4132553606237817,2.215751349925995,0.22139579629789183,HDBSCAN cluster
User updates,CPC,CPC,worksheet,User Experience & Performance,positive,User Experience & Performance,2.0,keyword_low,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,2.0,0.19983812380869032,Soft-assigned
(to keep) Photos!,CPC,CPC,worksheet,Records & Document Management,positive,Records & Document Management,4.301456093788147,keyword_semantic_agree,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,4.301456093788147,0.42979745771404054,HDBSCAN cluster
"At a glance status of properties – RR renewal date, same for CofU, CofC, VPR.",CPC,CPC,worksheet,Scheduling & Resource Management,negative,Scheduling & Resource Management,2.2168861478567123,keyword_semantic_agree,Training & Documentation,15,17,0.35294117647058826,0.2798821548821549,2.2168861478567123,0.22150918424258012,Soft-assigned
Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else,CPC,CPC,worksheet,Case Management,negative,Case Management,9.0,keyword,Case Management,3,14,0.5,0.4132553606237817,9.0,0.8992715571391064,HDBSCAN cluster
(to keep) The complaint look up tool is the best,CPC,CPC,worksheet,Case Management,positive,Case Management,4.298466056585312,keyword_semantic_agree,Case Management,11,30,0.6666666666666666,0.5957671957671957,4.298466056585312,0.4294986960016742,HDBSCAN cluster
The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier,CPC,CPC,worksheet,Case Management,negative,Case Management,7.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,7.0,0.6994334333304161,HDBSCAN cluster
Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.,CPC,CPC,worksheet,Case Management,negative,Case Management,9.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,9.0,0.8992715571391064,HDBSCAN cluster
Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.,CPC,CPC,worksheet,Case Management,negative,Case Management,9.0,keyword,Case Management,3,14,0.5,0.4132553606237817,9.0,0.8992715571391064,HDBSCAN cluster
I could help update when I see some that could be closed,CPC,CPC,worksheet,Scheduling & Resource Management,negative,Scheduling & Resource Management,0.2140299677848816,semantic_fallback,Records & Document Management,7,30,0.3,0.2841269841269841,0.2140299677848816,0.021385673600482585,HDBSCAN cluster
Maybe its my computer,CPC,CPC,worksheet,User Experience & Performance,negative,User Experience & Performance,0.2417105734348297,semantic_fallback,Noise / unclustered,-1,17,,,0.2417105734348297,0.024151493749969517,Unclustered
Add one more search function,CPC,CPC,worksheet,User Experience & Performance,negative,User Experience & Performance,4.0,keyword,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,4.0,0.39967624761738063,HDBSCAN cluster
(to keep) Search by address / owner / ticket number,CPC,CPC,worksheet,Case Management,negative,Case Management,4.0,keyword,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,4.0,0.39967624761738063,HDBSCAN cluster
(to keep) Address always matches eTax. If there's a typo or abbreviation – IPS will match eTax,CPC,CPC,worksheet,Records & Document Management,negative,Records & Document Management,2.0,keyword_low,Noise / unclustered,-1,17,,,2.0,0.19983812380869032,Unclustered
"After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations.",CPC,CPC,worksheet,Case Management,negative,Case Management,6.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,6.0,0.5995143714260709,HDBSCAN cluster
(to keep) Works well,CPC,CPC,worksheet,Records & Document Management,positive,Records & Document Management,0.12502175569534302,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.12502175569534302,0.012492056546712895,HDBSCAN cluster
Businesses on system should also list owner's / responsible party name,CPC,CPC,worksheet,Workflow & Business Processes,positive,Workflow & Business Processes,4.0,keyword,Data Management & Visibility,13,22,0.3181818181818182,0.27503429355281206,4.0,0.39967624761738063,HDBSCAN cluster
System could automatically duplicate email address + phone for every account on system once completed for one account manually,CPC,CPC,worksheet,User Experience & Performance,negative,User Experience & Performance,6.0,keyword,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,6.0,0.5995143714260709,Soft-assigned
Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.,CPC,CPC,worksheet,User Experience & Performance,positive,User Experience & Performance,2.0,keyword_low,Case Management,11,30,0.6666666666666666,0.5957671957671957,2.0,0.19983812380869032,HDBSCAN cluster
(to keep) Searching under complaints brings up useful + useless information regarding penalty fees currently owed when you input address,CPC,CPC,worksheet,Case Management,negative,Case Management,10.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,10.0,0.9991906190434515,HDBSCAN cluster
AS400 – water,CPC,CPC,worksheet,System Integration,negative,System Integration,2.093824915587902,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,2.093824915587902,0.20921302135748784,HDBSCAN cluster
Need to duplicate password entry,CPC,CPC,worksheet,Data Management & Visibility,negative,Data Management & Visibility,2.0,keyword_low,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,2.0,0.19983812380869032,Soft-assigned
One database that stores and allows /facilitates application progress,CPO,Permits,worksheet,Data Management & Visibility,positive,Data Management & Visibility,4.0,keyword,Data Management & Visibility,10,12,0.6666666666666666,0.49564270152505446,4.0,0.39967624761738063,HDBSCAN cluster
Improve documentation capabilities,CPO,Permits,worksheet,Training & Documentation,positive,Training & Documentation,5.461264729499817,keyword_semantic_agree,Records & Document Management,7,30,0.3,0.2841269841269841,5.461264729499817,0.545684448582909,HDBSCAN cluster
(to keep) Printing review team comments,CPO,Permits,worksheet,Communication & Collaboration,positive,Communication & Collaboration,3.21454094350338,keyword_semantic_agree,Records & Document Management,7,30,0.3,0.2841269841269841,3.21454094350338,0.3211939155279663,HDBSCAN cluster
(to keep) Contractor database (insurance),CPO,Permits,worksheet,Data Management & Visibility,neutral,Data Management & Visibility,4.0,keyword,Data Management & Visibility,13,22,0.3181818181818182,0.27503429355281206,4.0,0.39967624761738063,HDBSCAN cluster
(to keep) “Address book”,CPO,Permits,worksheet,Records & Document Management,negative,Records & Document Management,2.4062598049640656,keyword_semantic_agree,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,2.4062598049640656,0.24043122241014198,HDBSCAN cluster
(to keep) Printing capabilities,CPO,Permits,worksheet,Communication & Collaboration,negative,Communication & Collaboration,0.15829025208950043,semantic_fallback,Records & Document Management,7,30,0.3,0.2841269841269841,0.15829025208950043,0.015816213497385195,HDBSCAN cluster
(to keep) Alerts (eg. eta),CPO,Permits,worksheet,Scheduling & Resource Management,negative,Scheduling & Resource Management,0.31561341881752014,semantic_fallback,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,0.31561341881752014,0.03153579673266981,HDBSCAN cluster
(to keep) customizing user capability,CPO,Permits,worksheet,User Experience & Performance,positive,User Experience & Performance,2.156933233141899,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,2.156933233141899,0.21551874524584475,HDBSCAN cluster
(to keep) Comment editing,CPO,Permits,worksheet,Communication & Collaboration,negative,Communication & Collaboration,3.1389099061489105,keyword_semantic_agree,Records & Document Management,7,30,0.3,0.2841269841269841,3.1389099061489105,0.31363693322465525,HDBSCAN cluster
(to keep) Recording users,CPO,Permits,worksheet,Case Management,negative,Records & Document Management,3.3042070865631104,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,3.3042070865631104,0.3301532724270754,HDBSCAN cluster
(to keep) I like OnBase layout,CPO,Permits,worksheet,System Integration,positive,System Integration,2.0,keyword_low,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,2.0,0.19983812380869032,HDBSCAN cluster
Ideally it would be aide to someone integrate with camino.,CPO,Permits,worksheet,System Integration,positive,System Integration,2.3887486159801483,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,2.3887486159801483,0.23868152083403926,HDBSCAN cluster
I think from codes perspective the information is scattered,CPO,Permits,worksheet,Data Management & Visibility,negative,Data Management & Visibility,3.2887803316116333,keyword_semantic_agree,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,3.2887803316116333,0.32861184554409556,Soft-assigned
"Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>",CPO,Permits,worksheet,System Integration,negative,System Integration,0.46808844804763794,semantic,System Integration,2,34,0.4117647058823529,0.37132003798670465,0.46808844804763794,0.04677095861718079,HDBSCAN cluster
(to keep) I like that IPS can print out reviewer's comments on one concise report,CPO,Permits,worksheet,Reporting & Decision Support,positive,Reporting & Decision Support,4.274108827114105,keyword_semantic_agree,Records & Document Management,7,30,0.3,0.2841269841269841,4.274108827114105,0.42706494448232235,HDBSCAN cluster
(to keep) Using it as a system of record for code enforcement,CPO,Permits,worksheet,Records & Document Management,negative,Records & Document Management,0.4195799231529236,semantic,Case Management,12,21,0.42857142857142855,0.37891737891737887,0.4195799231529236,0.04192403231533735,HDBSCAN cluster
autofill from linked outlook and IPS modules,DOCE,Admin Aide,worksheet,User Experience & Performance,negative,User Experience & Performance,4.0,keyword,Noise / unclustered,-1,17,,,4.0,0.39967624761738063,Unclustered
Same format throughout,DOCE,Admin Aide,worksheet,Records & Document Management,positive,Records & Document Management,0.1547442525625229,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.1547442525625229,0.015461900551136346,HDBSCAN cluster
"Search in address book would populate all associated properties complaints, violations",DOCE,Admin Aide,worksheet,Case Management,negative,Case Management,14.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,14.0,1.0,HDBSCAN cluster
More detailed preview,DOCE,Admin Aide,worksheet,User Experience & Performance,positive,User Experience & Performance,0.13268105685710907,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.13268105685710907,0.01325736673363942,HDBSCAN cluster
(to keep) Lots of options in the drop downs,DOCE,Admin Aide,worksheet,System Integration,positive,System Integration,0.13453152775764465,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.13453152775764465,0.013442264050102225,HDBSCAN cluster
(to keep) Automatically adding – in phone numbers,DOCE,Admin Aide,worksheet,Communication & Collaboration,negative,Communication & Collaboration,4.162701725959778,keyword_semantic_agree,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,4.162701725959778,0.4159332514454995,HDBSCAN cluster
Faster processing speed or more data for the software to run smoothly so it doesn't crash often,DOCE,Admin Aide,worksheet,User Experience & Performance,negative,User Experience & Performance,8.491361886262894,keyword_semantic_agree,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,8.491361886262894,0.8484489139656991,HDBSCAN cluster
Making it so we can seek the names alphabetically or programming it to do so,DOCE,Admin Aide,worksheet,Records & Document Management,negative,Records & Document Management,0.2638474702835083,semantic_fallback,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,0.2638474702835083,0.026363391716562736,HDBSCAN cluster
Adding Rent Hold / Rent Release as option for all cases since some case types doesn't list them,DOCE,Admin Aide,worksheet,Case Management,negative,Case Management,4.236137732863426,keyword_semantic_agree,Noise / unclustered,-1,17,,,4.236137732863426,0.423270908365313,Unclustered
(to keep) The actions for IPS are really solid and cover most things that we need to enter,DOCE,Admin Aide,worksheet,User Experience & Performance,positive,User Experience & Performance,8.0,keyword,System Integration,2,34,0.4117647058823529,0.37132003798670465,8.0,0.7993524952347613,HDBSCAN cluster
"If there was more organization in the periodic inspection table, there are too many unused options and the list is random",DOCE,Admin Aide,worksheet,Scheduling & Resource Management,negative,Scheduling & Resource Management,3.0,keyword_low,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,3.0,0.29975718571303545,Soft-assigned
Make sure we have the most current information,DOCE,Building Inspectors,worksheet,Data Management & Visibility,positive,Data Management & Visibility,3.0,keyword_low,Records & Document Management,7,30,0.3,0.2841269841269841,3.0,0.29975718571303545,HDBSCAN cluster
Make sure we have the most current address,DOCE,Building Inspectors,worksheet,Records & Document Management,positive,Records & Document Management,2.1783707588911057,keyword_semantic_agree,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,2.1783707588911057,0.2176607627082557,HDBSCAN cluster
Better communication,DOCE,Building Inspectors,worksheet,Communication & Collaboration,positive,Communication & Collaboration,4.515222489833832,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,4.515222489833832,0.4511567954735981,HDBSCAN cluster
(to keep) Updated tablets and software that actually works,DOCE,Building Inspectors,worksheet,User Experience & Performance,positive,User Experience & Performance,4.208669900894165,keyword_semantic_agree,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,4.208669900894165,0.4205263483623983,Soft-assigned
Sprinkler system reports & elevator reports – access to them at least,DOCE,Building Inspectors,worksheet,Reporting & Decision Support,positive,Reporting & Decision Support,8.341495513916016,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,8.341495513916016,0.8334744066297918,HDBSCAN cluster
Tablets that are faster,DOCE,Building Inspectors,worksheet,User Experience & Performance,negative,User Experience & Performance,4.250898540019989,keyword_semantic_agree,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,4.250898540019989,0.42474579436934773,Soft-assigned
Communication within departments,DOCE,Building Inspectors,worksheet,Communication & Collaboration,positive,Communication & Collaboration,4.68283748626709,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,4.68283748626709,0.4679047286783094,HDBSCAN cluster
(to keep) simplicity,DOCE,Building Inspectors,worksheet,Data Management & Visibility,positive,Data Management & Visibility,0.13261869549751282,semantic_fallback,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.13261869549751282,0.013251135645089483,HDBSCAN cluster
Apps on iPhone,DOCE,Building Inspectors,worksheet,User Experience & Performance,negative,User Experience & Performance,0.2570829689502716,semantic_fallback,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,0.2570829689502716,0.02568748908909503,Soft-assigned
Single system,DOCE,Building Inspectors,worksheet,System Integration,negative,System Integration,0.3348076045513153,semantic,System Integration,6,13,0.6923076923076923,0.5267489711934156,0.3348076045513153,0.033453661765208385,HDBSCAN cluster
Single system,DOCE,Building Inspectors,worksheet,System Integration,negative,System Integration,0.3348076045513153,semantic,System Integration,6,13,0.6923076923076923,0.5267489711934156,0.3348076045513153,0.033453661765208385,HDBSCAN cluster
