department,focus_group,expectations,source,processed_text,sentiment
BAA,BAA Supervisors,(to keep) Search criteria,worksheet,(to keep) Search criteria,neutral
BAA,BAA Supervisors,(to keep) Actions with space for notes,worksheet,(to keep) Actions with space for notes,neutral
BAA,BAA Supervisors,(to keep) Payment tab relatively easy to use,worksheet,(to keep) Payment tab relatively easy to use,positive
BAA,BAA Supervisors,(to keep) Tax id search is reliable,worksheet,(to keep) Tax id search is reliable,positive
BAA,BAA Supervisors,Linked cases is biggest,worksheet,Linked cases is biggest,positive
BAA,BAA Supervisors,Case note button on top with actions and inspections so wouldn't have to scroll,worksheet,Case note button on top with actions and inspections so wouldn't have to scroll,negative
BAA,BAA Supervisors,BAA inspections different color from codes,worksheet,BAA inspections different color from codes,negative
BAA,BAA Supervisors,revamp actions,worksheet,revamp actions,positive
BAA,BAA Supervisors,Putting notes in uniform manner,worksheet,Putting notes in uniform manner,negative
BAA,BAA Supervisors,(to keep) Don't use it enough,worksheet,(to keep) Don't use it enough,negative
CPC,CPC,BAA update timely,worksheet,BAA update timely,positive
CPC,CPC,User updates,worksheet,User updates,positive
CPC,CPC,(to keep) Photos!,worksheet,(to keep) Photos!,positive
CPC,CPC,"At a glance status of properties – RR renewal date, same for CofU, CofC, VPR.",worksheet,"At a glance status of properties – RR renewal date, same for CofU, CofC, VPR.",negative
CPC,CPC,Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else,worksheet,Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else,negative
CPC,CPC,(to keep) The complaint look up tool is the best,worksheet,(to keep) The complaint look up tool is the best,positive
CPC,CPC,The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier,worksheet,The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier,negative
CPC,CPC,Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.,worksheet,Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.,negative
CPC,CPC,Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.,worksheet,Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.,negative
CPC,CPC,I could help update when I see some that could be closed,worksheet,I could help update when I see some that could be closed,negative
CPC,CPC,Maybe its my computer,worksheet,Maybe its my computer,negative
CPC,CPC,Add one more search function,worksheet,Add one more search function,negative
CPC,CPC,(to keep) Search by address / owner / ticket number,worksheet,(to keep) Search by address / owner / ticket number,negative
CPC,CPC,(to keep) Address always matches eTax. If there's a typo or abbreviation – IPS will match eTax,worksheet,(to keep) Address always matches eTax. If there's a typo or abbreviation – IPS will match eTax,negative
CPC,CPC,"After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations.",worksheet,"After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations.",negative
CPC,CPC,(to keep) Works well,worksheet,(to keep) Works well,positive
CPC,CPC,Businesses on system should also list owner's / responsible party name,worksheet,Businesses on system should also list owner's / responsible party name,positive
CPC,CPC,System could automatically duplicate email address + phone for every account on system once completed for one account manually,worksheet,System could automatically duplicate email address + phone for every account on system once completed for one account manually,negative
CPC,CPC,Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.,worksheet,Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.,positive
CPC,CPC,(to keep) Searching under complaints brings up useful + useless information regarding penalty fees currently owed when you input address,worksheet,(to keep) Searching under complaints brings up useful + useless information regarding penalty fees currently owed when you input address,negative
CPC,CPC,AS400 – water,worksheet,AS400 – water,negative
CPC,CPC,Need to duplicate password entry,worksheet,Need to duplicate password entry,negative
CPO,Permits,One database that stores and allows /facilitates application progress,worksheet,One database that stores and allows /facilitates application progress,positive
CPO,Permits,Improve documentation capabilities,worksheet,Improve documentation capabilities,positive
CPO,Permits,(to keep) Printing review team comments,worksheet,(to keep) Printing review team comments,positive
CPO,Permits,(to keep) Contractor database (insurance),worksheet,(to keep) Contractor database (insurance),neutral
CPO,Permits,(to keep) “Address book”,worksheet,(to keep) “Address book”,negative
CPO,Permits,(to keep) Printing capabilities,worksheet,(to keep) Printing capabilities,negative
CPO,Permits,(to keep) Alerts (eg. eta),worksheet,(to keep) Alerts (eg. eta),negative
CPO,Permits,(to keep) customizing user capability,worksheet,(to keep) customizing user capability,positive
CPO,Permits,(to keep) Comment editing,worksheet,(to keep) Comment editing,negative
CPO,Permits,(to keep) Recording users,worksheet,(to keep) Recording users,negative
CPO,Permits,(to keep) I like OnBase layout,worksheet,(to keep) I like OnBase layout,positive
CPO,Permits,Ideally it would be aide to someone integrate with camino.,worksheet,Ideally it would be aide to someone integrate with camino.,positive
CPO,Permits,I think from codes perspective the information is scattered,worksheet,I think from codes perspective the information is scattered,negative
CPO,Permits,"Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>",worksheet,"Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>",negative
CPO,Permits,(to keep) I like that IPS can print out reviewer's comments on one concise report,worksheet,(to keep) I like that IPS can print out reviewer's comments on one concise report,positive
CPO,Permits,(to keep) Using it as a system of record for code enforcement,worksheet,(to keep) Using it as a system of record for code enforcement,negative
DOCE,Admin Aide,autofill from linked outlook and IPS modules,worksheet,autofill from linked outlook and IPS modules,negative
DOCE,Admin Aide,Same format throughout,worksheet,Same format throughout,positive
DOCE,Admin Aide,"Search in address book would populate all associated properties complaints, violations",worksheet,"Search in address book would populate all associated properties complaints, violations",negative
DOCE,Admin Aide,More detailed preview,worksheet,More detailed preview,positive
DOCE,Admin Aide,(to keep) Lots of options in the drop downs,worksheet,(to keep) Lots of options in the drop downs,positive
DOCE,Admin Aide,(to keep) Automatically adding – in phone numbers,worksheet,(to keep) Automatically adding – in phone numbers,negative
DOCE,Admin Aide,Faster processing speed or more data for the software to run smoothly so it doesn't crash often,worksheet,Faster processing speed or more data for the software to run smoothly so it doesn't crash often,negative
DOCE,Admin Aide,Making it so we can seek the names alphabetically or programming it to do so,worksheet,Making it so we can seek the names alphabetically or programming it to do so,negative
DOCE,Admin Aide,Adding Rent Hold / Rent Release as option for all cases since some case types doesn't list them,worksheet,Adding Rent Hold / Rent Release as option for all cases since some case types doesn't list them,negative
DOCE,Admin Aide,(to keep) The actions for IPS are really solid and cover most things that we need to enter,worksheet,(to keep) The actions for IPS are really solid and cover most things that we need to enter,positive
DOCE,Admin Aide,"If there was more organization in the periodic inspection table, there are too many unused options and the list is random",worksheet,"If there was more organization in the periodic inspection table, there are too many unused options and the list is random",negative
DOCE,Building Inspectors,Make sure we have the most current information,worksheet,Make sure we have the most current information,positive
DOCE,Building Inspectors,Make sure we have the most current address,worksheet,Make sure we have the most current address,positive
DOCE,Building Inspectors,Better communication,worksheet,Better communication,positive
DOCE,Building Inspectors,(to keep) Updated tablets and software that actually works,worksheet,(to keep) Updated tablets and software that actually works,positive
DOCE,Building Inspectors,Sprinkler system reports & elevator reports – access to them at least,worksheet,Sprinkler system reports & elevator reports – access to them at least,positive
DOCE,Building Inspectors,Tablets that are faster,worksheet,Tablets that are faster,negative
DOCE,Building Inspectors,Communication within departments,worksheet,Communication within departments,positive
DOCE,Building Inspectors,(to keep) simplicity,worksheet,(to keep) simplicity,positive
DOCE,Building Inspectors,Apps on iPhone,worksheet,Apps on iPhone,negative
DOCE,Building Inspectors,Single system,worksheet,Single system,negative
DOCE,Building Inspectors,Single system,worksheet,Single system,negative
DOCE,Building Inspectors,(to keep) Documents can be saved in the system,worksheet,(to keep) Documents can be saved in the system,negative
DOCE,Building Inspectors,The same as AS400.,worksheet,The same as AS400.,negative
DOCE,Building Inspectors,If it could hold everything I need.,worksheet,If it could hold everything I need.,positive
DOCE,Building Inspectors,(to keep) Reminder dates,worksheet,(to keep) Reminder dates,negative
DOCE,Building Inspectors,Have a note that says pass instead calling permits,worksheet,Have a note that says pass instead calling permits,negative
DOCE,Building Inspectors,Have that in IPS,worksheet,Have that in IPS,positive
DOCE,Building Inspectors,(to keep) I think all of it is very good,worksheet,(to keep) I think all of it is very good,positive
DOCE,Building Inspectors,Just elevator certificate,worksheet,Just elevator certificate,neutral
DOCE,CPO-Coordinators,One system for everything,worksheet,One system for everything,positive
DOCE,CPO-Coordinators,Get rid of Camino!,worksheet,Get rid of Camino!,negative
DOCE,CPO-Coordinators,(to keep) I like IPS and would continue using – it's easy,worksheet,(to keep) I like IPS and would continue using – it's easy,positive
DOCE,CPO-Coordinators,(to keep) Record keeping and finding is simple and effiiceint,worksheet,(to keep) Record keeping and finding is simple and effiiceint,positive
DOCE,CPO-Coordinators,(to keep) Scheduling inspections is easy,worksheet,(to keep) Scheduling inspections is easy,negative
DOCE,CPO-Coordinators,"(to keep) Can print reviewer's comments easily, can print standard notices easily, saves all printed documents automatically",worksheet,"(to keep) Can print reviewer's comments easily, can print standard notices easily, saves all printed documents automatically",positive
DOCE,CPO-Coordinators,"Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn't needed, automatic renewal letters sent to a queue?",worksheet,"Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn't needed, automatic renewal letters sent to a queue?",negative
DOCE,CPO-Coordinators,Migrate list (tracking) out of IPS (this can be an excel file),worksheet,Migrate list (tracking) out of IPS (this can be an excel file),negative
DOCE,CPO-Coordinators,Online system to schedule inspections (already used elsewhere),worksheet,Online system to schedule inspections (already used elsewhere),negative
DOCE,CPO-Coordinators,Some owners have numerous accounts in IPS,worksheet,Some owners have numerous accounts in IPS,negative
DOCE,CPO-Coordinators,(to keep) Working with different departments and giving “tickle” dates,worksheet,(to keep) Working with different departments and giving “tickle” dates,positive
DOCE,Housing Inspectors,I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix,worksheet,I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix,positive
DOCE,Housing Inspectors,(to keep) I think IPS is a good system that is user friendly,worksheet,(to keep) I think IPS is a good system that is user friendly,positive
DOCE,Housing Inspectors,Make it so it's to a scroll to choose and action,worksheet,Make it so it's to a scroll to choose and action,positive
DOCE,Housing Inspectors,Make an action that saves clicks,worksheet,Make an action that saves clicks,negative
DOCE,Housing Inspectors,Make a case label for drive by/calls/waiting for owner,worksheet,Make a case label for drive by/calls/waiting for owner,negative
DOCE,Housing Inspectors,Case could tell you when you open it if it is in high risk area,worksheet,Case could tell you when you open it if it is in high risk area,positive
DOCE,Housing Inspectors,(to keep) Chronological notes/actions in case,worksheet,(to keep) Chronological notes/actions in case,positive
DOCE,Housing Inspectors,"If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying",worksheet,"If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying",negative
DOCE,Housing Inspectors,Batch violation numbers when saved,worksheet,Batch violation numbers when saved,negative
DOCE,Housing Inspectors,Ability to add custom shortcuts,worksheet,Ability to add custom shortcuts,positive
DOCE,Housing Inspectors,Create a global address book,worksheet,Create a global address book,positive
DOCE,Housing Inspectors,Eliminate unneeded actions i.e. (BAA Ticket Rounds),worksheet,Eliminate unneeded actions i.e. (BAA Ticket Rounds),neutral
DOCE,Housing Inspectors,(to keep) Separation of cases per property,worksheet,(to keep) Separation of cases per property,positive
DOCE,Housing Inspectors,Stats,worksheet,Stats,positive
DOCE,Housing Inspectors,Cases without inspection date,worksheet,Cases without inspection date,positive
DOCE,Housing Inspectors,Cases set to “needs review”,worksheet,Cases set to “needs review”,negative
DOCE,Housing Inspectors,(IT or IPS focus),worksheet,(IT or IPS focus),positive
DOCE,Housing Inspectors,(to keep) It's pretty good for me,worksheet,(to keep) It's pretty good for me,positive
DOCE,Housing Inspectors,(to keep) Information update across cases,worksheet,(to keep) Information update across cases,positive
DOCE,Housing Inspectors,(to keep) Laptop use would be great in field,worksheet,(to keep) Laptop use would be great in field,positive
DOCE,Housing Inspectors,Bring back laptops so we can update cases in field,worksheet,Bring back laptops so we can update cases in field,negative
DOCE,Housing Inspectors,Issues connecting to IPS remotely,worksheet,Issues connecting to IPS remotely,negative
DOCE,Office Managers,"I can complete my function by only opening one case at a time, but it slows me down",worksheet,"I can complete my function by only opening one case at a time, but it slows me down",negative
DOCE,Office Managers,"(to keep) The ability to click within a case, directs to Image Mate button is very helpful",worksheet,"(to keep) The ability to click within a case, directs to Image Mate button is very helpful",positive
DOCE,Office Managers,"The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up:",worksheet,"The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up:",negative
DOCE,Office Managers,"Because if sometimes doesn't take an update,",worksheet,"Because if sometimes doesn't take an update,",negative
DOCE,Office Managers,Can't tell who is connected to who,worksheet,Can't tell who is connected to who,negative
DOCE,Office Managers,Remove tab because it has nothing to do with us,worksheet,Remove tab because it has nothing to do with us,negative
DOCE,Office Managers,Make it still “checkable” but have address remain updated,worksheet,Make it still “checkable” but have address remain updated,negative
DOCE,Office Managers,(to keep) Print queue – organization of notices,worksheet,(to keep) Print queue – organization of notices,negative
DOCE,Office Managers,(to keep) Parcel information – showing information,worksheet,(to keep) Parcel information – showing information,negative
DOCE,Office Managers,(to keep) Complaint search – search by violation numbers?,worksheet,(to keep) Complaint search – search by violation numbers?,negative
DOCE,Office Managers,Ensure this information can be automatically put into new cases so it is not forgotten,worksheet,Ensure this information can be automatically put into new cases so it is not forgotten,positive
DOCE,Office Managers,"Making sure “department”, “status” or either status in IPS are not holding up BAA referrals.",worksheet,"Making sure “department”, “status” or either status in IPS are not holding up BAA referrals.",negative
DOCE,Office Managers,(to keep) Search by complaint number,worksheet,(to keep) Search by complaint number,negative
DOCE,Office Managers,(to keep) Address book & searching by property owner,worksheet,(to keep) Address book & searching by property owner,negative
DOCE,Office Managers,Water & Tax records for periodic inspections,worksheet,Water & Tax records for periodic inspections,negative
DOCE,Permit/Commercial/Electrical Inspectors,Consolidate to functioning system,worksheet,Consolidate to functioning system,neutral
DOCE,Permit/Commercial/Electrical Inspectors,(to keep) Ability to keep track of kick out inspections,worksheet,(to keep) Ability to keep track of kick out inspections,positive
DOCE,Permit/Commercial/Electrical Inspectors,In field timely acces: to information and modification of cases,worksheet,In field timely acces: to information and modification of cases,positive
DOCE,Permit/Commercial/Electrical Inspectors,Have camino and outlook talk to each other,worksheet,Have camino and outlook talk to each other,positive
DOCE,Permit/Commercial/Electrical Inspectors,Use IPS when permit is pulled,worksheet,Use IPS when permit is pulled,negative
DOCE,Permit/Commercial/Electrical Inspectors,(to keep) When you issue certificate of completion it emails the contractor/homeowner,worksheet,(to keep) When you issue certificate of completion it emails the contractor/homeowner,negative
DOCE,Permit/Commercial/Electrical Inspectors,(to keep) Can upload pictures easily using the app,worksheet,(to keep) Can upload pictures easily using the app,positive
DOCE,Permit/Commercial/Electrical Inspectors,Get rid of it,worksheet,Get rid of it,positive
DOCE,Permit/Commercial/Electrical Inspectors,Get rid of it,worksheet,Get rid of it,positive
DOCE,Permit/Commercial/Electrical Inspectors,Get rid of it,worksheet,Get rid of it,positive
DOCE,Permit/Commercial/Electrical Inspectors,(to keep) layout,worksheet,(to keep) layout,positive
DOCE,Permit/Commercial/Electrical Inspectors,Add a tickle date option to the system,worksheet,Add a tickle date option to the system,neutral
DOCE,Permit/Commercial/Electrical Inspectors,"(to keep) Again, being able to have future tickle dates",worksheet,"(to keep) Again, being able to have future tickle dates",positive
DOCE,Permit/Commercial/Electrical Inspectors,IPS works better than Camino,worksheet,IPS works better than Camino,positive
DOCE,Permit/Commercial/Electrical Inspectors,Hiring qualified people and train them,worksheet,Hiring qualified people and train them,positive
DOCE,Permit/Commercial/Electrical Inspectors,(to keep) Don't use it,worksheet,(to keep) Don't use it,negative
DOCE,Supervisors,Consolidate /merge data and information,worksheet,Consolidate /merge data and information,negative
DOCE,Supervisors,?,worksheet,?,positive
DOCE,Supervisors,"Migration to one place (microfrch, scans, shared drives, etc.)",worksheet,"Migration to one place (microfrch, scans, shared drives, etc.)",negative
DOCE,Supervisors,Artificial Intelligence,worksheet,Artificial Intelligence,negative
DOCE,Supervisors,"Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)",worksheet,"Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)",negative
DOCE,Supervisors,Better reporting,worksheet,Better reporting,positive
DOCE,Supervisors,?,worksheet,?,positive
DOCE,Supervisors,"(to keep) Case notes, photo upload",worksheet,"(to keep) Case notes, photo upload",negative
DOCE,Supervisors,"(to keep) Inspection dates, tickle dates",worksheet,"(to keep) Inspection dates, tickle dates",negative
DOCE,Supervisors,Not sure.,worksheet,Not sure.,positive
DOCE,Supervisors,?,worksheet,?,positive
DOCE,Supervisors,"Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database.",worksheet,"Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database.",positive
DOCE,Supervisors,"Some addresses on the property are not the same in assessment records, so contractors get frsutrated",worksheet,"Some addresses on the property are not the same in assessment records, so contractors get frsutrated",negative
DOCE,Supervisors,(to keep) Drop Box Function,worksheet,(to keep) Drop Box Function,negative
DOCE,Supervisors,(to keep) Votes section,worksheet,(to keep) Votes section,positive
DOCE,Supervisors,Central software for all Code,worksheet,Central software for all Code,negative
DOCE,Supervisors,(to keep) Ease of use,worksheet,(to keep) Ease of use,positive
DOCE,Zoning,Data migration to one system for historical records.,worksheet,Data migration to one system for historical records.,negative
DOCE,Zoning,Digitization of all records timely,worksheet,Digitization of all records timely,positive
DOCE,Zoning,Enterprise wide GIS system,worksheet,Enterprise wide GIS system,negative
DOCE,Zoning,(to keep) Some old zoning projects are there.,worksheet,(to keep) Some old zoning projects are there.,positive
DOCE,Zoning,(to keep) SOCPA put old variance and conditional uses in IPS,worksheet,(to keep) SOCPA put old variance and conditional uses in IPS,negative
DOCE,Zoning,See notes from my code enforcement worksheet - [PERSON],worksheet,See notes from my code enforcement worksheet - [PERSON],negative
DOCE,Zoning,More regular updates to speadsheet,worksheet,More regular updates to speadsheet,neutral
DOCE,Zoning,"The items not on IPS or OnBase, if not in basement file, can't be found",worksheet,"The items not on IPS or OnBase, if not in basement file, can't be found",negative
DOCE,Zoning,(to keep) Parcel history database is in chronological order,worksheet,(to keep) Parcel history database is in chronological order,positive
DOCE,Zoning,"(to keep) Straightforward, easy to learn",worksheet,"(to keep) Straightforward, easy to learn",positive
DOCE,Zoning,More files uploaded / transferred to IPS,worksheet,More files uploaded / transferred to IPS,negative
DOCE,Zoning,(to keep) Direct file opening,worksheet,(to keep) Direct file opening,negative
DOCE,Zoning,Change workflow,worksheet,Change workflow,positive
DOCE,Zoning,Dedicated person,worksheet,Dedicated person,positive
DOCE,Zoning,(to keep) Searching for inactive parcel,worksheet,(to keep) Searching for inactive parcel,negative
DOCE,Zoning,(to keep) filters,worksheet,(to keep) filters,positive
DOCE,Zoning,Onboarding training (competative),worksheet,Onboarding training (competative),positive
DOCE,Zoning,Making the code more accessible or encouraging email communications rather than calling,worksheet,Making the code more accessible or encouraging email communications rather than calling,negative
DOCE,Zoning,"(to keep) The ability to filter by type, permit, project, complaint, etc.",worksheet,"(to keep) The ability to filter by type, permit, project, complaint, etc.",positive
DOCE,Zoning,"(to keep) It's very terse, a lot of information is provided or most applications",worksheet,"(to keep) It's very terse, a lot of information is provided or most applications",positive
DOCE,Zoning,"I wish all previous things that are in OnBase were in IPS. So, I didn't have to switch between those often",worksheet,"I wish all previous things that are in OnBase were in IPS. So, I didn't have to switch between those often",positive
DOCE,Zoning,(to keep) Comment summary sheet,worksheet,(to keep) Comment summary sheet,neutral
DOCE,Zoning,"(to keep) Date management: change, modify, date",worksheet,"(to keep) Date management: change, modify, date",neutral
DOCE,Zoning,(to keep) List of application history,worksheet,(to keep) List of application history,positive
DOCE,Zoning,(to keep) Status overview dashboard,worksheet,(to keep) Status overview dashboard,positive
DOCE,Zoning,(to keep) Comment summary sheet,worksheet,(to keep) Comment summary sheet,neutral
DOCE,Zoning,(to keep) Data management: change & modify,worksheet,(to keep) Data management: change & modify,positive
DOCE,Zoning,(to keep) List of application history: date,worksheet,(to keep) List of application history: date,positive
DOCE,Zoning,(to keep) Status overview dashboard,worksheet,(to keep) Status overview dashboard,positive
FPB,Fire,(to keep) The tickle date function seems to be valuable,worksheet,(to keep) The tickle date function seems to be valuable,positive
FPB,Fire,(to keep) Finding the history of a property or business takes several steps,worksheet,(to keep) Finding the history of a property or business takes several steps,positive
FPB,Fire,IPS on mobile devices. Real time inspection reports and documentation. Integrate IPS violations into other Fire Department functions,worksheet,IPS on mobile devices. Real time inspection reports and documentation. Integrate IPS violations into other Fire Department functions,neutral
FPB,Fire,Import information like exact CO and capacity available without digging,worksheet,Import information like exact CO and capacity available without digging,negative
FPB,Fire,Have a more profound way of finding information,worksheet,Have a more profound way of finding information,positive
FPB,Fire,Make it one way to document different people do thing differently and put in different places,worksheet,Make it one way to document different people do thing differently and put in different places,positive
FPB,Fire,Fix this! Make sure they are active in IPS,worksheet,Fix this! Make sure they are active in IPS,negative
Law,Law,The format makes it hard to read everything at once,worksheet,The format makes it hard to read everything at once,negative
Law,Law,(to keep) I like the images tab so I can look at the notices directly,worksheet,(to keep) I like the images tab so I can look at the notices directly,neutral
Law,Law,Integrate water records into recordkeeping tools,worksheet,Integrate water records into recordkeeping tools,positive
Law,Law,Require confirmation that documents were uploaded and work was done,worksheet,Require confirmation that documents were uploaded and work was done,negative
Law,Law,Make overview reports available for properties,worksheet,Make overview reports available for properties,negative
Law,Law,(to keep) Intuitive interface,worksheet,(to keep) Intuitive interface,negative
Law,Law,(to keep) Easy to find individual complaints,worksheet,(to keep) Easy to find individual complaints,neutral
Law,Law,Compatibility with office,worksheet,Compatibility with office,positive
Law,Law,More disciplinary entry of notes and documents,worksheet,More disciplinary entry of notes and documents,negative
Law,Law,(to keep) When fully utilized by codes it is a resource for information,worksheet,(to keep) When fully utilized by codes it is a resource for information,positive
Law,Law,Ability for IPS information to be transferred to MS word,worksheet,Ability for IPS information to be transferred to MS word,positive
NBD,NBD Data Team,"Process mapping & SOPS, system training & support",worksheet,"Process mapping & SOPS, system training & support",positive
NBD,NBD Data Team,(to keep) RPS to IPS assessment sync daily: always have current ownership information,worksheet,(to keep) RPS to IPS assessment sync daily: always have current ownership information,negative
NBD,NBD Data Team,(to keep) Panel based,worksheet,(to keep) Panel based,neutral
NBD,NBD Data Team,(to keep) Periodic module: ability to batch generate renewal letters when property comes due,worksheet,(to keep) Periodic module: ability to batch generate renewal letters when property comes due,positive
NBD,NBD Data Team,(to keep) Backend access to our own data,worksheet,(to keep) Backend access to our own data,negative
NBD,NBD Data Team,(to keep) Based roles / permisions,worksheet,(to keep) Based roles / permisions,positive
NBD,NBD Data Team,(to keep) Workflow configuration abilities (they are limited not easy to set up),worksheet,(to keep) Workflow configuration abilities (they are limited not easy to set up),positive
NBD,NBD Data Team,(to keep) New record type configuration abilities / “maintenance” menu,worksheet,(to keep) New record type configuration abilities / “maintenance” menu,negative
