focus_group_name,pain_point,expectations
DOCE Central Permit Office,In camino when application uploads the wrong document,
DOCE CPO Coordinators,Moving things / duplicating from Camino to IPS,
DOCE CPO Coordinators,Application process made more difficult with Camino,
DOCE CPO Coordinators,,One system for everything
DOCE CPO Coordinators,,Get rid of Camino!
DOCE CPO Coordinators,,"Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn’t needed, automatic renewal letters sent to a queue?"
DOCE CPO Coordinators,60day notices: crashes and takes time to process,
DOCE CPO Coordinators,Applicant communication,
DOCE CPO Coordinators,Updating owner information,
DOCE CPO Coordinators,,Migrate list (tracking) out of IPS (this can be an excel file)
DOCE CPO Coordinators,,Online system to schedule inspections (already used elsewhere)
DOCE CPO Coordinators,,Some owners have numerous accounts in IPS
DOCE CPO Coordinators,Why is family based not in Camino,
DOCE Admin Aides,Filling out appointments separately,
DOCE Admin Aides,Sometimes it saves sometimes it doesn’t; different parts of IPS setup differently not cohesive throughout,
DOCE Admin Aides,Cannot search person with associated addresses/complaints,
DOCE Admin Aides,Difficult to find individual complaints,
DOCE Admin Aides,Reverts to former address updated addresses don’t always stay saved,
DOCE Admin Aides,,autofill from linked outlook and IPS modules
DOCE Admin Aides,,Same format throughout
DOCE Admin Aides,,"Search in address book would populate all associated properties complaints, violations"
DOCE Admin Aides,,More detailed preview
DOCE Admin Aides,Phone calls dropping,
DOCE Admin Aides,Can't upload attachments,
DOCE Admin Aides,Saving an inspection after scheduling crashes IPS or sometimes it slows down,
DOCE Admin Aides,Inspector names listed for periodic inspection are never in order/alphabetical,
DOCE Admin Aides,Sometimes Rent Holds / Rent Release doesn’t appear as an option to input,
DOCE Admin Aides,,Faster processing speed or more data for the software to run smoothly so it doesn’t crash often
DOCE Admin Aides,,Making it so we can seek the names alphabetically or programming it to do so
DOCE Admin Aides,,Adding Rent Hold / Rent Release as option for all cases since some case types doesn’t list them
DOCE Admin Aides,Prolonged loading time,
DOCE Admin Aides,Freezing and crashing of IPS,
DOCE Admin Aides,,"If there was more organization in the periodic inspection table, there are too many unused options and the list is random"
DOCE Fire Prevention Bureau,I find IPS to be non-intuitive and confusing,
DOCE Fire Prevention Bureau,Researching history of violations is time consuming,
DOCE Fire Prevention Bureau,Cloud based would be better,
DOCE Fire Prevention Bureau,To sign off on a Certificate of Occupancy or Certificate of Completion have to look in multiple places to find applicable closed inspections,
DOCE Fire Prevention Bureau,,IPS on mobile devices. Real time inspection reports and documentation. Integrate IPS violations into other Fire Department functions
DOCE Fire Prevention Bureau,Missing information regarding parcel,
DOCE Fire Prevention Bureau,Missing information regarding parcel,
DOCE Fire Prevention Bureau,From reviewers/inspections,
DOCE Fire Prevention Bureau,"Multiple ways/places to document – action, images/documents, inspections",
DOCE Fire Prevention Bureau,Inactive parcel that are actually active,
DOCE Fire Prevention Bureau,Scheduling - need to be put in multiple places,
DOCE Fire Prevention Bureau,,Import information like exact CO and capacity available without digging
DOCE Fire Prevention Bureau,,Have a more profound way of finding information
DOCE Fire Prevention Bureau,,Make it one way to document different people do thing differently and put in different places
DOCE Fire Prevention Bureau,,Fix this! Make sure they are active in IPS
DOCE Housing Inspectors,When IPS freezes or not working efficiently it can cause a delay in process,
DOCE Housing Inspectors,,I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix
DOCE Housing Inspectors,Actions in IPS are slow to select,
DOCE Housing Inspectors,Selection same actions multiple times,
DOCE Housing Inspectors,Organize cases based on type of cases,
DOCE Housing Inspectors,Checking lead map frequently,
DOCE Housing Inspectors,,Make it so it’s to a scroll to choose and action
DOCE Housing Inspectors,,Make an action that saves clicks
DOCE Housing Inspectors,,Make a case label for drive by/calls/waiting for owner
DOCE Housing Inspectors,,Case could tell you when you open it if it is in high risk area
DOCE Housing Inspectors,,"If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying"
DOCE Housing Inspectors,When others are entering violations at the same time,
DOCE Housing Inspectors,No shortcut for common actions (i.e. code staff notes),
DOCE Housing Inspectors,Addresses aren’t always updated,
DOCE Housing Inspectors,Too many actions,
DOCE Housing Inspectors,,Batch violation numbers when saved
DOCE Housing Inspectors,,Ability to add custom shortcuts
DOCE Housing Inspectors,,Create a global address book
DOCE Housing Inspectors,,Eliminate unneeded actions i.e. (BAA Ticket Rounds)
DOCE Housing Inspectors,,Stats
DOCE Housing Inspectors,,Cases without inspection date
DOCE Housing Inspectors,,Cases set to “needs review”
DOCE Housing Inspectors,IPS will be slow or shutdown; reboot needed,
DOCE Housing Inspectors,"IPS does not have a general scroll option for all cases, need to go into/out of multiple open/closed cases to get accurate picture of case/property history and active cases",
DOCE Housing Inspectors,“Trim down” the drop downs related to assigned inspector/type of case,
DOCE Housing Inspectors,,(IT or IPS focus)
DOCE Housing Inspectors,,Bring back laptops so we can update cases in field
DOCE Housing Inspectors,,Issues connecting to IPS remotely
Law,I can’t complete an affirmation if the notices and nail & mail aren’t uploaded into IPS,
Law,The layout of the action notes,
Law,,The format makes it hard to read everything at once
Law,Inability to access water records without AS400,
Law,Inspectors don’t always take good records,
Law,Cannot combine open violations from multiple complaints,
Law,,Integrate water records into recordkeeping tools
Law,,Require confirmation that documents were uploaded and work was done
Law,,Make overview reports available for properties
Law,,Compatibility with office
Law,IPS is underutilized:,
Law,"Documents not loaded, notes needed",
Law,,More disciplinary entry of notes and documents
Law,,Ability for IPS information to be transferred to MS word
NBD Data Team,"Leak of standardized / consistent data entry, often due to lack of standardized actions aren’t used",
NBD Data Team,Lack of automation eg. Doubling fines after at time condition for much of BAA process,
NBD Data Team,Lack of consistent system use outside of codes for interdepartmental projects / co-ordination,
NBD Data Team,Segmentation between Camino & IPS for permitting data,
NBD Data Team,Tracking for users also cause of continuity for data reporting,
NBD Data Team,Lack of timely system updates (IT),
NBD Data Team,"Clunky – easy to accidentally break things inaditantly – make codes item, had to regenerate codes book with rendor",
NBD Data Team,,"Process mapping & SOPS, system training & support"
NBD Data Team,,Imporved case management tools for users: ability to finding upcoming unclosed so routes can be planned more ethuinituly
NBD Data Team,,"High level front-end reporting capabilities for leadership – compliance, on building block log cases, time to resolve, cases infor updates in x makes, etc"
NBD Data Team,,Direct scheduling for applicants! Ontwok integration
NBD Data Team,,"Usability or monthly quick links to other systems – AS400, Camino"
NBD Data Team,Difficult to find specific complaints,
NBD Data Team,Unable to add things to IPS through code,
NBD Data Team,Sub parcels are often unused,
NBD Data Team,,Have cleaner sorting and filtering features within a parcel
NBD Data Team,,Add insert / update / delete functionality
NBD Data Team,,Have them be a component of main parcel?
NBD Data Team,,Easier way to modify violations.
NBD Data Team,,For sorting and categorizing
NBD Data Team,,Updating IPS through SQL
NBD Data Team,,Easier complaint search on parcel view
NBD Data Team,,Violations summary & units affected
NBD Data Team,"I spend several hours a week updating IPS on the front-end, manually.",
NBD Data Team,Workflow capabilities limited,
NBD Data Team,Systems are siloed (IPS can’t communicate with other systems well),
NBD Data Team,Units! Subparcels,
NBD Data Team,No data validation!,
NBD Data Team,,"Being able to post to the database (eg, to flag a batch of parcels as vacant once a week)"
NBD Data Team,,"More robust automation or scripting possibilities, so that more updates or QA/QC can be automated"
NBD Data Team,,"Allow for if this then that bridges between programs, integrations with a CRM or GIS software, etc"
NBD Data Team,,"I’m not sure the best improvement here, but tracking residential units and which complaint goes to which unit is so frustrating"
NBD Data Team,,The ability to configure validation for different data fields
NBD Data Team,,I want better documentation for the database. We don’t have any robust EO diagrams!
NBD Data Team,,"Please, let’s have modern scripting options (eg, Python not Visual Basic; posting to the database)"
NBD Data Team,,"If the new software could integrate with Esri, a contact management software (like Salesforce), or other tools, we could accomplish so much more"
NBD Neighborhood Planning,Some ERP referrals do not show up in the desk review section on home page,
NBD Neighborhood Planning,Cannot select from drop-down the type of referrals,
NBD Neighborhood Planning,Need a system for DSS referral (refugee resettlement),
NBD Neighborhood Planning,,Might be a bug
NBD Neighborhood Planning,,A drop down for ERP referrals to indicate where the referral came
NBD Neighborhood Planning,,Build system with drop down selection of where the referred came from to start documenting which agency placed them.
NBD Neighborhood Planning,,Something tangible that can get auto emailed to ambassadors
NBD Neighborhood Planning,,Geographic viewing of addresses nearby.
NBD Neighborhood Planning,Property research: inability to pull information from county clerk database,
NBD Neighborhood Planning,,Data sharing / backend access with county
NBD Neighborhood Planning,Lack of automation for data entry,
NBD Neighborhood Planning,Different systems for each thing,
NBD Neighborhood Planning,Switch to camino has made information harder to find cross system,
NBD Neighborhood Planning,No cross-departmental usage,
NBD Neighborhood Planning,,Ways to mass enter data not through Hamer
NBD Neighborhood Planning,,"eTax, IPS, AS400, Camino, etc. Too many to consolidate. Should be easier to access information from standard site"
NBD Neighborhood Planning,,"Old permit information hasn’t been transferred. They’ve stopped storing insurances, surveys need better record storage"
NBD Neighborhood Planning,,Something NBD/Law /Finance can all use
DOCE Office Staff,Updating ownership will sometimes make IPS crash,
DOCE Office Staff,Sometimes Image Mate doesn’t have the best information and overrides correct ownership information already in IPS,
DOCE Office Staff,Opening cases too quickly and more than one at a time in IPS will often make it crash,
DOCE Office Staff,,"I can complete my function by only opening one case at a time, but it slows me down"
DOCE Office Staff,,"The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up:"
DOCE Office Staff,,"Because if sometimes doesn’t take an update,"
DOCE Office Staff,,Can't tell who is connected to who
DOCE Office Staff,Sanitation notice bar in print queue crashes when clicked,
DOCE Office Staff,Address updating – having to click on contact to view updated address,
DOCE Office Staff,,Remove tab because it has nothing to do with us
DOCE Office Staff,,Make it still “checkable” but have address remain updated
DOCE Office Staff,Property manager/agent in IPS “Parcel” does not always transfer over when opening a new case,
DOCE Office Staff,“Refer to BAA” action in the case will not always refer the case to BAA,
DOCE Office Staff,,Ensure this information can be automatically put into new cases so it is not forgotten
DOCE Office Staff,,"Making sure “department”, “status” or either status in IPS are not holding up BAA referrals."
DOCE Office Staff,,Water & Tax records for periodic inspections
DOCE CommercialPermitElectrical Inspectors,IPS buffers/breaks down,
DOCE CommercialPermitElectrical Inspectors,Searching for information,
DOCE CommercialPermitElectrical Inspectors,,Consolidate to functioning system
DOCE CommercialPermitElectrical Inspectors,,In field timely acces: to information and modification of cases
DOCE CommercialPermitElectrical Inspectors,When you schedule an inspection on camino it doesn’t show up on outlook,
DOCE CommercialPermitElectrical Inspectors,Better training on processes in pace,
DOCE CommercialPermitElectrical Inspectors,,Have camino and outlook talk to each other
DOCE CommercialPermitElectrical Inspectors,Cannot create new dates in camino to check/call contractors for updates,
DOCE CommercialPermitElectrical Inspectors,,Use IPS when permit is pulled
DOCE CommercialPermitElectrical Inspectors,Camino’s layout format,
DOCE CommercialPermitElectrical Inspectors,Seeing new/assigned work,
DOCE CommercialPermitElectrical Inspectors,access,
DOCE CommercialPermitElectrical Inspectors,,Get rid of it
DOCE CommercialPermitElectrical Inspectors,,Get rid of it
DOCE CommercialPermitElectrical Inspectors,,Get rid of it
DOCE CommercialPermitElectrical Inspectors,In camino not being able to keep track of tickle dates,
DOCE CommercialPermitElectrical Inspectors,,Add a tickle date option to the system
DOCE CommercialPermitElectrical Inspectors,,IPS works better than Camino
DOCE CommercialPermitElectrical Inspectors,No coordination,
DOCE CommercialPermitElectrical Inspectors,,Hiring qualified people and train them
DOCE Zoning,Historical context / research scattered all over. “Finding all the history”,
DOCE Zoning,Parcel based but not system of record tracking addressing/ownership,
DOCE Zoning,Ownership chenges,
DOCE Zoning,Re-subs,
DOCE Zoning,Lot aleration,
DOCE Zoning,History on “inactive parcels”,
DOCE Zoning,,Data migration to one system for historical records.
DOCE Zoning,,Digitization of all records timely
DOCE Zoning,,Enterprise wide GIS system
DOCE Zoning,,See notes from my code enforcement worksheet - Jake
DOCE Zoning,Basement filling system (excel spreadsheet),
DOCE Zoning,“gaps” in information,
DOCE Zoning,,More regular updates to speadsheet
DOCE Zoning,,"The items not on IPS or OnBase, if not in basement file, can’t be found"
DOCE Zoning,,More files uploaded / transferred to IPS
DOCE Zoning,"IPS slowness, larger parcels have issues taking time to load",
DOCE Zoning,Parcels broken into multiple pieces / units,
DOCE Zoning,OnBase layout and windows often not very user-friendly,
DOCE Zoning,Address tracking after resub division,
DOCE Zoning,CU apps – zoning review,
DOCE Zoning,Late in process,
DOCE Zoning,History searches take a significant amount of time,
DOCE Zoning,Parcel history search,
DOCE Zoning,Area / block searches lot,
DOCE Zoning,,Change workflow
DOCE Zoning,,Dedicated person
DOCE Zoning,,Onboarding training (competative)
DOCE Zoning,Answering repetitive phone calls,
DOCE Zoning,,Making the code more accessible or encouraging email communications rather than calling
DOCE Zoning,,"I wish all previous things that are in OnBase were in IPS. So, I didn’t have to switch between those often"
DOCE Zoning,"Communication: applicant, reviewer",
DOCE Supervisors,"Too many systems needed to check ownership, taxes, water, codes, permits, zoning history",
DOCE Supervisors,Missing information / data (historical information),
DOCE Supervisors,“Some historical data lost in fire/flooding/pipe burst”,
DOCE Supervisors,Information not digital/in one place,
DOCE Supervisors,,Consolidate /merge data and information
DOCE Supervisors,,?
DOCE Supervisors,,"Migration to one place (microfrch, scans, shared drives, etc.)"
DOCE Supervisors,,Artificial Intelligence
DOCE Supervisors,,"Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)"
DOCE Supervisors,,Better reporting
DOCE Supervisors,Multiple software programs and databases,
DOCE Supervisors,,?
DOCE Supervisors,,Not sure.
DOCE Supervisors,Inconsistent / lagging contact information,
DOCE Supervisors,Parcel information not being in one central location,
DOCE Supervisors,,?
DOCE Supervisors,,"Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database."
DOCE Supervisors,Research on multiple software,
DOCE Supervisors,Historical information is missing,
DOCE Supervisors,Too much collaborating on email (especially with projects),
DOCE Supervisors,Currently no major concerns with IPS,
DOCE Supervisors,Contractors find Camino very frustrating and then gets turned over to CPO and me – Demo Permits,
DOCE Supervisors,,"Some addresses on the property are not the same in assessment records, so contractors get frsutrated"
DOCE Supervisors,Too many places where information is stored,
DOCE Supervisors,Special Knowledge needed to operate system,
DOCE Supervisors,,Central software for all Code
