Focus Group,Value Index,Content,processed_content,label,category,vader_sentiment,word_count
DOCE Discovery Session | Supervisors Group,25,"Involved with every dept citywide – mayor’s office, elected officials, HR, county health, api/it, finance – related to things we need to do or pay for or get collaboration on, common councilors, neighborhood organizations, downtown committee, county plumbing, national grid, centro, verizon, any taxpayer or any stakeholder",involved every dept citywide mayor office elected official hr county health finance related thing need pay get collaboration common councilors neighborhood organization downtown committee county plumbing national grid centro verizon taxpayer stakeholder,negative,county,negative,32
DOCE Discovery Session | Supervisors Group,28,Noah: Closer to front-end of office – stop gap for any office/admin/documemntation processes,noah closer office stop gap process,negative,noah,negative,6
DOCE Discovery Session | Supervisors Group,37,Main way communicates is email esp if it’s not super pressing – prefers it – phone calls can take time,main way communicates email esp super pressing prefers phone call take time,positive,main,negative,12
DOCE Discovery Session | Supervisors Group,38,Emails – difficult with communication with documents – difficult to keep organized,email difficult communication document difficult keep organized,negative,difficult,negative,7
DOCE Discovery Session | Supervisors Group,45,Arborist emailed about a property – not a good address,arborist emailed property good address,positive,arborist,negative,5
DOCE Discovery Session | Supervisors Group,49,Identified missed permit assignment – need to put in tickle date,identified missed permit assignment need put tickle date,negative,identified,negative,8
DOCE Discovery Session | Supervisors Group,50,"If re-inspection gets missed, 100s of cases to manage – happens a lot – gets lost",get missed case manage happens lot get lost,negative,get,negative,8
DOCE Discovery Session | Supervisors Group,51,Working hard to get entry in – it gets missed,working hard get entry get missed,negative,get,negative,6
DOCE Discovery Session | Supervisors Group,55,Older system – missed assignment run – could run for individual inspectors – id which don’t have dates assigned,older system missed assignment run could run individual inspector id date assigned,negative,run,negative,12
DOCE Discovery Session | Supervisors Group,56,Broad range of issues - some inspectors struggle a lot more than others,broad range issue inspector struggle lot others,negative,broad,negative,7
DOCE Discovery Session | Supervisors Group,59,Missed case management from beginning of IPS until today – parcel history,missed case management beginning ip today parcel history,negative,missed,negative,8
DOCE Discovery Session | Supervisors Group,61,"Open cases from staff that don’t work here anymore, open cases from fire department",open case staff work anymore open case fire department,negative,open,negative,9
DOCE Discovery Session | Supervisors Group,67,Sending phone screenshots of documents frustrating,sending phone screenshots document frustrating,negative,sending,negative,5
DOCE Discovery Session | Supervisors Group,69,Ryan: Requests certain reports – linking violations across properties,ryan request certain report linking violation across property,negative,ryan,negative,8
DOCE Discovery Session | Supervisors Group,74,Big apartment comlexes – hard to go thrugh a Nob Hill – 4 addresses and dozens of cases,big apartment comlexes hard go thrugh nob hill address dozen case,negative,big,negative,11
DOCE Discovery Session | Supervisors Group,77,Missing information – records missing or unclear why wedon’t have it,missing information record missing unclear wedon,negative,missing,negative,6
DOCE Discovery Session | Supervisors Group,91,Ryan: Camino not user friendly for case management,ryan camino user friendly case management,positive,ryan,negative,6
DOCE Discovery Session | Supervisors Group,92,"If one mistake made, lost in the abyss",one mistake made lost abyss,negative,one,negative,5
DOCE Discovery Session | Supervisors Group,94,Needs to be user-friendly – Camino is an app but not user friendly – mostly the mobile view,need camino app user friendly mostly mobile view,positive,need,negative,8
DOCE Discovery Session | Supervisors Group,95,Camino: Large project – hard to find all related permits,camino large project hard find related permit,negative,camino,negative,7
DOCE Discovery Session | Supervisors Group,114,Jake: Everytime we move onto a new system – don't have a good game plan for data migration – do nothing to old system – still have to access it,jake everytime move onto new system good game plan data migration nothing old system still access,positive,system,negative,16
DOCE Discovery Session | Housing Inspectors Group,47,Entering violations – simultaneous entry – asks for violation number – 15 folks doing entry at the same time,entering violation simultaneous entry asks violation number folk entry time,negative,violation,negative,10
DOCE Discovery Session | Housing Inspectors Group,52,Inspection results – real close in the drop-down menu – can accidentally select another result,inspection result real close menu accidentally select another result,negative,result,negative,9
DOCE Discovery Session | Housing Inspectors Group,54,Exterior violations – trash or overgrowth – 10-20 tickets at a time,exterior violation trash overgrowth ticket time,negative,exterior,negative,6
DOCE Discovery Session | Housing Inspectors Group,55,When select OG – entering same info for every case – would be helpful for violation info to populate – seems redudnant to do 20 times,select og entering info every case would helpful violation info populate seems redudnant time,negative,info,negative,14
DOCE Discovery Session | Housing Inspectors Group,57,That’s one where violation is always the same and corrective action,one violation always corrective action,negative,one,negative,5
DOCE Discovery Session | Housing Inspectors Group,59,If starting a RR case – somewhere in IPS that indicates high-risk zone – some that get missed or forgets,starting rr case somewhere ip indicates zone get missed forgets,negative,starting,negative,10
DOCE Discovery Session | Housing Inspectors Group,64,Can cause a delay with BAA if address is not right,cause delay baa address right,negative,cause,negative,5
DOCE Discovery Session | Housing Inspectors Group,69,Way to organize cases on main IPS screen – they can add tickle date and write a note for next step – no way to access with clicking into the case,way organize case main ip screen add tickle date write note next step way access clicking case,neutral,way,negative,17
DOCE Discovery Session | Housing Inspectors Group,80,Look Before You Rent – don’t have access to IPS in the field – look up violations on the fly,look rent access ip field look violation fly,negative,look,negative,8
DOCE Discovery Session | Housing Inspectors Group,82,Used IPS on tablet once when first started – confusing,used ip tablet first started confusing,negative,used,negative,6
DOCE Discovery Session | Housing Inspectors Group,97,Going out to house where dog issues or tenant or PO combative – county system would,going house dog issue tenant po combative county system would,negative,going,negative,10
DOCE Discovery Session | Housing Inspectors Group,101,Tag property owners and tenants separately – flag it if a tenant moves to another property or if PO has multiple BAA cases/never fixes anything,tag property owner tenant separately flag tenant move another property po multiple baa fix anything,negative,property,negative,15
DOCE Discovery Session | Housing Inspectors Group,102,Issue with admin aides reading internal notes to PO,issue admin aide reading internal note po,negative,issue,negative,7
DOCE Discovery Session | Housing Inspectors Group,112,Could do new complaint walk through for new guy,could new complaint walk new guy,negative,new,negative,6
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,11,"Camino – received no training – found out they needed to enter completions, now they have to go back through the past 6 years worth of work",camino received training found needed enter completion go back past year worth work,positive,camino,negative,13
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,27,Work directly with Fire department – they work in a different,work directly fire department work different,negative,work,negative,6
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,40,"Camino app they just found out about – not great, but better than nothing",camino app found great better nothing,positive,camino,negative,6
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,49,Camino - no tickle date – if you don’t write down – gets lost,camino tickle date write get lost,negative,camino,negative,6
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,56,Camino – can't create anything as a reminder to do something – task management,camino ca create anything reminder something task management,positive,camino,negative,8
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,68,Camino is a ghost – things get lost,camino ghost thing get lost,negative,camino,negative,5
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,73,Notifications via email but difficult to case management from there,notification via email difficult case management,negative,notification,negative,6
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,80,Can’t send letters with Camino or write violations - challenge,send letter camino write violation challenge,negative,send,negative,6
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,85,Only ones that check emails – diy owners – contractors think everything is spam,one check email diy owner contractor think everything spam,negative,one,negative,9
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,87,Would be emailing versus communicating via Camino – doesn't really get used though that’s how supervisors sold it (will cut down on communications because you can communicate directly within them),would emailing versus communicating via camino really get used though supervisor sold cut communication communicate directly within,negative,would,negative,17
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,97,"Contractors hate Camino, except younger ones that are writing up BS – easy to lie",contractor hate camino except younger one writing b easy lie,negative,contractor,negative,10
DOCE Discovery Session | Commercial/Permit/Electrical Inspectors Group,100,If you schedule an inspection in Camino – have to add it to Outlook – no integration with Outlook with either Camino or IPS,schedule inspection camino add outlook integration outlook either camino ip,neutral,camino,negative,10
DOCE Discovery Session | Fire Prevention Bureau,1,"Brian F – was in Codes before Fire, very familiar with IPS, does Permit Plans Review for Fire (remote)",brian f code fire familiar ip permit plan review fire remote,negative,fire,negative,11
DOCE Discovery Session | Fire Prevention Bureau,2,Chief George “Rusty” Cowburn – DC Fire,chief george rusty cowburn dc fire,negative,chief,negative,6
DOCE Discovery Session | Fire Prevention Bureau,25,"Not compliant – create correction report, sends to applicant",compliant create correction report sends applicant,positive,compliant,negative,6
DOCE Discovery Session | Fire Prevention Bureau,26,Final review – letter of transmittal for permit for fire alarm,final review letter transmittal permit fire alarm,negative,final,negative,7
DOCE Discovery Session | Fire Prevention Bureau,32,"Reviews all permits associated – notifies if everything is completed, recommend if be issued, if finds problem with it",review permit associated notifies everything completed recommend issued find problem,negative,review,negative,10
DOCE Discovery Session | Fire Prevention Bureau,33,Building permits Fire assigned to – anything new and,building permit fire assigned anything new,negative,building,negative,6
DOCE Discovery Session | Fire Prevention Bureau,46,Only thing remaining in IPS is a complaint inspections,thing remaining ip complaint inspection,negative,thing,negative,5
DOCE Discovery Session | Fire Prevention Bureau,47,Only start complaint in IPS if it’s a stop work order,start complaint ip stop work order,negative,start,negative,6
DOCE Discovery Session | Fire Prevention Bureau,48,Inspections usually triggered through licensing or a complaint that comes in,inspection usually triggered licensing complaint come,negative,inspection,negative,6
DOCE Discovery Session | Fire Prevention Bureau,64,Eventually adding Fire alarms (starting to be in there) not required yet,eventually adding fire alarm starting required yet,negative,eventually,negative,7
DOCE Discovery Session | Fire Prevention Bureau,66,Inspectors use a writable PDF inspection form for fire inspection,inspector use writable pdf inspection form fire inspection,negative,inspection,negative,8
DOCE Discovery Session | Fire Prevention Bureau,74,"Too many places to put things in IPS – can add documents in inspection, complaint, parcel",many place put thing ip add document inspection complaint parcel,negative,many,negative,10
DOCE Discovery Session | Fire Prevention Bureau,86,"Kelly is a fire inspector, lots of experience, she would prefer to go through her for this part",kelly fire inspector lot experience would prefer go part,negative,kelly,negative,9
DOCE Discovery Session | Central Permit Office,6,"Violation driven and inspector sends them to CPO e.g. If sees addition on house and doesn’t see a permit, sends them to CPO",violation driven inspector sends cpo see addition house see permit sends cpo,negative,sends,negative,12
DOCE Discovery Session | Central Permit Office,8,IPS more for property history or code violation search for CPO team + permit history purposes,ip property history code violation search cpo team permit history purpose,negative,history,negative,11
DOCE Discovery Session | Central Permit Office,16,Codes going to close out violations when permit issued,code going close violation permit issued,negative,code,negative,6
DOCE Discovery Session | Central Permit Office,18,They look in IPS for violations and Camino for permits,look ip violation camino permit,negative,look,negative,5
DOCE Discovery Session | Central Permit Office,22,Lost certain years of documentation due to Fire,lost certain year documentation due fire,negative,lost,negative,6
DOCE Discovery Session | Central Permit Office,39,Permit details don’t pull violations – had to go to main search,permit detail pull violation go main search,negative,permit,negative,7
DOCE Discovery Session | Central Permit Office,42,Lack of search capabilities in IPS – can't search on keyword searches e.g. Chimes building – difficult when many things on a parcel – easier to search in Camino,lack search capability ip ca search keyword search chime building difficult many thing parcel easier search camino,negative,search,negative,17
DOCE Discovery Session | Central Permit Office,45,Future system to retain – hard to search when not an actual parcel,future system retain hard search actual parcel,negative,future,negative,7
DOCE Discovery Session | Central Permit Office,54,Takes a long time to get updated information in IPS e.g. GIS information updated in county – lagged in IPS i.e. IPS says wrong thing and applicant was right,take long time get updated information ip gi information updated county lagged ip ip say wrong thing applicant right,negative,ip,negative,19
DOCE Discovery Session | Central Permit Office,58,Applicants can’t view their own violation in the system – would be helpful for applicants to have that info in the content itself,applicant view violation system would helpful applicant info content,negative,applicant,negative,9
DOCE Discovery Session | Central Permit Office,66,Hard to find contact info in Camino – have to check each applications individually,hard find contact info camino check application individually,negative,hard,negative,8
DOCE Discovery Session | Central Permit Office,71,Not in IPS - likes Camino timestamps so you know who did what i.e. if you need to know who deleted a note and when,ip like camino timestamps know need know deleted note,positive,know,negative,9
DOCE Discovery Session | Central Permit Office,73,Doesn’t timestamp violation notes – if note left without a name,timestamp violation note note left without name,negative,note,negative,7
DOCE Discovery Session | Central Permit Office,76,When someone applies for permits – alert that the property has an open violation – as a trigger to look into it,someone applies permit alert property open violation trigger look,negative,someone,negative,9
DOCE Discovery Session | Central Permit Office,82,"Not much existing documentation for IPS – figure it out, trial and error",much existing documentation ip figure trial error,negative,much,negative,7
DOCE Discovery Session | Central Permit Office,85,Search violations by type – broad categories e.g. search for violation related to fence – more labeling up front on the case itself – quick view without having to click into the case,search violation type broad category search violation related fence labeling front case quick view without click case,negative,search,negative,17
DOCE Discovery Session | Central Permit Office,86,"As of April 1, 2025 – started charging for ROW violations",april started charging row violation,negative,april,negative,5
DOCE Discovery Session | Central Permit Office,88,Mirza or Chuck come up with invoice – they determine which project to tie it to – violations they charge for only in IPS (not in Camino yet),mirza chuck come invoice determine project tie violation charge ip camino yet,negative,mirza,negative,12
DOCE Discovery Session | Central Permit Office,90,Several different violations within that one invoice,several different violation within one invoice,negative,several,negative,6
DOCE Discovery Session | Central Permit Office,91,DPW citing ROW violations on spot and charging violations – different system? Could ask Chuck Gifranscco/Mirza – believe may be using an invoice template,dpw citing row violation spot charging violation different system could ask chuck believe may using invoice template,negative,violation,negative,17
DOCE Discovery Session | Central Permit Office,93,Difficulty of suing IPS offsite or out of this building – super inconvenient – pull it up while in field,difficulty suing ip offsite building super inconvenient pull field,negative,difficulty,negative,9
DOCE Discovery Session | Zoning,36,Address or plans – no way to access their computers when interacting with members in the public in the front -,address plan way access computer interacting member public front,neutral,address,negative,9
DOCE Discovery Session | Zoning,42,Some historical stuff entered in IPS – but not comprehensive often times,historical stuff entered ip comprehensive often time,positive,historical,negative,7
DOCE Discovery Session | Zoning,43,Don’t use IPS for notetaking on historical cases – will fix older things if notice wrong or upload resolution if they find it,use ip notetaking historical case fix older thing notice wrong upload resolution find,negative,use,negative,13
DOCE Discovery Session | Zoning,48,Hard to track history of re-subdivided parcels – drastically different street names,hard track history parcel drastically different street name,negative,hard,negative,8
DOCE Discovery Session | Zoning,53,Historically speaking – after resub – no correspondence between zoning and assessment,historically speaking resub correspondence zoning assessment,neutral,historically,negative,6
DOCE Discovery Session | Zoning,59,Switching between IPS and OnBase so often because IPS is missing stuff,switching ip onbase often ip missing stuff,negative,ip,negative,7
DOCE Discovery Session | Zoning,61,Gets stuck with finding address in OnBase – only takes first 7 characters,get stuck finding address onbase take first character,negative,get,negative,8
DOCE Discovery Session | DOCE Office Staff,5,"Tim: Handles CE email, includes SeeClickFix – mostly that comes in (community complaints). Opens complaint, checks address, runs in IPS, see if complaint has already been cited. Tend to be exterior complaints.",tim handle ce email includes seeclickfix mostly come community complaint open complaint check address run ip see complaint already cited tend exterior complaint,negative,complaint,negative,23
DOCE Discovery Session | DOCE Office Staff,9,"FOIL requests – website JustFOIA – anywhere from I need all details of a specific case or I need every cert or violation issued since beginning of time. IPS, OnBase, and records in basement.",foil request website justfoia anywhere need detail specific case need every cert violation issued since beginning time ip onbase record basement,negative,need,negative,21
DOCE Discovery Session | DOCE Office Staff,12,"Ensure NOV, N&M, Legal Warning Letter and with pictures of violations – if all of those things present. Verify ownership is correct",ensure nov n legal warning letter picture violation thing present verify ownership correct,negative,ensure,negative,13
DOCE Discovery Session | DOCE Office Staff,20,"Katelynn: Manages print queue – inspectors send notices to queue – violations notices, legal warning letters, request for CofC",katelynn manages print queue inspector send notice queue violation notice legal warning letter request cofc,negative,queue,negative,15
DOCE Discovery Session | DOCE Office Staff,30,Sometimes inspectors see suspected vacants will ask her to do water checks to see if vacants,sometimes inspector see suspected vacants ask water check see vacants,negative,see,negative,10
DOCE Discovery Session | DOCE Office Staff,52,Parcel addresses – assessment overwrite is not helpful for addressing purposes – can see previous attempts to correct/update on the parcel,parcel address assessment overwrite helpful addressing purpose see previous attempt parcel,positive,parcel,negative,11
DOCE Discovery Session | DOCE Office Staff,54,Particular about – they need dispute information – don't like when tickets are 5 pages long,particular need dispute information like ticket page long,negative,particular,negative,8
DOCE Discovery Session | DOCE Office Staff,56,"has seen up to 90 violations on a case – can take 2 hours, volume of referrals has only gone up",seen violation case take hour volume referral gone,negative,seen,negative,8
DOCE Discovery Session | DOCE Office Staff,78,Inspector complaint for BAA – length it takes to complete the BAA process,inspector complaint baa length take complete baa process,negative,baa,negative,8
DOCE Discovery Session | DOCE Office Staff,79,"Property cited June 1 ,warning letter 14, referred end of June – BAA not done until end of Sept – have to wait until next spring to do the process again",property cited june warning letter referred end june baa done end sept wait next spring process,negative,june,negative,16
DOCE Discovery Session | DOCE Office Staff,83,I.e. generate email when BAA ticket denied,generate email baa ticket denied,negative,generate,negative,5
DOCE Discovery Session | CPO Coordinators,18,Catchment map for inspector areas and lead high risk area,catchment map inspector area lead high risk area,negative,area,negative,8
DOCE Discovery Session | CPO Coordinators,27,"Corinne: Hates Camino, terrible for record keeping",corinne hate camino terrible record keeping,negative,corinne,negative,6
DOCE Discovery Session | CPO Coordinators,30,"Can’t cite violations, generate renewal notices",cite violation generate renewal notice,negative,cite,negative,5
DOCE Discovery Session | CPO Coordinators,39,Number of people who complain there isn’t a paper application – don't want to make their lives harder,number people complain paper application want make life harder,negative,number,negative,9
DOCE Discovery Session | CPO Coordinators,52,Point is to serve the public – making their life a living hell – people don’t come back to apply and don’t get permits because too difficult – totally missing the point of the point of this office,point serve public making life living hell people come back apply get permit difficult totally missing point point office,negative,point,negative,19
DOCE Discovery Session | CPO Coordinators,53,Constituents walk out because they’re frustrated – feels they’re not serving them. Have constituents without an email address.,constituent walk frustrated feel serving constituent without email address,negative,constituent,negative,9
DOCE Discovery Session | CPO Coordinators,61,Printing out 60-day renewal notices – doesn't work well when many applications coming due,printing renewal notice work well many application coming due,positive,printing,negative,9
DOCE Discovery Session | CPO Coordinators,67,CE not doing well with using 2 systems – needs to be simplified,ce well using system need simplified,positive,ce,negative,6
DOCE Discovery Session | CPO Coordinators,90,No place in Camino for managing “due/past due” items,place camino managing due item,neutral,place,negative,5
DOCE Discovery Session | CPO Coordinators,101,"Camino – applicants that pay and don’t fill out the application or don’t submit, or complete the full application but don’t submit",camino applicant pay fill application submit complete full application submit,negative,application,negative,10
Discovery Session | Law,4,"Zachary Waksman – Attorney, Codes focus and some litigation, 2022",zachary waksman attorney code focus litigation,negative,zachary,negative,6
Discovery Session | Law,6,"Toryana Jackson – Codes Litigation, Aug 2025",toryana jackson code litigation aug,negative,toryana,negative,5
Discovery Session | Law,11,"John: IPS inconsistent in terms of utilization – documents not always uploaded, inspector notes sometimes missing on field activity",john ip inconsistent term utilization document always uploaded inspector note sometimes missing field activity,negative,john,negative,14
Discovery Session | Law,23,"Whether a code violation has been completed or not – less about the system, more about up to date documentation and notes (training issue more than software issue)",whether code violation completed less system date documentation note training issue software issue,negative,issue,negative,13
Discovery Session | Law,31,"Ex-parte petition (special proceeding – expediated compared to regular complaint process – just write it up and file, don’t need to serve anyone): No respondent",petition special proceeding expediated compared regular complaint process write file need serve anyone respondent,positive,petition,negative,14
Discovery Session | Law,32,"Zach: Cases tend to be more about the property owner, adversarial owners",zach case tend property owner adversarial owner,negative,owner,negative,7
Discovery Session | Law,33,"Collaborate with other attorneys, jugdge, their clerks – if they don’t hire an attorney deal with PO directly (phone/email)",collaborate attorney jugdge clerk hire attorney deal po directly,negative,attorney,negative,9
Discovery Session | Law,39,Inspectors have to review affirmations for accuracy and completeness – let Law know if anything wrong or mistated – then inspectors must sign,inspector review affirmation accuracy completeness let law know anything wrong mistated inspector must sign,negative,inspector,negative,14
Discovery Session | Law,42,Either violations get corrected and closed or,either violation get corrected closed,negative,either,negative,5
Discovery Session | Law,51,"Three steps for noticing: mailing, nail and mail (mandatory), legal warning letter",three step noticing mailing nail mail mandatory legal warning letter,negative,three,negative,10
Discovery Session | Assessment,16,"Ann uses it more – say whether a house is vacant, issued a CofO or CofA or maybe its for sale and says 4 units and 2 commercials – 2 residenital units – uses to check if an when anything ever issued – did Assessment miss something, has it changed legally since something was issued – whether there’s a property sruvey if there was a fence or addition back in the day – may be a survey or plan attached to a document. Will use in conjunction with Engineering to look at resub maps",ann us say whether house vacant issued cofo cofa maybe sale say unit commercial residenital unit us check anything ever issued assessment miss something changed legally since something issued whether property sruvey fence addition back day may survey plan attached document use conjunction engineering look resub map,negative,issued,negative,47
Discovery Session | Assessment,25,"Once keypunch resub in Assessment – it does sync to IPS – will see the 2 new addresses, but won’t see the new assessment (info is blocked because not finalized)",keypunch resub assessment sync ip see new address see new assessment info blocked finalized,negative,assessment,negative,14
Discovery Session | Assessment,31,"As they move relative to equalization rate, determine which properties to adjust – if they’re low –raise them up",move relative equalization rate determine property adjust low raise,negative,move,negative,9
Discovery Session | Assessment,33,No set scheduled – look at what’s going on the market and react,set scheduled look going market react,neutral,set,negative,6
Discovery Session | Assessment,36,Dec 31 – house fire – would need to reflect by Jan 1,dec house fire would need reflect jan,negative,dec,negative,7
