Focus Group,Expectation,processed_expectation,label,vader_sentiment
DOCE Building Inspectors,Greater Stability: Reduce crashes and system interruptions.,greater stability reduce crash system interruption,negative,negative
DOCE Building Inspectors,Faster Performance: Improve loading times and responsiveness.,faster performance improve loading time responsiveness,positive,positive
DOCE Building Inspectors,More Reliable Data Storage: Prevent loss of entered information.,reliable data storage prevent loss entered information,negative,negative
DOCE Building Inspectors,Modern Tablets: Replace outdated tablets with reliable devices.,modern tablet replace outdated tablet reliable device,neutral,neutral
DOCE Building Inspectors,Mobile IPS Application: Enable inspectors to complete inspections entirely in the field.,mobile ip application enable inspector complete inspection entirely field,neutral,neutral
DOCE Building Inspectors,iPhone Compatibility: Provide a mobile application that works on iPhones.,iphone compatibility provide mobile application work iphones,neutral,neutral
DOCE Building Inspectors,Real-Time Data Access: Allow inspectors to access and update cases from anywhere.,data access allow inspector access update case anywhere,positive,positive
DOCE Building Inspectors,Field Citation Capability: Create violations and complete documentation without returning to the office.,field citation capability create violation complete documentation without returning office,negative,negative
DOCE Building Inspectors,One System for Everything: Reduce dependency on multiple systems.,one system everything reduce dependency multiple system,neutral,neutral
DOCE Building Inspectors,"Integrated Permit & Enforcement Records: Combine permit, zoning, inspection, and enforcement information.",integrated permit enforcement record combine permit zoning inspection enforcement information,neutral,neutral
DOCE Building Inspectors,Centralized Property Information: Eliminate the need to research across multiple databases.,centralized property information eliminate need research across multiple database,neutral,neutral
DOCE Building Inspectors,"Better Interdepartmental Communication: Improve communication between Building, Fire, Zoning, Law, BAA, and Permits.",better interdepartmental communication improve communication building fire zoning law baa permit,positive,positive
DOCE Building Inspectors,Faster Zone Check Process: Improve zoning review turnaround times.,faster zone check process improve zoning review turnaround time,positive,positive
DOCE Building Inspectors,Improved Status Updates: Provide automatic updates when related departments complete work.,improved status update provide automatic update related department complete work,positive,positive
DOCE Building Inspectors,Better Permit Coordination: Improve visibility into permit requirements and approvals.,better permit coordination improve visibility permit requirement approval,positive,positive
DOCE Building Inspectors,Elevator Certification Access: Ability to quickly verify elevator certification status.,elevator certification access ability quickly verify elevator certification status,positive,positive
DOCE Building Inspectors,Sprinkler Report Access: Access to sprinkler inspection reports and compliance records.,sprinkler report access access sprinkler inspection report compliance record,neutral,neutral
DOCE Building Inspectors,Water Certification Access: Visibility into water usage and water certification information.,water certification access visibility water usage water certification information,neutral,neutral
DOCE Building Inspectors,Compliance Engine Integration: Direct access to third-party inspection and compliance data.,compliance engine integration direct access inspection compliance data,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,"Real-Time Field Access: Ability to access, update, and modify cases while in the field.",field access ability access update modify case field,positive,positive
DOCE CommercialPermitElectrical Inspectors,Mobile Case Management: Support inspection documentation from mobile devices.,mobile case management support inspection documentation mobile device,positive,positive
DOCE CommercialPermitElectrical Inspectors,Improved Documentation Tools: Better support for inspection notes and permit documentation.,improved documentation tool better support inspection note permit documentation,positive,positive
DOCE CommercialPermitElectrical Inspectors,Integrated Scheduling: Connect inspection scheduling with case management.,integrated scheduling connect inspection scheduling case management,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Faster Search Capabilities: Quickly locate project and permit information.,faster search capability quickly locate project permit information,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Centralized Case Information: Consolidate project history and inspection records.,centralized case information consolidate project history inspection record,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Permit Visibility: Improve visibility into permit-related activities and assignments.,permit visibility improve visibility activity assignment,positive,positive
DOCE CommercialPermitElectrical Inspectors,"Inspection Tracking: Continue the ability to track failed or ""kick-out"" inspections.",inspection tracking continue ability track failed inspection,negative,negative
DOCE CommercialPermitElectrical Inspectors,Future Follow-Up Tracking: Maintain tickler and reminder functionality.,future tracking maintain tickler reminder functionality,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Project Status Monitoring: Better visibility into active and pending projects.,project status monitoring better visibility active pending project,positive,positive
DOCE CommercialPermitElectrical Inspectors,Camino-Outlook Integration: Automatically synchronize inspections scheduled in Camino with Outlook calendars.,integration automatically synchronize inspection scheduled camino outlook calendar,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Unified Scheduling Platform: Eliminate duplicate scheduling activities.,unified scheduling platform eliminate duplicate scheduling activity,positive,positive
DOCE CommercialPermitElectrical Inspectors,Automated Reminders: Create reminders for future inspections and contractor follow-up.,automated reminder create reminder future inspection contractor,positive,positive
DOCE CommercialPermitElectrical Inspectors,Tickler Date Functionality: Add reminder dates and follow-up tracking directly within permit workflows.,tickler date functionality add reminder date tracking directly within permit workflow,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,"Integrated Permit Workflow: Connect permitting, inspections, and enforcement into one workflow.",integrated permit workflow connect permitting inspection enforcement one workflow,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Better Contractor Communication: Improve communication tools and contractor notifications.,better contractor communication improve communication tool contractor notification,positive,positive
DOCE CommercialPermitElectrical Inspectors,Project Lifecycle Tracking: Track projects from permit issuance through completion.,project lifecycle tracking track project permit issuance completion,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Improved Address Management: Standardize and validate address information.,improved address management standardize validate address information,positive,positive
DOCE CommercialPermitElectrical Inspectors,Mobile Inspection Application: Complete inspections entirely from the field.,mobile inspection application complete inspection entirely field,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Photo & Video Integration: Capture and upload inspection documentation directly from mobile devices.,photo video integration capture upload inspection documentation directly mobile device,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Offline Capability: Allow inspections to continue without internet connectivity.,offline capability allow inspection continue without internet connectivity,positive,positive
DOCE CommercialPermitElectrical Inspectors,Field-Based Certificate Issuance: Support approvals and documentation from inspection sites.,certificate issuance support approval documentation inspection site,positive,positive
DOCE CommercialPermitElectrical Inspectors,Improved User Training: Provide more comprehensive training for Camino and permit workflows.,improved user training provide comprehensive training camino permit workflow,positive,positive
DOCE CommercialPermitElectrical Inspectors,"Better Cross-Team Coordination: Improve coordination among Permit Office, inspectors, contractors, and Code Enforcement.",better coordination improve coordination among permit office inspector contractor code enforcement,positive,positive
DOCE CommercialPermitElectrical Inspectors,Standardized Processes: Establish consistent workflows across permit disciplines.,standardized process establish consistent workflow across permit discipline,neutral,neutral
DOCE CommercialPermitElectrical Inspectors,Qualified Staffing & Knowledge Transfer: Improve onboarding and training for specialized inspection roles.,qualified staffing knowledge transfer improve onboarding training specialized inspection role,positive,positive
DOCE Fire Prevention Bureau,"Single Property View: View violations, permits, inspections, COs, capacities, and historical records from one screen.",single property view view violation permit inspection co capacity historical record one screen,negative,negative
DOCE Fire Prevention Bureau,Better Historical Visibility: Quickly access prior violations and occupancy history.,better historical visibility quickly access prior violation occupancy history,negative,negative
DOCE Fire Prevention Bureau,Improved Search Capabilities: Simplify parcel and property searches.,improved search capability simplify parcel property search,positive,positive
DOCE Fire Prevention Bureau,Integrated Property Intelligence: Display all relevant property information together.,integrated property intelligence display relevant property information together,positive,positive
DOCE Fire Prevention Bureau,"Standardized Documentation: Store inspections, photos, violations, and actions in a consistent location.",standardized documentation store inspection photo violation action consistent location,negative,negative
DOCE Fire Prevention Bureau,Unified Case Records: Eliminate multiple documentation locations.,unified case record eliminate multiple documentation location,positive,positive
DOCE Fire Prevention Bureau,Improved Certificate Review Process: Consolidate information required for CO sign-offs.,improved certificate review process consolidate information required co,positive,positive
DOCE Fire Prevention Bureau,Integrated Inspection History: Provide complete inspection visibility.,integrated inspection history provide complete inspection visibility,neutral,neutral
DOCE Fire Prevention Bureau,Mobile IPS Access: Support inspections from mobile devices.,mobile ip access support inspection mobile device,positive,positive
DOCE Fire Prevention Bureau,Real-Time Documentation: Enter inspection findings directly in the field.,documentation enter inspection finding directly field,neutral,neutral
DOCE Fire Prevention Bureau,Field-Based Reporting: Generate inspection reports without returning to the office.,reporting generate inspection report without returning office,neutral,neutral
DOCE Fire Prevention Bureau,Better IPS-Camino-EPR Integration: Reduce duplicate work across systems.,better integration reduce duplicate work across system,positive,positive
DOCE Fire Prevention Bureau,"Unified Fire Prevention Workflow: Connect permit reviews, inspections, complaints, and enforcement.",unified fire prevention workflow connect permit review inspection complaint enforcement,negative,negative
DOCE Fire Prevention Bureau,Automated Data Sharing: Improve information sharing between systems.,automated data sharing improve information sharing system,positive,positive
DOCE Fire Prevention Bureau,Integrated Compliance Engine Data: Better access to sprinkler and fire system compliance information.,integrated compliance engine data better access sprinkler fire system compliance information,positive,positive
DOCE Fire Prevention Bureau,Integrated Calendar Functionality: Add scheduling and reminder capabilities directly into permitting and inspection workflows.,integrated calendar functionality add scheduling reminder capability directly permitting inspection workflow,neutral,neutral
DOCE Fire Prevention Bureau,Automated Task Tracking: Reduce reliance on Outlook and personal planners.,automated task tracking reduce reliance outlook personal planner,neutral,neutral
DOCE Fire Prevention Bureau,Inspection Workflow Visibility: Better visibility into inspection schedules and assignments.,inspection workflow visibility better visibility inspection schedule assignment,positive,positive
DOCE Fire Prevention Bureau,Cloud-Based Platform: Improve accessibility and usability.,platform improve accessibility usability,positive,positive
DOCE Fire Prevention Bureau,Modern User Interface: Replace outdated and non-intuitive screens.,modern user interface replace outdated screen,neutral,neutral
DOCE Fire Prevention Bureau,Reduced Research Time: Minimize time spent locating property and occupancy information.,reduced research time minimize time spent locating property occupancy information,neutral,neutral
DOCE Fire Prevention Bureau,"Comprehensive Fire Prevention Platform: Support plan reviews, inspections, complaints, licensing, enforcement, and certificates in one connected environment.",comprehensive fire prevention platform support plan review inspection complaint licensing enforcement certificate one connected environment,neutral,negative
DOCE Fire Prevention Bureau,Real-Time Field Operations: Enable inspectors and Fire Marshals to perform all field activities electronically.,field operation enable inspector fire marshal perform field activity electronically,negative,negative
DOCE Fire Prevention Bureau,Integrated Public Safety Data: Connect Fire Prevention activities with broader Code Enforcement and permitting operations.,integrated public safety data connect fire prevention activity broader code enforcement permitting operation,positive,positive
DOCE Housing Inspectors,Global Property View: Display all active and historical cases associated with a property.,global property view display active historical case associated property,positive,positive
DOCE Housing Inspectors,Case Status Labels: Allow cases to be categorized by status and activity type.,case status label allow case categorized status activity type,positive,positive
DOCE Housing Inspectors,Cases Needing Review Dashboard: Identify cases requiring attention.,case needing review dashboard identify case requiring attention,neutral,neutral
DOCE Housing Inspectors,Missing Inspection Tracking: Report on cases without scheduled inspections.,missing inspection tracking report case without scheduled inspection,negative,negative
DOCE Housing Inspectors,Batch Processing: Generate violation numbers and perform updates more efficiently.,batch processing generate violation number perform update efficiently,negative,negative
DOCE Housing Inspectors,Integrated Water Information: Provide direct access to water records.,integrated water information provide direct access water record,neutral,neutral
DOCE Housing Inspectors,Integrated Lead Information: Display lead-risk information within property records.,integrated lead information display information within property record,neutral,neutral
DOCE Housing Inspectors,Unified Address Management: Create a centralized address database.,unified address management create centralized address database,positive,positive
DOCE Housing Inspectors,Ownership Synchronization: Automatically update ownership information across related cases.,ownership synchronization automatically update ownership information across related case,neutral,neutral
DOCE Housing Inspectors,Cross-Case Updates: Ensure information changes apply to all relevant records.,update ensure information change apply relevant record,positive,positive
DOCE Housing Inspectors,Faster Action Selection: Reduce clicks required to complete common tasks.,faster action selection reduce click required complete common task,neutral,neutral
DOCE Housing Inspectors,Custom Shortcuts: Allow user-defined shortcuts for common actions.,custom shortcut allow shortcut common action,positive,positive
DOCE Housing Inspectors,Simplified Dropdowns: Reduce unnecessary dropdown options.,simplified dropdowns reduce unnecessary dropdown option,neutral,neutral
DOCE Housing Inspectors,Streamlined Rental Registry Integration: Better integration between IPS and the Periodic Inspection portal.,streamlined rental registry integration better integration ip periodic inspection portal,positive,positive
DOCE Housing Inspectors,Improved Search & Navigation: Make property and case information easier to find.,improved search navigation make property case information easier find,positive,positive
DOCE Housing Inspectors,Reduce Freezing & Crashes: Improve reliability and responsiveness.,reduce freezing crash improve reliability responsiveness,negative,positive
DOCE Housing Inspectors,Faster Case Loading: Improve performance when opening and reviewing cases.,faster case loading improve performance opening reviewing case,positive,positive
DOCE Housing Inspectors,Stable Remote Access: Improve connectivity for remote users.,stable remote access improve connectivity remote user,positive,positive
DOCE Housing Inspectors,Field-Based Case Updates: Allow inspectors to update cases while conducting inspections.,case update allow inspector update case conducting inspection,positive,positive
DOCE Housing Inspectors,Laptop Access in Field: Restore or expand laptop access for field work.,laptop access field restore expand laptop access field work,positive,positive
DOCE Housing Inspectors,Mobile Documentation: Enable real-time note and photo uploads.,mobile documentation enable note photo uploads,neutral,neutral
DOCE Housing Inspectors,Remote System Access: Improve remote access to inspection systems.,remote system access improve remote access inspection system,positive,positive
DOCE Housing Inspectors,"Single Property Record: Consolidate ownership, water, lead, permit, and case information.",single property record consolidate ownership water lead permit case information,neutral,neutral
DOCE Housing Inspectors,Centralized Property Research: Reduce the need to use multiple systems.,centralized property research reduce need use multiple system,neutral,neutral
DOCE Housing Inspectors,Unified Information Management: Create a single source of truth for housing enforcement activities.,unified information management create single source truth housing enforcement activity,positive,positive
DOCE Housing Inspectors,Operational Statistics: Provide reporting on cases without inspection dates and cases awaiting review.,operational statistic provide reporting case without inspection date case awaiting review,neutral,neutral
DOCE Housing Inspectors,Case Monitoring Dashboards: Improve visibility into workload and case status.,case monitoring dashboard improve visibility workload case status,positive,positive
DOCE Housing Inspectors,Lead Risk Identification: Automatically identify high-risk lead properties when cases are opened.,lead risk identification automatically identify lead property case opened,negative,negative
DOCE Housing Inspectors,User Documentation: Provide clear user guides and training materials.,user documentation provide clear user guide training material,positive,positive
DOCE Housing Inspectors,Consistent Workflows: Standardize processes across Housing Inspectors.,consistent workflow standardize process across housing inspector,neutral,neutral
DOCE Housing Inspectors,Improved User Experience: Maintain IPS's user-friendly design while improving efficiency and functionality.,improved user experience maintain ip design improving efficiency functionality,positive,positive
DOCE Office Manager,Single ownership record per owner or organization.,single ownership record per owner organization,neutral,neutral
DOCE Office Manager,Automatic synchronization of ownership updates.,automatic synchronization ownership update,neutral,neutral
DOCE Office Manager,Better visualization of ownership relationships.,better visualization ownership relationship,positive,positive
DOCE Office Manager,Simplified ownership and address updates.,simplified ownership address update,neutral,neutral
DOCE Office Manager,Improved support for multi-unit and complex ownership structures.,improved support complex ownership structure,positive,positive
DOCE Office Manager,Improved parcel and address searching.,improved parcel address searching,positive,positive
DOCE Office Manager,Easier access to historical records.,easier access historical record,positive,positive
DOCE Office Manager,Dedicated legal and court document sections.,dedicated legal court document section,positive,positive
DOCE Office Manager,Better organization of attachments and correspondence.,better organization attachment correspondence,positive,positive
DOCE Office Manager,Reduced crashes and memory issues.,reduced crash memory issue,negative,neutral
DOCE Office Manager,"Single source of truth for ownership, property, permit, and enforcement information.",single source truth ownership property permit enforcement information,positive,positive
DOCE Office Manager,"Better integration between IPS, AS400, Camino, GIS, and external databases.",better integration ip camino gi external database,positive,positive
DOCE Office Manager,Elimination of duplicate data entry.,elimination duplicate data entry,neutral,neutral
DOCE Office Manager,"Easier access to ownership, tax, water, and licensing information.",easier access ownership tax water licensing information,positive,positive
DOCE Office Manager,Better reporting and tracking tools.,better reporting tracking tool,positive,positive
DOCE Office Manager,Improved visibility into BAA tickets and legal referrals.,improved visibility baa ticket legal referral,positive,positive
DOCE Office Manager,Easier access to frequently used information.,easier access frequently used information,positive,positive
DOCE Office Manager,Streamlined legal referral and enforcement documentation processes.,streamlined legal referral enforcement documentation process,positive,positive
DOCE Office Manager,Standardized administrative workflows across the department.,standardized administrative workflow across department,neutral,neutral
DOCE Office Managers,Automatically synchronize inspection schedules between IPS and Outlook.,automatically synchronize inspection schedule ip outlook,neutral,neutral
DOCE Office Managers,Improve scheduling coordination for inspections involving multiple departments.,improve scheduling coordination inspection involving multiple department,positive,positive
DOCE Office Managers,Streamline the Periodic Inspection module.,streamline periodic inspection module,neutral,neutral
DOCE Office Managers,Improve search functionality for cases and properties.,improve search functionality case property,positive,positive
DOCE Office Managers,Make Parcel History easier to navigate for large properties.,make parcel history easier navigate large property,positive,positive
DOCE Office Managers,Improve visibility of case notes and attachments.,improve visibility case note attachment,positive,positive
DOCE Office Managers,Auto-populate commonly used complaint and inspection information.,commonly used complaint inspection information,negative,negative
DOCE Office Managers,Reduce repetitive manual data entry.,reduce repetitive manual data entry,negative,negative
DOCE Office Managers,Improve attachment management and document uploads.,improve attachment management document uploads,positive,positive
