focus_group,pain_points,processed_text
DOCE Admin Aides,Can't upload attachments,Can't upload attachments
DOCE Admin Aides,Saving an inspection after scheduling crashes IPS or sometimes it slows down,Saving an inspection after scheduling crashes IPS or sometimes it slows down
DOCE Admin Aides,Inspector names listed for periodic inspection are never in order/alphabetical,Inspector names listed for periodic inspection are never in order/alphabetical
DOCE Admin Aides,Sometimes Rent Holds / Rent Release doesn’t appear as an option to input,Sometimes Rent Holds / Rent Release doesn’t appear as an option to input
DOCE Admin Aides,Prolonged loading time,Prolonged loading time
DOCE Admin Aides,Freezing and crashing of IPS,Freezing and crashing of IPS
DOCE Fire Prevention Bureau,I find IPS to be non-intuitive and confusing,I find IPS to be non-intuitive and confusing
DOCE Fire Prevention Bureau,Researching history of violations is time consuming,Researching history of violations is time consuming
DOCE Fire Prevention Bureau,Cloud based would be better,Cloud based would be better
DOCE Fire Prevention Bureau,To sign off on a Certificate of Occupancy or Certificate of Completion have to look in multiple places to find applicable closed inspections,To sign off on a Certificate of Occupancy or Certificate of Completion have to look in multiple places to find applicable closed inspections
DOCE Fire Prevention Bureau,Missing information regarding parcel,Missing information regarding parcel
DOCE Fire Prevention Bureau,Missing information regarding parcel,Missing information regarding parcel
DOCE Fire Prevention Bureau,From reviewers/inspections,From reviewers/inspections
DOCE Fire Prevention Bureau,"Multiple ways/places to document – action, images/documents, inspections","Multiple ways/places to document – action, images/documents, inspections"
DOCE Fire Prevention Bureau,Inactive parcel that are actually active,Inactive parcel that are actually active
DOCE Fire Prevention Bureau,Scheduling - need to be put in multiple places,Scheduling - need to be put in multiple places
DOCE Housing Inspectors,When IPS freezes or not working efficiently it can cause a delay in process,When IPS freezes or not working efficiently it can cause a delay in process
DOCE Housing Inspectors,Actions in IPS are slow to select,Actions in IPS are slow to select
DOCE Housing Inspectors,Selection same actions multiple times,Selection same actions multiple times
DOCE Housing Inspectors,Organize cases based on type of cases,Organize cases based on type of cases
DOCE Housing Inspectors,Checking lead map frequently,Checking lead map frequently
DOCE Housing Inspectors,When others are entering violations at the same time,When others are entering violations at the same time
DOCE Housing Inspectors,No shortcut for common actions (i.e. code staff notes),No shortcut for common actions (i.e. code staff notes)
DOCE Housing Inspectors,Addresses aren’t always updated,Addresses aren’t always updated
DOCE Housing Inspectors,Too many actions,Too many actions
DOCE Housing Inspectors,IPS will be slow or shutdown; reboot needed,IPS will be slow or shutdown; reboot needed
DOCE Housing Inspectors,"IPS does not have a general scroll option for all cases, need to go into/out of multiple open/closed cases to get accurate picture of case/property history and active cases","IPS does not have a general scroll option for all cases, need to go into/out of multiple open/closed cases to get accurate picture of case/property history and active cases"
DOCE Housing Inspectors,“Trim down” the drop downs related to assigned inspector/type of case,“Trim down” the drop downs related to assigned inspector/type of case
Law,I can’t complete an affirmation if the notices and nail & mail aren’t uploaded into IPS,I can’t complete an affirmation if the notices and nail & mail aren’t uploaded into IPS
Law,The layout of the action notes,The layout of the action notes
Law,Inability to access water records without AS400,Inability to access water records without AS400
Law,Inspectors don’t always take good records,Inspectors don’t always take good records
Law,Cannot combine open violations from multiple complaints,Cannot combine open violations from multiple complaints
Law,IPS is underutilized:,IPS is underutilized:
Law,"Documents not loaded, notes needed","Documents not loaded, notes needed"
NBD Data Team,"Leak of standardized / consistent data entry, often due to lack of standardized actions aren’t used","Leak of standardized / consistent data entry, often due to lack of standardized actions aren’t used"
NBD Data Team,Lack of automation eg. Doubling fines after at time condition for much of BAA process,Lack of automation eg. Doubling fines after at time condition for much of BAA process
NBD Data Team,Lack of consistent system use outside of codes for interdepartmental projects / co-ordination,Lack of consistent system use outside of codes for interdepartmental projects / co-ordination
NBD Data Team,Segmentation between Camino & IPS for permitting data,Segmentation between Camino & IPS for permitting data
NBD Data Team,Tracking for users also cause of continuity for data reporting,Tracking for users also cause of continuity for data reporting
NBD Data Team,Lack of timely system updates (IT),Lack of timely system updates (IT)
NBD Data Team,"Clunky – easy to accidentally break things inaditantly – make codes item, had to regenerate codes book with rendor","Clunky – easy to accidentally break things inaditantly – make codes item, had to regenerate codes book with rendor"
NBD Data Team,Difficult to find specific complaints,Difficult to find specific complaints
NBD Data Team,Unable to add things to IPS through code,Unable to add things to IPS through code
NBD Data Team,Sub parcels are often unused,Sub parcels are often unused
NBD Data Team,"I spend several hours a week updating IPS on the front-end, manually.","I spend several hours a week updating IPS on the front-end, manually."
NBD Data Team,Workflow capabilities limited,Workflow capabilities limited
NBD Data Team,Systems are siloed (IPS can’t communicate with other systems well),Systems are siloed (IPS can’t communicate with other systems well)
NBD Data Team,Units! Subparcels,Units! Subparcels
NBD Data Team,No data validation!,No data validation!
NBD Neighborhood Planning,Some ERP referrals do not show up in the desk review section on home page,Some ERP referrals do not show up in the desk review section on home page
NBD Neighborhood Planning,Cannot select from drop-down the type of referrals,Cannot select from drop-down the type of referrals
NBD Neighborhood Planning,Need a system for DSS referral (refugee resettlement),Need a system for DSS referral (refugee resettlement)
NBD Neighborhood Planning,Property research: inability to pull information from county clerk database,Property research: inability to pull information from county clerk database
NBD Neighborhood Planning,Lack of automation for data entry,Lack of automation for data entry
NBD Neighborhood Planning,Different systems for each thing,Different systems for each thing
NBD Neighborhood Planning,Switch to camino has made information harder to find cross system,Switch to camino has made information harder to find cross system
NBD Neighborhood Planning,No cross-departmental usage,No cross-departmental usage
DOCE Office Staff,Updating ownership will sometimes make IPS crash,Updating ownership will sometimes make IPS crash
DOCE Office Staff,Sometimes Image Mate doesn’t have the best information and overrides correct ownership information already in IPS,Sometimes Image Mate doesn’t have the best information and overrides correct ownership information already in IPS
DOCE Office Staff,Opening cases too quickly and more than one at a time in IPS will often make it crash,Opening cases too quickly and more than one at a time in IPS will often make it crash
DOCE Office Staff,Sanitation notice bar in print queue crashes when clicked,Sanitation notice bar in print queue crashes when clicked
DOCE Office Staff,Address updating – having to click on contact to view updated address,Address updating – having to click on contact to view updated address
DOCE Office Staff,Property manager/agent in IPS “Parcel” does not always transfer over when opening a new case,Property manager/agent in IPS “Parcel” does not always transfer over when opening a new case
DOCE Office Staff,“Refer to BAA” action in the case will not always refer the case to BAA,“Refer to BAA” action in the case will not always refer the case to BAA
DOCE CommercialPermitElectrical Inspectors,IPS buffers/breaks down,IPS buffers/breaks down
DOCE CommercialPermitElectrical Inspectors,Searching for information,Searching for information
DOCE CommercialPermitElectrical Inspectors,When you schedule an inspection on camino it doesn’t show up on outlook,When you schedule an inspection on camino it doesn’t show up on outlook
DOCE CommercialPermitElectrical Inspectors,Better training on processes in pace,Better training on processes in pace
DOCE CommercialPermitElectrical Inspectors,Cannot create new dates in camino to check/call contractors for updates,Cannot create new dates in camino to check/call contractors for updates
DOCE CommercialPermitElectrical Inspectors,Camino’s layout format,Camino’s layout format
DOCE CommercialPermitElectrical Inspectors,Seeing new/assigned work,Seeing new/assigned work
DOCE CommercialPermitElectrical Inspectors,access,access
DOCE CommercialPermitElectrical Inspectors,In camino not being able to keep track of tickle dates,In camino not being able to keep track of tickle dates
DOCE CommercialPermitElectrical Inspectors,No coordination,No coordination
DOCE Zoning,Historical context / research scattered all over. “Finding all the history”,Historical context / research scattered all over. “Finding all the history”
DOCE Zoning,Parcel based but not system of record tracking addressing/ownership,Parcel based but not system of record tracking addressing/ownership
DOCE Zoning,Ownership chenges,Ownership chenges
DOCE Zoning,Re-subs,Re-subs
DOCE Zoning,Lot aleration,Lot aleration
DOCE Zoning,History on “inactive parcels”,History on “inactive parcels”
DOCE Zoning,Basement filling system (excel spreadsheet),Basement filling system (excel spreadsheet)
DOCE Zoning,“gaps” in information,“gaps” in information
DOCE Zoning,"IPS slowness, larger parcels have issues taking time to load","IPS slowness, larger parcels have issues taking time to load"
DOCE Zoning,Parcels broken into multiple pieces / units,Parcels broken into multiple pieces / units
DOCE Zoning,OnBase layout and windows often not very user-friendly,OnBase layout and windows often not very user-friendly
DOCE Zoning,Address tracking after resub division,Address tracking after resub division
DOCE Zoning,CU apps – zoning review,CU apps – zoning review
DOCE Zoning,Late in process,Late in process
DOCE Zoning,History searches take a significant amount of time,History searches take a significant amount of time
DOCE Zoning,Parcel history search,Parcel history search
DOCE Zoning,Area / block searches lot,Area / block searches lot
DOCE Zoning,Answering repetitive phone calls,Answering repetitive phone calls
DOCE Zoning,"Communication: applicant, reviewer","Communication: applicant, reviewer"
DOCE Supervisors,"Too many systems needed to check ownership, taxes, water, codes, permits, zoning history","Too many systems needed to check ownership, taxes, water, codes, permits, zoning history"
DOCE Supervisors,Missing information / data (historical information),Missing information / data (historical information)
DOCE Supervisors,“Some historical data lost in fire/flooding/pipe burst”,“Some historical data lost in fire/flooding/pipe burst”
DOCE Supervisors,Information not digital/in one place,Information not digital/in one place
DOCE Supervisors,Multiple software programs and databases,Multiple software programs and databases
DOCE Supervisors,Inconsistent / lagging contact information,Inconsistent / lagging contact information
DOCE Supervisors,Parcel information not being in one central location,Parcel information not being in one central location
DOCE Supervisors,Research on multiple software,Research on multiple software
DOCE Supervisors,Historical information is missing,Historical information is missing
DOCE Supervisors,Too much collaborating on email (especially with projects),Too much collaborating on email (especially with projects)
DOCE Supervisors,Currently no major concerns with IPS,Currently no major concerns with IPS
DOCE Supervisors,Contractors find Camino very frustrating and then gets turned over to CPO and me – Demo Permits,Contractors find Camino very frustrating and then gets turned over to CPO and me – Demo Permits
DOCE Supervisors,Too many places where information is stored,Too many places where information is stored
DOCE Supervisors,Special Knowledge needed to operate system,Special Knowledge needed to operate system
Assessment,Ann: Sometimes when it says Cert of Occp has been issued – can't see it for some reason,Ann: Sometimes when it says Cert of Occp has been issued – can't see it for some reason
Assessment,Joe: Prefers IPS to Camino,Joe: Prefers IPS to Camino
Assessment,He likes IPS for what he uses it for,He likes IPS for what he uses it for
Assessment,"Easily viewable, attainable, exportable","Easily viewable, attainable, exportable"
Assessment,"For Assessment’s purposes as a viewer, has met their needs – not too many negatives","For Assessment’s purposes as a viewer, has met their needs – not too many negatives"
Assessment,Uses IPS for historical viewing of permits,Uses IPS for historical viewing of permits
Assessment,Every now and then issue of something not loading – hasn't been a consistent issue,Every now and then issue of something not loading – hasn't been a consistent issue
Assessment,Technology: Likes: Dislikes:,Technology: Likes: Dislikes:
BAA ALJs,"Sue is PT ALJ, in once per week. Learning curve in IPS – one of the most difficult programs and processes to learn. A number of functions she can’t access from","Sue is PT ALJ, in once per week. Learning curve in IPS – one of the most difficult programs and processes to learn. A number of functions she can’t access from"
BAA ALJs,Navigating between screens is cumbersome. Sometimes screen minimize,Navigating between screens is cumbersome. Sometimes screen minimize
BAA ALJs,Can’t view permits within module,Can’t view permits within module
BAA ALJs,Archaic program,Archaic program
BAA ALJs,Lack of training materials?,Lack of training materials?
BAA ALJs,No ““how to” within the system – part of it may be infreqeuncy in being here but also not intuitive in terms of navigation – clunky,No ““how to” within the system – part of it may be infreqeuncy in being here but also not intuitive in terms of navigation – clunky
BAA ALJs,Functionality depends on people putting stuff in and it going in accurately – for most part that does happen,Functionality depends on people putting stuff in and it going in accurately – for most part that does happen
BAA ALJs,Lee: Scheduling status and case status is not real clear – there's no adjudication module in terms of what’s happening within a current case – have to scan notes to determine,Lee: Scheduling status and case status is not real clear – there's no adjudication module in terms of what’s happening within a current case – have to scan notes to determine
BAA ALJs,"Lee: Related cases, whether prior cases of same violation – it's not always clear what the relationship might be and sometimes very pertinent e.g. permit, CC, RR where entirely separate case out there that’s different with case violation – for tracking application, that’s separate – may have useful information in there, have to hunt everywhere to see if you can put together composite picture of what’s occurring, not efficient","Lee: Related cases, whether prior cases of same violation – it's not always clear what the relationship might be and sometimes very pertinent e.g. permit, CC, RR where entirely separate case out there that’s different with case violation – for tracking application, that’s separate – may have useful information in there, have to hunt everywhere to see if you can put together composite picture of what’s occurring, not efficient"
BAA ALJs,"Lee: Can’t easily rename files in IPS, drag and drop works pretty well – assigns random ID to it- would be helpful to retitle in IPS","Lee: Can’t easily rename files in IPS, drag and drop works pretty well – assigns random ID to it- would be helpful to retitle in IPS"
BAA ALJs,Lee: Fines and fees difficult to separate – what goes to what,Lee: Fines and fees difficult to separate – what goes to what
BAA ALJs,"Appreciate how staff put it in, but lots of room for error","Appreciate how staff put it in, but lots of room for error"
BAA ALJs,Not associated to particular code violations e.g. gen prop violation – which corresponding violation?,Not associated to particular code violations e.g. gen prop violation – which corresponding violation?
BAA ALJs,"Apr 1 violations , Apr 4 violations can be recited  - should be first ticket on","Apr 1 violations , Apr 4 violations can be recited - should be first ticket on"
BAA ALJs,Big point of confusion for staff both in BAA and Codes – not intuitive what fees should be,Big point of confusion for staff both in BAA and Codes – not intuitive what fees should be
BAA ALJs,If tickets dismissed because no good service – appears there’s a first round of tickets – make it more readily clear,If tickets dismissed because no good service – appears there’s a first round of tickets – make it more readily clear
BAA ALJs,Should come up during property liens/tax search during ownership changes – hit and miss process,Should come up during property liens/tax search during ownership changes – hit and miss process
BAA ALJs,Not every attorney knows to come to Dept of Finance and request tax search (mostly check Real Property database),Not every attorney knows to come to Dept of Finance and request tax search (mostly check Real Property database)
BAA ALJs,Ishrat: Payments/Fees tab is very confusing.,Ishrat: Payments/Fees tab is very confusing.
BAA ALJs,"When ownership changes, prior owner’s fines/fees don’t disappear, but no way to separate from new owner’s responsibility.","When ownership changes, prior owner’s fines/fees don’t disappear, but no way to separate from new owner’s responsibility."
BAA ALJs,Fees are very general -,Fees are very general -
BAA ALJs,"Multiple owners and same owner re-cited, doubles, hard to tease it out","Multiple owners and same owner re-cited, doubles, hard to tease it out"
BAA ALJs,A way to separate it out so it can you show you clearly violations cited to prior owner versus current owner,A way to separate it out so it can you show you clearly violations cited to prior owner versus current owner
BAA ALJs,Seeing changes that were made and when they were made would be helpful,Seeing changes that were made and when they were made would be helpful
BAA ALJs,"Ability to track changes, how it got to that point so easier to fix issues rather than figuring out what happened","Ability to track changes, how it got to that point so easier to fix issues rather than figuring out what happened"
BAA ALJs,AIMS – certain things that work well,AIMS – certain things that work well
BAA ALJs,"Registered owner, but they have multiple license plates, able to see at some point registered to other plates – get an idea of what issue is under hat plate","Registered owner, but they have multiple license plates, able to see at some point registered to other plates – get an idea of what issue is under hat plate"
BAA ALJs,"When PO owns multiple properties, no way to view related properties, cases – something centralized to be able to show, or even seeing company X sold 15 properties to company Y, being able to see that","When PO owns multiple properties, no way to view related properties, cases – something centralized to be able to show, or even seeing company X sold 15 properties to company Y, being able to see that"
BAA ALJs,Have to look up cases by case number – would be nice to be able to look up by violation number,Have to look up cases by case number – would be nice to be able to look up by violation number
BAA ALJs,Decision bank – e..g defaults – someone doesn’t appear for,Decision bank – e..g defaults – someone doesn’t appear for
BAA ALJs,Suggested language – sustain deciison with language,Suggested language – sustain deciison with language
BAA ALJs,Template letter with option to customize/change,Template letter with option to customize/change
BAA ALJs,e.g. RR failure to apply/obtain - many cases,e.g. RR failure to apply/obtain - many cases
BAA ALJs,Something with common language – start with a template and adjust as needed,Something with common language – start with a template and adjust as needed
BAA ALJs,"Overview page – overview of violations, number open, number closed on X date","Overview page – overview of violations, number open, number closed on X date"
BAA Clerks & Admin Aides,If someone wants to know the open violations – search by,If someone wants to know the open violations – search by
BAA Clerks & Admin Aides,Click into each case individually to verify fees – would be nice if there’s a filter option,Click into each case individually to verify fees – would be nice if there’s a filter option
BAA Clerks & Admin Aides,Tracking Would be easier to be able to batch add fees e.g. 4 gen prop rather than re-enter,Tracking Would be easier to be able to batch add fees e.g. 4 gen prop rather than re-enter
BAA Clerks & Admin Aides,IPS freezes every now and then,IPS freezes every now and then
BAA Clerks & Admin Aides,"Notes section can get chaotic – so much data in there (inspections, notes) - if reviewing quickly, it can be confusing","Notes section can get chaotic – so much data in there (inspections, notes) - if reviewing quickly, it can be confusing"
BAA Clerks & Admin Aides,Difficult Forms are a manual process,Difficult Forms are a manual process
BAA Clerks & Admin Aides,Tickets – only adding the dates,Tickets – only adding the dates
BAA Clerks & Admin Aides,"Default D&Os – adding fine amounts, violations, sometimes address change","Default D&Os – adding fine amounts, violations, sometimes address change"
BAA Ops,"Chris: Familiar with process, second nature after 3 years","Chris: Familiar with process, second nature after 3 years"
BAA Ops,"Mila: Don’t see the point in repeating information twice – put it in notes section, action, and as a codes staff note","Mila: Don’t see the point in repeating information twice – put it in notes section, action, and as a codes staff note"
BAA Ops,No action specific to dismissal,No action specific to dismissal
BAA Ops,Will always need a Codes staff note - log all constituent calls and notes,Will always need a Codes staff note - log all constituent calls and notes
BAA Ops,"Lots within the notes – makes it confusing, see case closed, but not clear if it’s for first ticket or second ticket","Lots within the notes – makes it confusing, see case closed, but not clear if it’s for first ticket or second ticket"
BAA Ops,Constituents get frustrated – have to find information fast – lots to parse through,Constituents get frustrated – have to find information fast – lots to parse through
BAA Ops,Takes a long time to find information need to update the constituent,Takes a long time to find information need to update the constituent
BAA Ops,A way to sort through action log – so you only see BAA actions for instance or only Codes info,A way to sort through action log – so you only see BAA actions for instance or only Codes info
BAA Ops,Ability to organize by action type or department or,Ability to organize by action type or department or
BAA Ops,Very detailed within info to put int,Very detailed within info to put int
BAA Ops,Not great for customer service – could be more simplified,Not great for customer service – could be more simplified
BAA Ops,Mila – used to work for court of appeal – moved to electronic procedures – all the physical paperwork – all digital,Mila – used to work for court of appeal – moved to electronic procedures – all the physical paperwork – all digital
BAA Ops,"All the parts – respondents, judge, notary, clerks – all could participate in procedure – could log in and upload their claims or appeals – decisions, sign there with electronic signature","All the parts – respondents, judge, notary, clerks – all could participate in procedure – could log in and upload their claims or appeals – decisions, sign there with electronic signature"
BAA Ops,Could access and see because it’s public,Could access and see because it’s public
BAA Ops,IPS was more for administrative tool originally?,IPS was more for administrative tool originally?
BAA Ops,AIMS – use for illegal setouts – confusing that there’s a Code Enforcement module – can it be renamed / call it ISO or set outs instead?,AIMS – use for illegal setouts – confusing that there’s a Code Enforcement module – can it be renamed / call it ISO or set outs instead?
BAA Ops,Draft D&O to mail out – sometimes more than one owner address,Draft D&O to mail out – sometimes more than one owner address
BAA Ops,Time consuming to parse through,Time consuming to parse through
BAA Ops,Have user updated and date on the address/contact similar to timestamps on what’s on Images/Doc section,Have user updated and date on the address/contact similar to timestamps on what’s on Images/Doc section
BAA Ops,Any type of hearing schedule would be helpful – people who come to BAA and don’t have a ticket number,Any type of hearing schedule would be helpful – people who come to BAA and don’t have a ticket number
BAA Ops,"Constituent gets mailed that info, but don’t always bring it with them","Constituent gets mailed that info, but don’t always bring it with them"
BAA Ops,Have to look it up in IPS to find the ticket number,Have to look it up in IPS to find the ticket number
BAA Ops,Have 3 different Outlook calendars for hearing schedules,Have 3 different Outlook calendars for hearing schedules
BAA Ops,Ability to search by address so they don’t have to find the TaxID,Ability to search by address so they don’t have to find the TaxID
BAA Ops,Tools County Clerk for deeds,Tools County Clerk for deeds
BAA Ops,USPS tracking,USPS tracking
BAA Ops,Likes Color coordination – BAA actions are green – would be helpful if they were shades of green/grouped for a reason,Likes Color coordination – BAA actions are green – would be helpful if they were shades of green/grouped for a reason
BAA Ops,"Likes notes tab – nice that it’s separate from action log and summary of everything – can see what round of ticketing they’re on, round of ticket","Likes notes tab – nice that it’s separate from action log and summary of everything – can see what round of ticketing they’re on, round of ticket"
BAA Ops,"Likes how detailed the info we can input is – just the way more organized could be more visual – make it easier to find key information, latest note","Likes how detailed the info we can input is – just the way more organized could be more visual – make it easier to find key information, latest note"
BAA Ops,Likes when they search that you can see what’s open and what’s closed,Likes when they search that you can see what’s open and what’s closed
BAA Ops,Dislikes,Dislikes
BAA Supervisors & Admin Aide,Every part of the BAA process – IPS is not a ticketing/ court adjudication platform – trying to use it for that – it's too much for what BAA is capable of,Every part of the BAA process – IPS is not a ticketing/ court adjudication platform – trying to use it for that – it's too much for what BAA is capable of
BAA Supervisors & Admin Aide,Manual ticketing process – drafted in Word docs (time consuming) - leads to human error,Manual ticketing process – drafted in Word docs (time consuming) - leads to human error
BAA Supervisors & Admin Aide,Individual complaint cases – can't see overarching property or user account – have to click on each individual case or even higher level,Individual complaint cases – can't see overarching property or user account – have to click on each individual case or even higher level
BAA Supervisors & Admin Aide,FOIL for SHA – have to go into each individual case to see which ones have tickets,FOIL for SHA – have to go into each individual case to see which ones have tickets
BAA Supervisors & Admin Aide,Ideally would be able to view by property and/or property owner,Ideally would be able to view by property and/or property owner
BAA Supervisors & Admin Aide,Payments – fines input for each individual,Payments – fines input for each individual
BAA Supervisors & Admin Aide,Not clear which payments for which date and which for rollover – when CPC or Codes looking at it – hard when other teams looking at it or newer staff – hard to figure out what you’re looking out,Not clear which payments for which date and which for rollover – when CPC or Codes looking at it – hard when other teams looking at it or newer staff – hard to figure out what you’re looking out
BAA Supervisors & Admin Aide,"Sometimes pay a round 2 but not a round 1, confusing when there are multiple","Sometimes pay a round 2 but not a round 1, confusing when there are multiple"
BAA Supervisors & Admin Aide,Cecelia: cases not linked is top frustration,Cecelia: cases not linked is top frustration
BAA Supervisors & Admin Aide,"Leah: Hearings – it's not an AJ platform, so ability for PO to contest or schedule the hearing, ability for judge to issue decision","Leah: Hearings – it's not an AJ platform, so ability for PO to contest or schedule the hearing, ability for judge to issue decision"
BAA Supervisors & Admin Aide,"Schedule inspection at point there’s a hearing doing in IPS, but in a perfect world would be similar to parking process which has gotten a lot better","Schedule inspection at point there’s a hearing doing in IPS, but in a perfect world would be similar to parking process which has gotten a lot better"
BAA Supervisors & Admin Aide,"Parking: handheld device – they do ticket, it prints, affix it and take all pictures on there","Parking: handheld device – they do ticket, it prints, affix it and take all pictures on there"
BAA Supervisors & Admin Aide,"In perfect world, Codes doing on there","In perfect world, Codes doing on there"
BAA Supervisors & Admin Aide,At point there is a ticket – Codes is doing it,At point there is a ticket – Codes is doing it
BAA Supervisors & Admin Aide,"Codes is doing service, mailing","Codes is doing service, mailing"
BAA Supervisors & Admin Aide,Ticket has QR code and it takes them into a portal that shows them all of their pictures,Ticket has QR code and it takes them into a portal that shows them all of their pictures
BAA Supervisors & Admin Aide,Constituents can’t access photos currently – security concerns with IPS,Constituents can’t access photos currently – security concerns with IPS
BAA Supervisors & Admin Aide,"They can pay or dispute right online (by mail, virtual, or in person – can pick date or time if want in person, if they want virtual, they can schedule directly)","They can pay or dispute right online (by mail, virtual, or in person – can pick date or time if want in person, if they want virtual, they can schedule directly)"
BAA Supervisors & Admin Aide,Currently – doing virtual in teams and scheduling in person in Word,Currently – doing virtual in teams and scheduling in person in Word
BAA Supervisors & Admin Aide,"Ideally could schedule across BAA, inspector, PO","Ideally could schedule across BAA, inspector, PO"
BAA Supervisors & Admin Aide,On that date/time - pop up and record and automatically be in the case,On that date/time - pop up and record and automatically be in the case
BAA Supervisors & Admin Aide,"Right now if done on Team, save recording and on OneDrive, not linked to case in IPS. In person hearing, doing handheld records. Someone manually pulls off and saves in a file.","Right now if done on Team, save recording and on OneDrive, not linked to case in IPS. In person hearing, doing handheld records. Someone manually pulls off and saves in a file."
BAA Supervisors & Admin Aide,"Whole hearing process – ideally would be more automated for BAA staff, but also more transparent for public","Whole hearing process – ideally would be more automated for BAA staff, but also more transparent for public"
BAA Supervisors & Admin Aide,Shortcomings: constituents can’t see any of the evidence,Shortcomings: constituents can’t see any of the evidence
BAA Supervisors & Admin Aide,All done manually by BAA staff:,All done manually by BAA staff:
BAA Supervisors & Admin Aide,Notice of appearance for attorney,Notice of appearance for attorney
BAA Supervisors & Admin Aide,Affidavit if LLC,Affidavit if LLC
