department,focus_group,expectations,source,processed_text
CPC,CPC,The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier,worksheet,The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier
CPC,CPC,Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.,worksheet,Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.
CPC,CPC,Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.,worksheet,Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.
CPC,CPC,I could help update when I see some that could be closed,worksheet,I could help update when I see some that could be closed
CPC,CPC,Maybe its my computer,worksheet,Maybe its my computer
CPC,CPC,Add one more search function,worksheet,Add one more search function
CPC,CPC,"After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations.",worksheet,"After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations."
CPC,CPC,Businesses on system should also list owner's / responsible party name,worksheet,Businesses on system should also list owner's / responsible party name
CPC,CPC,System could automatically duplicate email address + phone for every account on system once completed for one account manually,worksheet,System could automatically duplicate email address + phone for every account on system once completed for one account manually
CPC,CPC,Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.,worksheet,Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.
CPC,CPC,AS400 – water,worksheet,AS400 – water
CPC,CPC,Need to duplicate password entry,worksheet,Need to duplicate password entry
CPO,Permits,One database that stores and allows /facilitates application progress,worksheet,One database that stores and allows /facilitates application progress
CPO,Permits,Improve documentation capabilities,worksheet,Improve documentation capabilities
CPO,Permits,Ideally it would be aide to someone integrate with camino.,worksheet,Ideally it would be aide to someone integrate with camino.
CPO,Permits,I think from codes perspective the information is scattered,worksheet,I think from codes perspective the information is scattered
CPO,Permits,"Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>",worksheet,"Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>"
DOCE,Admin Aide,autofill from linked outlook and IPS modules,worksheet,autofill from linked outlook and IPS modules
DOCE,Admin Aide,Same format throughout,worksheet,Same format throughout
DOCE,Admin Aide,"Search in address book would populate all associated properties complaints, violations",worksheet,"Search in address book would populate all associated properties complaints, violations"
DOCE,Admin Aide,More detailed preview,worksheet,More detailed preview
DOCE,Admin Aide,Faster processing speed or more data for the software to run smoothly so it doesn't crash often,worksheet,Faster processing speed or more data for the software to run smoothly so it doesn't crash often
DOCE,Admin Aide,Making it so we can seek the names alphabetically or programming it to do so,worksheet,Making it so we can seek the names alphabetically or programming it to do so
DOCE,Admin Aide,Adding Rent Hold / Rent Release as option for all cases since some case types doesn't list them,worksheet,Adding Rent Hold / Rent Release as option for all cases since some case types doesn't list them
DOCE,Admin Aide,"If there was more organization in the periodic inspection table, there are too many unused options and the list is random",worksheet,"If there was more organization in the periodic inspection table, there are too many unused options and the list is random"
DOCE,Building Inspectors,Make sure we have the most current information,worksheet,Make sure we have the most current information
DOCE,Building Inspectors,Make sure we have the most current address,worksheet,Make sure we have the most current address
DOCE,Building Inspectors,Better communication,worksheet,Better communication
DOCE,Building Inspectors,Sprinkler system reports & elevator reports – access to them at least,worksheet,Sprinkler system reports & elevator reports – access to them at least
DOCE,Building Inspectors,Tablets that are faster,worksheet,Tablets that are faster
DOCE,Building Inspectors,Communication within departments,worksheet,Communication within departments
DOCE,Building Inspectors,Apps on iPhone,worksheet,Apps on iPhone
DOCE,Building Inspectors,Single system,worksheet,Single system
DOCE,Building Inspectors,Single system,worksheet,Single system
DOCE,Building Inspectors,The same as AS400.,worksheet,The same as AS400.
DOCE,Building Inspectors,If it could hold everything I need.,worksheet,If it could hold everything I need.
DOCE,Building Inspectors,Have a note that says pass instead calling permits,worksheet,Have a note that says pass instead calling permits
DOCE,Building Inspectors,Have that in IPS,worksheet,Have that in IPS
DOCE,Building Inspectors,Just elevator certificate,worksheet,Just elevator certificate
DOCE,CPO-Coordinators,One system for everything,worksheet,One system for everything
DOCE,CPO-Coordinators,Get rid of Camino!,worksheet,Get rid of Camino!
DOCE,CPO-Coordinators,"Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn't needed, automatic renewal letters sent to a queue?",worksheet,"Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn't needed, automatic renewal letters sent to a queue?"
DOCE,CPO-Coordinators,Migrate list (tracking) out of IPS (this can be an excel file),worksheet,Migrate list (tracking) out of IPS (this can be an excel file)
DOCE,CPO-Coordinators,Online system to schedule inspections (already used elsewhere),worksheet,Online system to schedule inspections (already used elsewhere)
DOCE,CPO-Coordinators,Some owners have numerous accounts in IPS,worksheet,Some owners have numerous accounts in IPS
DOCE,Housing Inspectors,I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix,worksheet,I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix
DOCE,Housing Inspectors,Make it so it's to a scroll to choose and action,worksheet,Make it so it's to a scroll to choose and action
DOCE,Housing Inspectors,Make an action that saves clicks,worksheet,Make an action that saves clicks
DOCE,Housing Inspectors,Make a case label for drive by/calls/waiting for owner,worksheet,Make a case label for drive by/calls/waiting for owner
DOCE,Housing Inspectors,Case could tell you when you open it if it is in high risk area,worksheet,Case could tell you when you open it if it is in high risk area
DOCE,Housing Inspectors,"If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying",worksheet,"If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying"
DOCE,Housing Inspectors,Batch violation numbers when saved,worksheet,Batch violation numbers when saved
DOCE,Housing Inspectors,Ability to add custom shortcuts,worksheet,Ability to add custom shortcuts
DOCE,Housing Inspectors,Create a global address book,worksheet,Create a global address book
DOCE,Housing Inspectors,Eliminate unneeded actions i.e. (BAA Ticket Rounds),worksheet,Eliminate unneeded actions i.e. (BAA Ticket Rounds)
DOCE,Housing Inspectors,Stats,worksheet,Stats
DOCE,Housing Inspectors,Cases without inspection date,worksheet,Cases without inspection date
DOCE,Housing Inspectors,Cases set to “needs review”,worksheet,Cases set to “needs review”
DOCE,Housing Inspectors,(IT or IPS focus),worksheet,(IT or IPS focus)
DOCE,Housing Inspectors,Bring back laptops so we can update cases in field,worksheet,Bring back laptops so we can update cases in field
DOCE,Housing Inspectors,Issues connecting to IPS remotely,worksheet,Issues connecting to IPS remotely
DOCE,Office Managers,"I can complete my function by only opening one case at a time, but it slows me down",worksheet,"I can complete my function by only opening one case at a time, but it slows me down"
DOCE,Office Managers,"The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up:",worksheet,"The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up:"
DOCE,Office Managers,"Because if sometimes doesn't take an update,",worksheet,"Because if sometimes doesn't take an update,"
DOCE,Office Managers,Can't tell who is connected to who,worksheet,Can't tell who is connected to who
DOCE,Office Managers,Remove tab because it has nothing to do with us,worksheet,Remove tab because it has nothing to do with us
DOCE,Office Managers,Make it still “checkable” but have address remain updated,worksheet,Make it still “checkable” but have address remain updated
DOCE,Office Managers,Ensure this information can be automatically put into new cases so it is not forgotten,worksheet,Ensure this information can be automatically put into new cases so it is not forgotten
DOCE,Office Managers,"Making sure “department”, “status” or either status in IPS are not holding up BAA referrals.",worksheet,"Making sure “department”, “status” or either status in IPS are not holding up BAA referrals."
DOCE,Office Managers,Water & Tax records for periodic inspections,worksheet,Water & Tax records for periodic inspections
DOCE,Permit/Commercial/Electrical Inspectors,Consolidate to functioning system,worksheet,Consolidate to functioning system
DOCE,Permit/Commercial/Electrical Inspectors,In field timely acces: to information and modification of cases,worksheet,In field timely acces: to information and modification of cases
DOCE,Permit/Commercial/Electrical Inspectors,Have camino and outlook talk to each other,worksheet,Have camino and outlook talk to each other
DOCE,Permit/Commercial/Electrical Inspectors,Use IPS when permit is pulled,worksheet,Use IPS when permit is pulled
DOCE,Permit/Commercial/Electrical Inspectors,Get rid of it,worksheet,Get rid of it
DOCE,Permit/Commercial/Electrical Inspectors,Get rid of it,worksheet,Get rid of it
DOCE,Permit/Commercial/Electrical Inspectors,Get rid of it,worksheet,Get rid of it
DOCE,Permit/Commercial/Electrical Inspectors,Add a tickle date option to the system,worksheet,Add a tickle date option to the system
DOCE,Permit/Commercial/Electrical Inspectors,IPS works better than Camino,worksheet,IPS works better than Camino
DOCE,Permit/Commercial/Electrical Inspectors,Hiring qualified people and train them,worksheet,Hiring qualified people and train them
DOCE,Supervisors,Consolidate /merge data and information,worksheet,Consolidate /merge data and information
DOCE,Supervisors,?,worksheet,?
DOCE,Supervisors,"Migration to one place (microfrch, scans, shared drives, etc.)",worksheet,"Migration to one place (microfrch, scans, shared drives, etc.)"
DOCE,Supervisors,Artificial Intelligence,worksheet,Artificial Intelligence
DOCE,Supervisors,"Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)",worksheet,"Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)"
DOCE,Supervisors,Better reporting,worksheet,Better reporting
DOCE,Supervisors,?,worksheet,?
DOCE,Supervisors,Not sure.,worksheet,Not sure.
DOCE,Supervisors,?,worksheet,?
DOCE,Supervisors,"Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database.",worksheet,"Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database."
DOCE,Supervisors,"Some addresses on the property are not the same in assessment records, so contractors get frsutrated",worksheet,"Some addresses on the property are not the same in assessment records, so contractors get frsutrated"
DOCE,Supervisors,Central software for all Code,worksheet,Central software for all Code
DOCE,Zoning,Data migration to one system for historical records.,worksheet,Data migration to one system for historical records.
DOCE,Zoning,Digitization of all records timely,worksheet,Digitization of all records timely
DOCE,Zoning,Enterprise wide GIS system,worksheet,Enterprise wide GIS system
DOCE,Zoning,See notes from my code enforcement worksheet - [PERSON],worksheet,See notes from my code enforcement worksheet - [PERSON]
DOCE,Zoning,More regular updates to speadsheet,worksheet,More regular updates to speadsheet
DOCE,Zoning,"The items not on IPS or OnBase, if not in basement file, can't be found",worksheet,"The items not on IPS or OnBase, if not in basement file, can't be found"
DOCE,Zoning,More files uploaded / transferred to IPS,worksheet,More files uploaded / transferred to IPS
DOCE,Zoning,Change workflow,worksheet,Change workflow
DOCE,Zoning,Dedicated person,worksheet,Dedicated person
DOCE,Zoning,Onboarding training (competative),worksheet,Onboarding training (competative)
DOCE,Zoning,Making the code more accessible or encouraging email communications rather than calling,worksheet,Making the code more accessible or encouraging email communications rather than calling
DOCE,Zoning,"I wish all previous things that are in OnBase were in IPS. So, I didn't have to switch between those often",worksheet,"I wish all previous things that are in OnBase were in IPS. So, I didn't have to switch between those often"
FPB,Fire,IPS on mobile devices. Real time inspection reports and documentation. Integrate IPS violations into other Fire Department functions,worksheet,IPS on mobile devices. Real time inspection reports and documentation. Integrate IPS violations into other Fire Department functions
FPB,Fire,Import information like exact CO and capacity available without digging,worksheet,Import information like exact CO and capacity available without digging
FPB,Fire,Have a more profound way of finding information,worksheet,Have a more profound way of finding information
FPB,Fire,Make it one way to document different people do thing differently and put in different places,worksheet,Make it one way to document different people do thing differently and put in different places
FPB,Fire,Fix this! Make sure they are active in IPS,worksheet,Fix this! Make sure they are active in IPS
Law,Law,The format makes it hard to read everything at once,worksheet,The format makes it hard to read everything at once
Law,Law,Integrate water records into recordkeeping tools,worksheet,Integrate water records into recordkeeping tools
Law,Law,Require confirmation that documents were uploaded and work was done,worksheet,Require confirmation that documents were uploaded and work was done
Law,Law,Make overview reports available for properties,worksheet,Make overview reports available for properties
Law,Law,Compatibility with office,worksheet,Compatibility with office
Law,Law,More disciplinary entry of notes and documents,worksheet,More disciplinary entry of notes and documents
Law,Law,Ability for IPS information to be transferred to MS word,worksheet,Ability for IPS information to be transferred to MS word
NBD,NBD Data Team,"Process mapping & SOPS, system training & support",worksheet,"Process mapping & SOPS, system training & support"
NBD,NBD Data Team,Imporved case management tools for users: ability to finding upcoming unclosed so routes can be planned more ethuinituly,worksheet,Imporved case management tools for users: ability to finding upcoming unclosed so routes can be planned more ethuinituly
NBD,NBD Data Team,"High level front-end reporting capabilities for leadership – compliance, on building block log cases, time to resolve, cases infor updates in x makes, etc",worksheet,"High level front-end reporting capabilities for leadership – compliance, on building block log cases, time to resolve, cases infor updates in x makes, etc"
NBD,NBD Data Team,Direct scheduling for applicants! Ontwok integration,worksheet,Direct scheduling for applicants! Ontwok integration
NBD,NBD Data Team,"Usability or monthly quick links to other systems – AS400, Camino",worksheet,"Usability or monthly quick links to other systems – AS400, Camino"
NBD,NBD Data Team,Have cleaner sorting and filtering features within a parcel,worksheet,Have cleaner sorting and filtering features within a parcel
NBD,NBD Data Team,Add insert / update / delete functionality,worksheet,Add insert / update / delete functionality
NBD,NBD Data Team,Have them be a component of main parcel?,worksheet,Have them be a component of main parcel?
NBD,NBD Data Team,Easier way to modify violations.,worksheet,Easier way to modify violations.
NBD,NBD Data Team,For sorting and categorizing,worksheet,For sorting and categorizing
NBD,NBD Data Team,Updating IPS through SQL,worksheet,Updating IPS through SQL
NBD,NBD Data Team,Easier complaint search on parcel view,worksheet,Easier complaint search on parcel view
NBD,NBD Data Team,Violations summary & units affected,worksheet,Violations summary & units affected
NBD,NBD Data Team,"Being able to post to the database (eg, to flag a batch of parcels as vacant once a week)",worksheet,"Being able to post to the database (eg, to flag a batch of parcels as vacant once a week)"
NBD,NBD Data Team,"More robust automation or scripting possibilities, so that more updates or QA/QC can be automated",worksheet,"More robust automation or scripting possibilities, so that more updates or QA/QC can be automated"
NBD,NBD Data Team,"Allow for if this then that bridges between programs, integrations with a CRM or GIS software, etc",worksheet,"Allow for if this then that bridges between programs, integrations with a CRM or GIS software, etc"
NBD,NBD Data Team,"I'm not sure the best improvement here, but tracking residential units and which complaint goes to which unit is so frustrating",worksheet,"I'm not sure the best improvement here, but tracking residential units and which complaint goes to which unit is so frustrating"
NBD,NBD Data Team,The ability to configure validation for different data fields,worksheet,The ability to configure validation for different data fields
NBD,NBD Data Team,I want better documentation for the database. We don't have any robust EO diagrams!,worksheet,I want better documentation for the database. We don't have any robust EO diagrams!
NBD,NBD Data Team,"Please, let's have modern scripting options (eg, Python not Visual Basic; posting to the database)",worksheet,"Please, let's have modern scripting options (eg, Python not Visual Basic; posting to the database)"
NBD,NBD Data Team,"If the new software could integrate with Esri, a contact management software (like Salesforce), or other tools, we could accomplish so much more",worksheet,"If the new software could integrate with Esri, a contact management software (like Salesforce), or other tools, we could accomplish so much more"
NBD,NBD Internal,Might be a bug,worksheet,Might be a bug
NBD,NBD Internal,A drop down for ERP referrals to indicate where the referral came,worksheet,A drop down for ERP referrals to indicate where the referral came
NBD,NBD Internal,Build system with drop down selection of where the referred came from to start documenting which agency placed them.,worksheet,Build system with drop down selection of where the referred came from to start documenting which agency placed them.
NBD,NBD Internal,Something tangible that can get auto emailed to ambassadors,worksheet,Something tangible that can get auto emailed to ambassadors
NBD,NBD Internal,Geographic viewing of addresses nearby.,worksheet,Geographic viewing of addresses nearby.
NBD,NBD Internal,Data sharing / backend access with county,worksheet,Data sharing / backend access with county
NBD,NBD Internal,Ways to mass enter data not through Hamer,worksheet,Ways to mass enter data not through Hamer
NBD,NBD Internal,"eTax, IPS, AS400, Camino, etc. Too many to consolidate. Should be easier to access information from standard site",worksheet,"eTax, IPS, AS400, Camino, etc. Too many to consolidate. Should be easier to access information from standard site"
NBD,NBD Internal,"Old permit information hasn't been transferred. They've stopped storing insurances, surveys need better record storage",worksheet,"Old permit information hasn't been transferred. They've stopped storing insurances, surveys need better record storage"
NBD,NBD Internal,Something NBD/Law /Finance can all use,worksheet,Something NBD/Law /Finance can all use
Assessment,Assessment,"As far as current use of IPS – don't know what we don't know. Before today, didn't know Rental Registry was in there. Didn't have a comprehensive training. Haven't gone down rabbit hole of looking at fines. Knowing what houses have stop work orders is helpful – that would be helpful",meeting_notes,"As far as current use of IPS – don't know what we don't know. Before today, didn't know Rental Registry was in there. Didn't have a comprehensive training. Haven't gone down rabbit hole of looking at fines. Knowing what houses have stop work orders is helpful – that would be helpful"
Assessment,Assessment,Share stop work order map*,meeting_notes,Share stop work order map*
Assessment,Assessment,He would be curious to know of all the stop work orders how many go an obtain a permit?,meeting_notes,He would be curious to know of all the stop work orders how many go an obtain a permit?
Assessment,Assessment,Would be interested to know of everyone that has a stop work order,meeting_notes,Would be interested to know of everyone that has a stop work order
Assessment,Assessment,Do sometimes look at real estate listings – may say kitchen has been remodeled or refinished basement – will say assessor doesn't know right in the listing,meeting_notes,Do sometimes look at real estate listings – may say kitchen has been remodeled or refinished basement – will say assessor doesn't know right in the listing
Assessment,Assessment,Would be easier if IPS has building permits – forced to learn new system – [PERSON] completely depends on Joe for look ups in Camino – if we could go to one system and see everything that would be helpful,meeting_notes,Would be easier if IPS has building permits – forced to learn new system – [PERSON] completely depends on Joe for look ups in Camino – if we could go to one system and see everything that would be helpful
Assessment,Assessment,IPS intuitive from their perspective,meeting_notes,IPS intuitive from their perspective
Assessment,Assessment,If they could find resubs maps easier – user issue more than anything,meeting_notes,If they could find resubs maps easier – user issue more than anything
BAA,BAA ALJs,"Too many windows – better layout, user interface could be more intuitive. Maybe part of that is an adjudication specific module could help",meeting_notes,"Too many windows – better layout, user interface could be more intuitive. Maybe part of that is an adjudication specific module could help"
BAA,BAA ALJs,Admin Aides and interns to do tracking to confirm service – ability to enter tracking number on each ticket and timer to set for 30 days – check tracking at USPS website and change status to yes serve and attach confirmation – ability to automate,meeting_notes,Admin Aides and interns to do tracking to confirm service – ability to enter tracking number on each ticket and timer to set for 30 days – check tracking at USPS website and change status to yes serve and attach confirmation – ability to automate
BAA,BAA ALJs,AIMS – way to send decisions via email to registered owner,meeting_notes,AIMS – way to send decisions via email to registered owner
BAA,BAA ALJs,MS Teams invite – sometimes issues with,meeting_notes,MS Teams invite – sometimes issues with
BAA,BAA ALJs,Email directly from application would be nice,meeting_notes,Email directly from application would be nice
BAA,BAA ALJs,Save email as an attachment automatically – lives in case – records when contact happened,meeting_notes,Save email as an attachment automatically – lives in case – records when contact happened
BAA,BAA ALJs,"Manually record everything – ability for application record, download and save the hearings",meeting_notes,"Manually record everything – ability for application record, download and save the hearings"
BAA,BAA ALJs,"Codes inspectors are out in the field for long periods of times, checking on multiple properties throughout the day – don't always upload notes onto IPS – makes it difficult to know what's going on. Need to be on network with IPS",meeting_notes,"Codes inspectors are out in the field for long periods of times, checking on multiple properties throughout the day – don't always upload notes onto IPS – makes it difficult to know what's going on. Need to be on network with IPS"
BAA,BAA ALJs,"Way to have secure app with SSO for Codes to use on phones – if they need to upload photos or notes, they can do it on demand",meeting_notes,"Way to have secure app with SSO for Codes to use on phones – if they need to upload photos or notes, they can do it on demand"
BAA,BAA ALJs,So they don't need to come back to the office at end of the day and do that,meeting_notes,So they don't need to come back to the office at end of the day and do that
BAA,BAA ALJs,Internal purposes – automatic tracking for USPS,meeting_notes,Internal purposes – automatic tracking for USPS
BAA,BAA ALJs,The fact that something says delivered or not – not evidence that,meeting_notes,The fact that something says delivered or not – not evidence that
BAA,BAA ALJs,"May need real human being to double check that, but getting receipts",meeting_notes,"May need real human being to double check that, but getting receipts"
BAA,BAA ALJs,Web of ownership not always as easy to unravel – but would be nice to extent possible we could see what ownership is,meeting_notes,Web of ownership not always as easy to unravel – but would be nice to extent possible we could see what ownership is
BAA,BAA ALJs,Retain – color code is a good thing,meeting_notes,Retain – color code is a good thing
BAA,BAA ALJs,By department and action,meeting_notes,By department and action
BAA,BAA ALJs,Inspection vs violations vs actions,meeting_notes,Inspection vs violations vs actions
BAA,BAA ALJs,IPS tells you which user to make a change – automatically records users,meeting_notes,IPS tells you which user to make a change – automatically records users
BAA,BAA ALJs,Other shortcomings – slow,meeting_notes,Other shortcomings – slow
BAA,BAA ALJs,"Dislike - Result – turns red, only opens up inspection, have to write down case number and search case",meeting_notes,"Dislike - Result – turns red, only opens up inspection, have to write down case number and search case"
BAA,BAA ALJs,Everything is called an inspection in the system – something to distinguish tickler dates from actual in person inspections,meeting_notes,Everything is called an inspection in the system – something to distinguish tickler dates from actual in person inspections
BAA,BAA ALJs,Need inspection to mean actual investigation,meeting_notes,Need inspection to mean actual investigation
BAA,BAA ALJs,educe use of windows – would be helpful.,meeting_notes,educe use of windows – would be helpful.
BAA,BAA Operations,Would be helpful to see what's owed – summary at case and property level without having to click into each case – to quickly see which tickets still have fines,meeting_notes,Would be helpful to see what's owed – summary at case and property level without having to click into each case – to quickly see which tickets still have fines
BAA,BAA Operations,Likes MS Teams – makes it easier for hearings,meeting_notes,Likes MS Teams – makes it easier for hearings
BAA,BAA Operations,Attorneys and inspectors respond quickly,meeting_notes,Attorneys and inspectors respond quickly
BAA,BAA Operations,Would be helpful for notifications within IPS,meeting_notes,Would be helpful for notifications within IPS
BAA,BAA Operations,Workflow – notify inspector of hearing date,meeting_notes,Workflow – notify inspector of hearing date
BAA,BAA Operations,Helpful to be able to see inspector availability in Outlook – not all of them maintain it,meeting_notes,Helpful to be able to see inspector availability in Outlook – not all of them maintain it
BAA,BAA Operations,"Constituent access – maybe not full access, but can see legal evidence they should have access to– public facing portal",meeting_notes,"Constituent access – maybe not full access, but can see legal evidence they should have access to– public facing portal"
BAA,BAA Operations,Ability to submit documents,meeting_notes,Ability to submit documents
BAA,BAA Operations,File dispute on there,meeting_notes,File dispute on there
BAA,BAA Operations,Can't do appeals online – need to be certified mail,meeting_notes,Can't do appeals online – need to be certified mail
BAA,BAA Operations,When LLC calls to check on 20 properties – spend an hour finding information,meeting_notes,When LLC calls to check on 20 properties – spend an hour finding information
BAA,BAA Operations,Ability to search by owner – they may call with address but not case number,meeting_notes,Ability to search by owner – they may call with address but not case number
BAA,BAA Operations,Can't search by ticket/violation number,meeting_notes,Can't search by ticket/violation number
BAA,BAA Operations,e.g. SyrNotify system – they have to add their own properties to subscribe to notifications for,meeting_notes,e.g. SyrNotify system – they have to add their own properties to subscribe to notifications for
BAA,BAA Operations,Public facing portal – explains that they should contact DOCE for the violations and the BAA for the fine – that they're too separate things – they don't know who to talk to,meeting_notes,Public facing portal – explains that they should contact DOCE for the violations and the BAA for the fine – that they're too separate things – they don't know who to talk to
BAA,BAA Operations,Issue with Code Enforcement – if someone calls and sees its with BAA – transfer to BAA even if the question is violation related,meeting_notes,Issue with Code Enforcement – if someone calls and sees its with BAA – transfer to BAA even if the question is violation related
BAA,BAA Operations,Gets calls on BAA line – what's on the ticket,meeting_notes,Gets calls on BAA line – what's on the ticket
BAA,BAA Operations,BAA ticket doesn't have the Codes corrective action on there,meeting_notes,BAA ticket doesn't have the Codes corrective action on there
BAA,BAA Operations,Ability to batch add fees – have to add one-by-one,meeting_notes,Ability to batch add fees – have to add one-by-one
BAA,BAA Supervisors,[PERSON] Hearing/court system capabilities – ability for all parts of ticketing/adjudication process,meeting_notes,[PERSON] Hearing/court system capabilities – ability for all parts of ticketing/adjudication process
