focus_group,expectations,processed_text,sentiment
DOCE Central Permit Office,I think from codes perspective the information is scattered,I think from codes perspective the information is scattered,positive
DOCE Central Permit Office,"Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>","Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>",positive
DOCE CPO Coordinators,One system for everything,One system for everything,positive
DOCE CPO Coordinators,Get rid of Camino!,Get rid of Camino!,positive
DOCE CPO Coordinators,"Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn’t needed, automatic renewal letters sent to a queue?","Customized certificates, simpler case management, more efficient expiration/renewal notification so report isn’t needed, automatic renewal letters sent to a queue?",negative
DOCE CPO Coordinators,Migrate list (tracking) out of IPS (this can be an excel file),Migrate list (tracking) out of IPS (this can be an excel file),positive
DOCE CPO Coordinators,Online system to schedule inspections (already used elsewhere),Online system to schedule inspections (already used elsewhere),positive
DOCE CPO Coordinators,Some owners have numerous accounts in IPS,Some owners have numerous accounts in IPS,positive
DOCE Admin Aides,autofill from linked outlook and IPS modules,autofill from linked outlook and IPS modules,positive
DOCE Admin Aides,Same format throughout,Same format throughout,positive
DOCE Admin Aides,"Search in address book would populate all associated properties complaints, violations","Search in address book would populate all associated properties complaints, violations",positive
DOCE Admin Aides,More detailed preview,More detailed preview,positive
DOCE Admin Aides,Faster processing speed or more data for the software to run smoothly so it doesn’t crash often,Faster processing speed or more data for the software to run smoothly so it doesn’t crash often,positive
DOCE Admin Aides,Making it so we can seek the names alphabetically or programming it to do so,Making it so we can seek the names alphabetically or programming it to do so,positive
DOCE Admin Aides,Adding Rent Hold / Rent Release as option for all cases since some case types doesn’t list them,Adding Rent Hold / Rent Release as option for all cases since some case types doesn’t list them,positive
DOCE Admin Aides,"If there was more organization in the periodic inspection table, there are too many unused options and the list is random","If there was more organization in the periodic inspection table, there are too many unused options and the list is random",negative
DOCE Fire Prevention Bureau,IPS on mobile devices. Real time inspection reports and documentation. Integrate IPS violations into other Fire Department functions,IPS on mobile devices. Real time inspection reports and documentation. Integrate IPS violations into other Fire Department functions,positive
DOCE Fire Prevention Bureau,Import information like exact CO and capacity available without digging,Import information like exact CO and capacity available without digging,positive
DOCE Fire Prevention Bureau,Have a more profound way of finding information,Have a more profound way of finding information,positive
DOCE Fire Prevention Bureau,Make it one way to document different people do thing differently and put in different places,Make it one way to document different people do thing differently and put in different places,positive
DOCE Fire Prevention Bureau,Fix this! Make sure they are active in IPS,Fix this! Make sure they are active in IPS,positive
DOCE Housing Inspectors,I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix,I have no idea; I am not sure why IPS has lapses so I am not sure how to improve/fix,positive
DOCE Housing Inspectors,Make it so it’s to a scroll to choose and action,Make it so it’s to a scroll to choose and action,positive
DOCE Housing Inspectors,Make an action that saves clicks,Make an action that saves clicks,positive
DOCE Housing Inspectors,Make a case label for drive by/calls/waiting for owner,Make a case label for drive by/calls/waiting for owner,positive
DOCE Housing Inspectors,Case could tell you when you open it if it is in high risk area,Case could tell you when you open it if it is in high risk area,positive
DOCE Housing Inspectors,"If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying","If it could get water /lead information, it would save a lot of time. Only a couple of people have access to AS400, so it is annoying",negative
DOCE Housing Inspectors,Batch violation numbers when saved,Batch violation numbers when saved,positive
DOCE Housing Inspectors,Ability to add custom shortcuts,Ability to add custom shortcuts,positive
DOCE Housing Inspectors,Create a global address book,Create a global address book,positive
DOCE Housing Inspectors,Eliminate unneeded actions i.e. (BAA Ticket Rounds),Eliminate unneeded actions i.e. (BAA Ticket Rounds),positive
DOCE Housing Inspectors,Stats,Stats,positive
DOCE Housing Inspectors,Cases without inspection date,Cases without inspection date,positive
DOCE Housing Inspectors,Cases set to “needs review”,Cases set to “needs review”,positive
DOCE Housing Inspectors,(IT or IPS focus),(IT or IPS focus),positive
DOCE Housing Inspectors,Bring back laptops so we can update cases in field,Bring back laptops so we can update cases in field,positive
DOCE Housing Inspectors,Issues connecting to IPS remotely,Issues connecting to IPS remotely,positive
Law,The format makes it hard to read everything at once,The format makes it hard to read everything at once,positive
Law,Integrate water records into recordkeeping tools,Integrate water records into recordkeeping tools,positive
Law,Require confirmation that documents were uploaded and work was done,Require confirmation that documents were uploaded and work was done,positive
Law,Make overview reports available for properties,Make overview reports available for properties,positive
Law,Compatibility with office,Compatibility with office,positive
Law,More disciplinary entry of notes and documents,More disciplinary entry of notes and documents,positive
Law,Ability for IPS information to be transferred to MS word,Ability for IPS information to be transferred to MS word,positive
NBD Data Team,"Process mapping & SOPS, system training & support","Process mapping & SOPS, system training & support",positive
NBD Data Team,Imporved case management tools for users: ability to finding upcoming unclosed so routes can be planned more ethuinituly,Imporved case management tools for users: ability to finding upcoming unclosed so routes can be planned more ethuinituly,positive
NBD Data Team,"High level front-end reporting capabilities for leadership – compliance, on building block log cases, time to resolve, cases infor updates in x makes, etc","High level front-end reporting capabilities for leadership – compliance, on building block log cases, time to resolve, cases infor updates in x makes, etc",positive
NBD Data Team,Direct scheduling for applicants! Ontwok integration,Direct scheduling for applicants! Ontwok integration,positive
NBD Data Team,"Usability or monthly quick links to other systems – AS400, Camino","Usability or monthly quick links to other systems – AS400, Camino",positive
NBD Data Team,Have cleaner sorting and filtering features within a parcel,Have cleaner sorting and filtering features within a parcel,positive
NBD Data Team,Add insert / update / delete functionality,Add insert / update / delete functionality,positive
NBD Data Team,Have them be a component of main parcel?,Have them be a component of main parcel?,negative
NBD Data Team,Easier way to modify violations.,Easier way to modify violations.,positive
NBD Data Team,For sorting and categorizing,For sorting and categorizing,positive
NBD Data Team,Updating IPS through SQL,Updating IPS through SQL,positive
NBD Data Team,Easier complaint search on parcel view,Easier complaint search on parcel view,positive
NBD Data Team,Violations summary & units affected,Violations summary & units affected,positive
NBD Data Team,"Being able to post to the database (eg, to flag a batch of parcels as vacant once a week)","Being able to post to the database (eg, to flag a batch of parcels as vacant once a week)",positive
NBD Data Team,"More robust automation or scripting possibilities, so that more updates or QA/QC can be automated","More robust automation or scripting possibilities, so that more updates or QA/QC can be automated",positive
NBD Data Team,"Allow for if this then that bridges between programs, integrations with a CRM or GIS software, etc","Allow for if this then that bridges between programs, integrations with a CRM or GIS software, etc",positive
NBD Data Team,"I’m not sure the best improvement here, but tracking residential units and which complaint goes to which unit is so frustrating","I’m not sure the best improvement here, but tracking residential units and which complaint goes to which unit is so frustrating",positive
NBD Data Team,The ability to configure validation for different data fields,The ability to configure validation for different data fields,positive
NBD Data Team,I want better documentation for the database. We don’t have any robust EO diagrams!,I want better documentation for the database. We don’t have any robust EO diagrams!,positive
NBD Data Team,"Please, let’s have modern scripting options (eg, Python not Visual Basic; posting to the database)","Please, let’s have modern scripting options (eg, Python not Visual Basic; posting to the database)",positive
NBD Data Team,"If the new software could integrate with Esri, a contact management software (like Salesforce), or other tools, we could accomplish so much more","If the new software could integrate with Esri, a contact management software (like Salesforce), or other tools, we could accomplish so much more",positive
NBD Neighborhood Planning,Might be a bug,Might be a bug,positive
NBD Neighborhood Planning,A drop down for ERP referrals to indicate where the referral came,A drop down for ERP referrals to indicate where the referral came,positive
NBD Neighborhood Planning,Build system with drop down selection of where the referred came from to start documenting which agency placed them.,Build system with drop down selection of where the referred came from to start documenting which agency placed them.,positive
NBD Neighborhood Planning,Something tangible that can get auto emailed to ambassadors,Something tangible that can get auto emailed to ambassadors,positive
NBD Neighborhood Planning,Geographic viewing of addresses nearby.,Geographic viewing of addresses nearby.,positive
NBD Neighborhood Planning,Data sharing / backend access with county,Data sharing / backend access with county,positive
NBD Neighborhood Planning,Ways to mass enter data not through Hamer,Ways to mass enter data not through Hamer,positive
NBD Neighborhood Planning,"eTax, IPS, AS400, Camino, etc. Too many to consolidate. Should be easier to access information from standard site","eTax, IPS, AS400, Camino, etc. Too many to consolidate. Should be easier to access information from standard site",positive
NBD Neighborhood Planning,"Old permit information hasn’t been transferred. They’ve stopped storing insurances, surveys need better record storage","Old permit information hasn’t been transferred. They’ve stopped storing insurances, surveys need better record storage",positive
NBD Neighborhood Planning,Something NBD/Law /Finance can all use,Something NBD/Law /Finance can all use,positive
DOCE Office Staff,"I can complete my function by only opening one case at a time, but it slows me down","I can complete my function by only opening one case at a time, but it slows me down",negative
DOCE Office Staff,"The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up:","The way ownership and previous ownership in relation in relation to “agents” “business contact”, etc. With a case (not parcel) is often messed up:",positive
DOCE Office Staff,"Because if sometimes doesn’t take an update,","Because if sometimes doesn’t take an update,",negative
DOCE Office Staff,Can't tell who is connected to who,Can't tell who is connected to who,positive
DOCE Office Staff,Remove tab because it has nothing to do with us,Remove tab because it has nothing to do with us,negative
DOCE Office Staff,Make it still “checkable” but have address remain updated,Make it still “checkable” but have address remain updated,positive
DOCE Office Staff,Ensure this information can be automatically put into new cases so it is not forgotten,Ensure this information can be automatically put into new cases so it is not forgotten,positive
DOCE Office Staff,"Making sure “department”, “status” or either status in IPS are not holding up BAA referrals.","Making sure “department”, “status” or either status in IPS are not holding up BAA referrals.",negative
DOCE Office Staff,Water & Tax records for periodic inspections,Water & Tax records for periodic inspections,positive
DOCE CommercialPermitElectrical Inspectors,Consolidate to functioning system,Consolidate to functioning system,positive
DOCE CommercialPermitElectrical Inspectors,In field timely acces: to information and modification of cases,In field timely acces: to information and modification of cases,positive
DOCE CommercialPermitElectrical Inspectors,Have camino and outlook talk to each other,Have camino and outlook talk to each other,positive
DOCE CommercialPermitElectrical Inspectors,Use IPS when permit is pulled,Use IPS when permit is pulled,positive
DOCE CommercialPermitElectrical Inspectors,Get rid of it,Get rid of it,positive
DOCE CommercialPermitElectrical Inspectors,Get rid of it,Get rid of it,positive
DOCE CommercialPermitElectrical Inspectors,Get rid of it,Get rid of it,positive
DOCE CommercialPermitElectrical Inspectors,Add a tickle date option to the system,Add a tickle date option to the system,positive
DOCE CommercialPermitElectrical Inspectors,IPS works better than Camino,IPS works better than Camino,positive
DOCE CommercialPermitElectrical Inspectors,Hiring qualified people and train them,Hiring qualified people and train them,positive
DOCE Zoning,Data migration to one system for historical records.,Data migration to one system for historical records.,positive
DOCE Zoning,Digitization of all records timely,Digitization of all records timely,positive
DOCE Zoning,Enterprise wide GIS system,Enterprise wide GIS system,positive
DOCE Zoning,See notes from my code enforcement worksheet - Jake,See notes from my code enforcement worksheet - Jake,positive
DOCE Zoning,More regular updates to speadsheet,More regular updates to speadsheet,positive
DOCE Zoning,"The items not on IPS or OnBase, if not in basement file, can’t be found","The items not on IPS or OnBase, if not in basement file, can’t be found",negative
DOCE Zoning,More files uploaded / transferred to IPS,More files uploaded / transferred to IPS,positive
DOCE Zoning,Change workflow,Change workflow,positive
DOCE Zoning,Dedicated person,Dedicated person,positive
DOCE Zoning,Onboarding training (competative),Onboarding training (competative),positive
DOCE Zoning,Making the code more accessible or encouraging email communications rather than calling,Making the code more accessible or encouraging email communications rather than calling,positive
DOCE Zoning,"I wish all previous things that are in OnBase were in IPS. So, I didn’t have to switch between those often","I wish all previous things that are in OnBase were in IPS. So, I didn’t have to switch between those often",positive
DOCE Supervisors,Consolidate /merge data and information,Consolidate /merge data and information,positive
DOCE Supervisors,?,?,positive
DOCE Supervisors,"Migration to one place (microfrch, scans, shared drives, etc.)","Migration to one place (microfrch, scans, shared drives, etc.)",positive
DOCE Supervisors,Artificial Intelligence,Artificial Intelligence,positive
DOCE Supervisors,"Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)","Connection to enterprise-wide GIS at the county level, since we are parcel based (legal basis for Code Enforcement Activity)",positive
DOCE Supervisors,Better reporting,Better reporting,positive
DOCE Supervisors,?,?,positive
DOCE Supervisors,Not sure.,Not sure.,negative
DOCE Supervisors,?,?,positive
DOCE Supervisors,"Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database.","Improve UI for parcel history, have data from Camino (permits) and other databases inputted into central database.",positive
DOCE Supervisors,"Some addresses on the property are not the same in assessment records, so contractors get frsutrated","Some addresses on the property are not the same in assessment records, so contractors get frsutrated",positive
DOCE Supervisors,Central software for all Code,Central software for all Code,positive
Assessment,"As far as current use of IPS – don't know what we don’t know. Before today, didn’t know Rental Registry was in there. Didn’t have a comprehensive training. Haven’t gone down rabbit hole of looking at fines. Knowing what houses have stop work orders is helpful – that would be helpful","As far as current use of IPS – don't know what we don’t know. Before today, didn’t know Rental Registry was in there. Didn’t have a comprehensive training. Haven’t gone down rabbit hole of looking at fines. Knowing what houses have stop work orders is helpful – that would be helpful",positive
Assessment,Share stop work order map*,Share stop work order map*,positive
Assessment,He would be curious to know of all the stop work orders how many go an obtain a permit?,He would be curious to know of all the stop work orders how many go an obtain a permit?,positive
Assessment,Would be interested to know of everyone that has a stop work order,Would be interested to know of everyone that has a stop work order,positive
Assessment,Do sometimes look at real estate listings – may say kitchen has been remodeled or refinished basement – will say assessor doesn’t know right in the listing,Do sometimes look at real estate listings – may say kitchen has been remodeled or refinished basement – will say assessor doesn’t know right in the listing,positive
Assessment,Would be easier if IPS has building permits – forced to learn new system – Ann completely depends on Joe for look ups in Camino – if we could go to one system and see everything that would be helpful,Would be easier if IPS has building permits – forced to learn new system – Ann completely depends on Joe for look ups in Camino – if we could go to one system and see everything that would be helpful,positive
Assessment,IPS intuitive from their perspective,IPS intuitive from their perspective,positive
Assessment,If they could find resubs maps easier – user issue more than anything,If they could find resubs maps easier – user issue more than anything,positive
BAA ALJs,"Too many windows – better layout, user interface could be more intuitive. Maybe part of that is an adjudication specific module could help","Too many windows – better layout, user interface could be more intuitive. Maybe part of that is an adjudication specific module could help",negative
BAA ALJs,Admin Aides and interns to do tracking to confirm service – ability to enter tracking number on each ticket and timer to set for 30 days – check tracking at USPS website and change status to yes serve and attach confirmation – ability to automate,Admin Aides and interns to do tracking to confirm service – ability to enter tracking number on each ticket and timer to set for 30 days – check tracking at USPS website and change status to yes serve and attach confirmation – ability to automate,positive
BAA ALJs,AIMS – way to send decisions via email to registered owner,AIMS – way to send decisions via email to registered owner,positive
BAA ALJs,MS Teams invite – sometimes issues with,MS Teams invite – sometimes issues with,positive
BAA ALJs,Email directly from application would be nice,Email directly from application would be nice,positive
BAA ALJs,Save email as an attachment automatically – lives in case – records when contact happened,Save email as an attachment automatically – lives in case – records when contact happened,positive
BAA ALJs,"Manually record everything – ability for application record, download and save the hearings","Manually record everything – ability for application record, download and save the hearings",positive
BAA ALJs,"Codes inspectors are out in the field for long periods of times, checking on multiple properties throughout the day – don't always upload notes onto IPS – makes it difficult to know what’s going on. Need to be on network with IPS","Codes inspectors are out in the field for long periods of times, checking on multiple properties throughout the day – don't always upload notes onto IPS – makes it difficult to know what’s going on. Need to be on network with IPS",positive
BAA ALJs,"Way to have secure app with SSO for Codes to use on phones – if they need to upload photos or notes, they can do it on demand","Way to have secure app with SSO for Codes to use on phones – if they need to upload photos or notes, they can do it on demand",positive
BAA ALJs,So they don’t need to come back to the office at end of the day and do that,So they don’t need to come back to the office at end of the day and do that,positive
BAA ALJs,Internal purposes – automatic tracking for USPS,Internal purposes – automatic tracking for USPS,positive
BAA ALJs,The fact that something says delivered or not – not evidence that,The fact that something says delivered or not – not evidence that,negative
BAA ALJs,"May need real human being to double check that, but getting receipts","May need real human being to double check that, but getting receipts",positive
BAA ALJs,Web of ownership not always as easy to unravel – but would be nice to extent possible we could see what ownership is,Web of ownership not always as easy to unravel – but would be nice to extent possible we could see what ownership is,positive
BAA ALJs,Retain – color code is a good thing,Retain – color code is a good thing,positive
BAA ALJs,By department and action,By department and action,positive
BAA ALJs,Inspection vs violations vs actions,Inspection vs violations vs actions,positive
BAA ALJs,IPS tells you which user to make a change – automatically records users,IPS tells you which user to make a change – automatically records users,positive
BAA ALJs,Other shortcomings – slow,Other shortcomings – slow,positive
BAA ALJs,"Dislike - Result – turns red, only opens up inspection, have to write down case number and search case","Dislike - Result – turns red, only opens up inspection, have to write down case number and search case",positive
BAA ALJs,Everything is called an inspection in the system – something to distinguish tickler dates from actual in person inspections,Everything is called an inspection in the system – something to distinguish tickler dates from actual in person inspections,positive
BAA ALJs,Need inspection to mean actual investigation,Need inspection to mean actual investigation,positive
BAA ALJs,educe use of windows – would be helpful.,educe use of windows – would be helpful.,positive
BAA Clerks & Admin Aides,Would like to be able to add certain actions:,Would like to be able to add certain actions:,positive
BAA Clerks & Admin Aides,Request for More Information Received,Request for More Information Received,positive
BAA Clerks & Admin Aides,Request for More Information Sent,Request for More Information Sent,positive
BAA Clerks & Admin Aides,Outstanding balance would be nice to be able to see at the top/property summary – filtering abilities,Outstanding balance would be nice to be able to see at the top/property summary – filtering abilities,positive
BAA Clerks & Admin Aides,There are multiple rounds – fees are difficult to interpret,There are multiple rounds – fees are difficult to interpret,positive
BAA Clerks & Admin Aides,Don’t sort by round,Don’t sort by round,positive
BAA Clerks & Admin Aides,If multiple rounds and still unpaid would be easier they were grouped,If multiple rounds and still unpaid would be easier they were grouped,positive
BAA Clerks & Admin Aides,Uses different platforms for addressing,Uses different platforms for addressing,positive
BAA Clerks & Admin Aides,Water billing address or DOS NYS filing address,Water billing address or DOS NYS filing address,positive
BAA Clerks & Admin Aides,Beacon Image Mate – shows when property sold,Beacon Image Mate – shows when property sold,positive
BAA Clerks & Admin Aides,Sometimes Codes address doesn’t match what BAA has and it’s a back and forth,Sometimes Codes address doesn’t match what BAA has and it’s a back and forth,negative
BAA Ops,Would be helpful to see what’s owed – summary at case and property level without having to click into each case – to quickly see which tickets still have fines,Would be helpful to see what’s owed – summary at case and property level without having to click into each case – to quickly see which tickets still have fines,positive
BAA Ops,Likes MS Teams – makes it easier for hearings,Likes MS Teams – makes it easier for hearings,positive
BAA Ops,Attorneys and inspectors respond quickly,Attorneys and inspectors respond quickly,positive
BAA Ops,Would be helpful for notifications within IPS,Would be helpful for notifications within IPS,positive
BAA Ops,Workflow – notify inspector of hearing date,Workflow – notify inspector of hearing date,positive
BAA Ops,Helpful to be able to see inspector availability in Outlook – not all of them maintain it,Helpful to be able to see inspector availability in Outlook – not all of them maintain it,positive
BAA Ops,"Constituent access – maybe not full access, but can see legal evidence they should have access to– public facing portal","Constituent access – maybe not full access, but can see legal evidence they should have access to– public facing portal",positive
BAA Ops,Ability to submit documents,Ability to submit documents,positive
BAA Ops,File dispute on there,File dispute on there,positive
BAA Ops,Can’t do appeals online – need to be certified mail,Can’t do appeals online – need to be certified mail,positive
BAA Ops,When LLC calls to check on 20 properties – spend an hour finding information,When LLC calls to check on 20 properties – spend an hour finding information,positive
BAA Ops,Ability to search by owner – they may call with address but not case number,Ability to search by owner – they may call with address but not case number,positive
BAA Ops,Can’t search by ticket/violation number,Can’t search by ticket/violation number,positive
BAA Ops,e.g. SyrNotify system – they have to add their own properties to subscribe to notifications for,e.g. SyrNotify system – they have to add their own properties to subscribe to notifications for,positive
BAA Ops,Public facing portal – explains that they should contact DOCE for the violations and the BAA for the fine – that they’re too separate things – they don’t know who to talk to,Public facing portal – explains that they should contact DOCE for the violations and the BAA for the fine – that they’re too separate things – they don’t know who to talk to,positive
BAA Ops,Issue with Code Enforcement – if someone calls and sees its with BAA – transfer to BAA even if the question is violation related,Issue with Code Enforcement – if someone calls and sees its with BAA – transfer to BAA even if the question is violation related,positive
BAA Ops,Gets calls on BAA line – what's on the ticket,Gets calls on BAA line – what's on the ticket,positive
BAA Ops,BAA ticket doesn’t have the Codes corrective action on there,BAA ticket doesn’t have the Codes corrective action on there,negative
BAA Ops,Ability to batch add fees – have to add one-by-one,Ability to batch add fees – have to add one-by-one,positive
BAA Supervisors & Admin Aide,Leah: Hearing/court system capabilities – ability for all parts of ticketing/adjudication process,Leah: Hearing/court system capabilities – ability for all parts of ticketing/adjudication process,positive
BAA Supervisors & Admin Aide,Cecelia: Ability to link cases. Simple things like UI – if BAA inspections were a different color than Codes,Cecelia: Ability to link cases. Simple things like UI – if BAA inspections were a different color than Codes,positive
BAA Supervisors & Admin Aide,Communication? Teams invite,Communication? Teams invite,positive
BAA Supervisors & Admin Aide,Codes engagement in the hearing has changed – up to Ryan,Codes engagement in the hearing has changed – up to Ryan,positive
BAA Supervisors & Admin Aide,He started requiring inspectors to come to hearings more recently,He started requiring inspectors to come to hearings more recently,positive
BAA Supervisors & Admin Aide,If mechanism where Codes inspector would be required to do something within the software maybe they wouldn’t need to come every time,If mechanism where Codes inspector would be required to do something within the software maybe they wouldn’t need to come every time,positive
BAA Supervisors & Admin Aide,"Either missing, or not providing a hearing appropriate update – maybe doesn’t include details of the PO communication or outstanding issue","Either missing, or not providing a hearing appropriate update – maybe doesn’t include details of the PO communication or outstanding issue",negative
BAA Supervisors & Admin Aide,"So many cases are getting dismissed – so Ryan deciding they are going to go the hearing (can be challenging, may interfere with their field work)","So many cases are getting dismissed – so Ryan deciding they are going to go the hearing (can be challenging, may interfere with their field work)",negative
BAA Supervisors & Admin Aide,Codes has started emailing Cecelia if there’s a case they want – deny the referral – if there was something in system so Codes can remove the referral that would be ideal,Codes has started emailing Cecelia if there’s a case they want – deny the referral – if there was something in system so Codes can remove the referral that would be ideal,positive
BAA Supervisors & Admin Aide,May be quicker if tickets weren’t emailed,May be quicker if tickets weren’t emailed,positive
BAA Supervisors & Admin Aide,Could submit request to dismiss/void - BAA doesn’t care as long,Could submit request to dismiss/void - BAA doesn’t care as long,negative
BAA Supervisors & Admin Aide,Cecelia: schedule meeting for BAA actions*,Cecelia: schedule meeting for BAA actions*,positive
CPC,Looking up of outstanding violations – if you have an account for a property – outstanding balance of every violation at the property level – make it obvious what is outstanding and help reduce,Looking up of outstanding violations – if you have an account for a property – outstanding balance of every violation at the property level – make it obvious what is outstanding and help reduce,positive
CPC,Would mean they don’t have to look up each individual cases,Would mean they don’t have to look up each individual cases,positive
CPC,IPS system – in AIMS – property owner has outstanding balance – can look under license plate – can see 10 ticket and total balance of each ticket (at a glance over view + ability to print account summary for property – which would list each individual ticket with the corresponding balance) – then click into each and see individual status of each ticket,IPS system – in AIMS – property owner has outstanding balance – can look under license plate – can see 10 ticket and total balance of each ticket (at a glance over view + ability to print account summary for property – which would list each individual ticket with the corresponding balance) – then click into each and see individual status of each ticket,positive
CPC,Ties into main account – what's missing here – an account overview,Ties into main account – what's missing here – an account overview,positive
CPC,Can also merge multiple license plates together – can merge contacts together,Can also merge multiple license plates together – can merge contacts together,positive
CPC,At-a-glance/account summary – would be nice to have a cover sheet (still ability to drill down),At-a-glance/account summary – would be nice to have a cover sheet (still ability to drill down),positive
CPC,Fees outstanding- reliable number (total $$),Fees outstanding- reliable number (total $$),positive
CPC,If current RR or CC – when are they due for renewal?,If current RR or CC – when are they due for renewal?,positive
CPC,Integrations? Viki: Thinks data imports can get confusing – prone to breaking,Integrations? Viki: Thinks data imports can get confusing – prone to breaking,negative
CPC,Prefers for look ups to happen in system of record for eTax – accurate in eTax,Prefers for look ups to happen in system of record for eTax – accurate in eTax,positive
CPC,One program that does everything – untenable,One program that does everything – untenable,positive
CPC,"Hub for all municipal violations would make sense – e.g. parking, ISOs – AIMS?","Hub for all municipal violations would make sense – e.g. parking, ISOs – AIMS?",positive
CPC,"Cut/cleans, board ups, demos – spreadsheets","Cut/cleans, board ups, demos – spreadsheets",positive
CPC,Daily listing for cut/cleans - invoice,Daily listing for cut/cleans - invoice,positive
CPC,If unpaid by Apr 1 – on taxes by May 20 (6 weeks to go through every spreadsheet),If unpaid by Apr 1 – on taxes by May 20 (6 weeks to go through every spreadsheet),positive
CPC,BAA spreadsheet on outstanding fines – first year they’ve done it,BAA spreadsheet on outstanding fines – first year they’ve done it,positive
CPC,AIMS report for ISOs,AIMS report for ISOs,positive
CPC,Municipal sidewalks,Municipal sidewalks,positive
CPC,A lot of prep goes into doing tax bills,A lot of prep goes into doing tax bills,positive
CPC,Add late charges to spreadsheet,Add late charges to spreadsheet,positive
CPC,"Codes used to do all billing for cut/cleans, demos","Codes used to do all billing for cut/cleans, demos",positive
CPC,Centralized – sent to Brad – sent to Viki,Centralized – sent to Brad – sent to Viki,positive
