Focus Group,Value Index,Content
DOCE Discovery Session | Building Inspectors Group 1,86,"Likes it for certain things, doesn’t like it for others"
DOCE Discovery Session | Building Inspectors Group 1,87,"Ashlie started as paralegal – between Codes and Law – also a clerk – started with RR program – easier for her, can look anything up"
DOCE Discovery Session | Building Inspectors Group 1,88,IPS – can search for anything
DOCE Discovery Session | Building Inspectors Group 1,89,Issue for clerks as well – Nob Hill eg. Huge list of cases – issue with searching – sift through all of those cases
DOCE Discovery Session | Building Inspectors Group 1,90,"Anthony – add CofC case apps, gets added to older cases"
DOCE Discovery Session | Building Inspectors Group 1,91,DPW had their own cases in IPS when they first started – older cases
DOCE Discovery Session | Building Inspectors Group 1,92,Fire will also start their own cases in IPS – they don’t follow up on it – now inspectors do it for them
DOCE Discovery Session | Building Inspectors Group 1,93,County lead in there too – can see it – but makes more cases
DOCE Discovery Session | Building Inspectors Group 1,94,IPS – ownership issues
DOCE Discovery Session | Building Inspectors Group 1,95,IPS updates itself
DOCE Discovery Session | Building Inspectors Group 1,96,Multiple owners in Address Book – has to go in as multiple entries even if the same individual
DOCE Discovery Session | Building Inspectors Group 1,97,"Reggie’s case changed – he tries to change the older – causes confusion, multiple listed"
DOCE Discovery Session | Building Inspectors Group 1,98,If you try to delete causes issues
DOCE Discovery Session | Building Inspectors Group 1,99,BAS said nothing they can do about it
DOCE Discovery Session | Building Inspectors Group 1,100,"So many places something can be put in – which ones is the correct updated ownership, phone numbers, etc. - and which was last put in is not indicated"
DOCE Discovery Session | Building Inspectors Group 1,101,"Multiple ways to update in system – if not updated in certain way, doesn’t get"
DOCE Discovery Session | Building Inspectors Group 1,102,"AS400 checks 4 way – Ashlie uses constantly, Rob not familiar with it"
DOCE Discovery Session | Building Inspectors Group 1,103,Used to be trained on it day one
DOCE Discovery Session | Building Inspectors Group 1,104,Don’t use spreadsheets – but supervisors do
DOCE Discovery Session | Building Inspectors Group 1,105,Tracking
DOCE Discovery Session | Building Inspectors Group 1,106,Features or capabilities you wish IPS had
DOCE Discovery Session | Building Inspectors Group 1,107,When it crashes – if it could refresh with where you are
DOCE Discovery Session | Building Inspectors Group 1,108,Happens often – too many windows open
DOCE Discovery Session | Building Inspectors Group 1,109,Letters admin aides think it’s an issue– if doing same thing at the same time
DOCE Discovery Session | Building Inspectors Group 1,110,Same property – multiple cases
DOCE Discovery Session | Building Inspectors Group 1,111,See high-risk area from IPS parcel area
DOCE Discovery Session | Building Inspectors Group 1,112,Catchment map
DOCE Discovery Session | Building Inspectors Group 1,113,Be nice if IPS had everything they needed – now we have so many apps
DOCE Discovery Session | Building Inspectors Group 1,114,"Sonya elevators, catchment map, Camino, Compliance Engine"
DOCE Discovery Session | Building Inspectors Group 1,115,Tablet that connects – idea is great
DOCE Discovery Session | Building Inspectors Group 1,116,Ashlie had skyline at the time – 45 minutes to pull up cases
DOCE Discovery Session | Building Inspectors Group 1,117,More info cases in IPS harder it would be to
DOCE Discovery Session | Building Inspectors Group 1,118,"Offline capability – if they go into a basement to look at boiler, service drops/tablet wouldn’t work"
DOCE Discovery Session | Building Inspectors Group 1,119,Would be interesting to see what other municipalities use for software – in NYS same codes
DOCE Discovery Session | Building Inspectors Group 1,120,Ashlie has high hopes – this meeting longer already than the one they held when picking IPS (Gretchen in Law? At the time)
DOCE Discovery Session | Building Inspectors Group 1,121,Luke: Codes wasn’t consulted
DOCE Discovery Session | Building Inspectors Group 1,122,Items Dan M. followed up with via email 2026-05-26:
DOCE Discovery Session | Building Inspectors Group 1,123,Some of the inspectors do not have the ability to delete actions or photos in IPS if they are added by mistake. A lot of them come to me to do that for them.
DOCE Discovery Session | Building Inspectors Group 1,124,Several inspectors do not have access to AS400. We do need this to check for proper ownership as well as water usage to determine vacancy.
DOCE Discovery Session | Admin Aides Group 2,0,Introductions
DOCE Discovery Session | Admin Aides Group 2,1,"Eric, Admin Aide, 2024"
DOCE Discovery Session | Admin Aides Group 2,2,"Lillian, Admin Aide, 2024"
DOCE Discovery Session | Admin Aides Group 2,3,Share Out
DOCE Discovery Session | Admin Aides Group 2,4,Role
DOCE Discovery Session | Admin Aides Group 2,5,"Mostly make calls, schedule complaints, schedule inspections – bulk of what they do"
DOCE Discovery Session | Admin Aides Group 2,6,Grab things from the printer – mailings from printer
DOCE Discovery Session | Admin Aides Group 2,7,Rent holds and rent releases – occur every day – not all working on all at the same time
DOCE Discovery Session | Admin Aides Group 2,8,Lillian: Point of contact – general public that comes in – her or Maria handle the spanish speaking population and handle inspections for them upstairs (if Maria not there may help out downstairs or Suehaly or Jenifer from SPD)
DOCE Discovery Session | Admin Aides Group 2,9,"Speak to inspectors, or Land Bank or zoning plans examiners"
DOCE Discovery Session | Admin Aides Group 2,10,Gets overwhelming – just one window
DOCE Discovery Session | Admin Aides Group 2,11,Someone calls trying to schedule inspection or PO wants information – just one window – gets congested
DOCE Discovery Session | Admin Aides Group 2,12,People showing up a lot and calling a lot
DOCE Discovery Session | Admin Aides Group 2,13,Handling voicemails and callbacks
DOCE Discovery Session | Admin Aides Group 2,14,Issues with phones – started 2-3 months – phone calls just drop – people frustrated because phone drops – IT tickets on it since 2024
DOCE Discovery Session | Admin Aides Group 2,15,They don’t just get CE phone calls – field calls for multiple departments – get calls for cityline or DPW – get a lot of phone traffic
DOCE Discovery Session | Admin Aides Group 2,16,Try to direct them to departments – those departments don’t pick up the phone – try to give them an alternative solution i.e. fill out form
DOCE Discovery Session | Admin Aides Group 2,17,Website – tried to create a ticket through seeclickfix – got a blank screen*
DOCE Discovery Session | Admin Aides Group 2,18,Tools
DOCE Discovery Session | Admin Aides Group 2,19,"IPS, phones, Caminos"
DOCE Discovery Session | Admin Aides Group 2,20,"Camino is the smoothest – up-to-date, reliable – runs well compared to everything else"
DOCE Discovery Session | Admin Aides Group 2,21,Sometimes don’t upload the inspectors
DOCE Discovery Session | Admin Aides Group 2,22,"AS400 – water notes, update ownership records, taxes"
DOCE Discovery Session | Admin Aides Group 2,23,Katelyn uses it the most
DOCE Discovery Session | Admin Aides Group 2,24,Don’t track things mostly outside of IPS
DOCE Discovery Session | Admin Aides Group 2,25,Outlook
DOCE Discovery Session | Admin Aides Group 2,26,Tim monitors main codes email
DOCE Discovery Session | Admin Aides Group 2,27,Will send copies of things through their emails – send a lot of attachments
DOCE Discovery Session | Admin Aides Group 2,28,They use spreadsheets scarcily – only one recently
DOCE Discovery Session | Admin Aides Group 2,29,Collaboration with other depts
DOCE Discovery Session | Admin Aides Group 2,30,Use Teams or use phone extensions
DOCE Discovery Session | Admin Aides Group 2,31,Document a lot in IPS just to make sure it’s there
DOCE Discovery Session | Admin Aides Group 2,32,"If in the office, visit in person"
DOCE Discovery Session | Admin Aides Group 2,33,Process
DOCE Discovery Session | Admin Aides Group 2,34,Pain Points & Challenges
DOCE Discovery Session | Admin Aides Group 2,35,Would be nice for a section specifically for Law/legal
DOCE Discovery Session | Admin Aides Group 2,36,"7D court filings – don't have a dedicated place for this – would be nice if legal had their own section for it. If no case, adding to other general attachments – a lot in there – their own designated space for it to be uploaded"
DOCE Discovery Session | Admin Aides Group 2,37,"IPS: when trying to save anything – brink of crashing – slows down – loading window – if crashes, will say out of memory"
DOCE Discovery Session | Admin Aides Group 2,38,Periodic inspections module: Issue with inspector names not sorting alphabetize
DOCE Discovery Session | Admin Aides Group 2,39,Everything else runs pretty smoothly – mainly processing speed
DOCE Discovery Session | Admin Aides Group 2,40,If updating nail and mails – sometimes you can’t upload the document
DOCE Discovery Session | Admin Aides Group 2,41,Issue with feature – put in a complaint under building without a permit – when it times to send out letter *follow up with Tim for details
DOCE Discovery Session | Admin Aides Group 2,42,Mainly put under Prop Maint Int/Ext - would be more recognizable as Bldg w/o a Permit
DOCE Discovery Session | Admin Aides Group 2,43,Katelyn creates tickets
DOCE Discovery Session | Admin Aides Group 2,44,Re: mailing a letter out - Sometimes can’t find the new owner in the system – go into county clerk’s deeds and mortgages
DOCE Discovery Session | Admin Aides Group 2,45,"Can’t find new owners – creates an issue because old owners calls us, become aggravated/agitated because they sold it"
DOCE Discovery Session | Admin Aides Group 2,46,Collaboration with other departments?
DOCE Discovery Session | Admin Aides Group 2,47,When waiting on approval for something – if they can’t get ahold of Permits office
DOCE Discovery Session | Admin Aides Group 2,48,Eric: Likes that everything is in Camino – database for that
DOCE Discovery Session | Admin Aides Group 2,49,Multiple tools they have to handle – would be nice if something that collected those data and inputted in both systems
DOCE Discovery Session | Admin Aides Group 2,50,"AS400: Do use it often, very outdated"
DOCE Discovery Session | Admin Aides Group 2,51,Lillian not really trained on AS400
DOCE Discovery Session | Admin Aides Group 2,52,Technology
DOCE Discovery Session | Admin Aides Group 2,53,Features you like/that work well
DOCE Discovery Session | Admin Aides Group 2,54,Likes periodics window for Rental Registry
DOCE Discovery Session | Admin Aides Group 2,55,"Documents on one side, inspection on the other side, add notes to it specifically"
DOCE Discovery Session | Admin Aides Group 2,56,"PI module layout – likes it better than the complaint module – designed well – when you click on date, doesn’t calendar – very useful"
DOCE Discovery Session | Admin Aides Group 2,57,Likes the layout
DOCE Discovery Session | Admin Aides Group 2,58,Only complaint is the list alphabetize
DOCE Discovery Session | Admin Aides Group 2,59,Can see contact phone numbers
DOCE Discovery Session | Admin Aides Group 2,60,That needs to be updated
DOCE Discovery Session | Admin Aides Group 2,61,Owner/contact information – needs to be connected – updated individually in RR module vs complaint module
DOCE Discovery Session | Admin Aides Group 2,62,Attachment for CofUs – don't see it in the attachments
DOCE Discovery Session | Admin Aides Group 2,63,Mention to Tom?
DOCE Discovery Session | Admin Aides Group 2,64,Anything you wish IPS had?
DOCE Discovery Session | Admin Aides Group 2,65,Would it be possible for them to add licenses? Tab for that
DOCE Discovery Session | Admin Aides Group 2,66,Make it easier to find
DOCE Discovery Session | Admin Aides Group 2,67,Main place where parcel is
DOCE Discovery Session | Admin Aides Group 2,68,Camino – changed something they didn’t like – if they pick AM/PM - doesn’t list time in – doesn't allow for time? Lillian adds a note *flag for Camino team – could impact inspectors too
DOCE Discovery Session | Admin Aides Group 2,69,Adds in complaint module
DOCE Discovery Session | Supervisors Group,0,Introductions
DOCE Discovery Session | Supervisors Group,1,Bill: Assistant Director - 16yrs
DOCE Discovery Session | Supervisors Group,2,Brian: Assistant Director - 16 yrs
DOCE Discovery Session | Supervisors Group,3,Tom: Deputy Director - 28 yrs
